,Name,link,Games Played,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,ORtg,DRtg,Year,League,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MVPs,All-Star Games,All-NBA Teams
2529,Sam Williams,willisa02,257,17.6,2.6,5.2,0.5,0.0,0.0,0.0,2.6,5.2,0.502,0.5,1.1,1.7,0.653,1.6,2.9,4.5,0.6,0.8,1.2,1.2,2.7,6.3,7.0,13.9,0.5,0.0,0.0,0.0,7.0,13.9,0.502,3.0,4.7,0.653,4.2,7.7,11.9,1.6,2.2,3.1,3.2,7.3,17.0,103.0,103.0,Career,NBA,13.7,0.531,0.002,0.335,9.8,18.3,14.0,4.7,2.2,3.7,16.7,16.3,2.2,6.7,9.0,0.095,-1.9,1.8,-0.1,2.1,0,0,0
2530,Scott Williams,willisc01,746,16.4,2.1,4.6,0.467,0.0,0.1,0.111,2.1,4.5,0.47200000000000003,0.46799999999999997,0.9,1.2,0.721,1.7,3.0,4.7,0.6,0.5,0.6,0.7,2.6,5.1,6.8,14.5,0.467,0.0,0.2,0.111,6.7,14.3,0.47200000000000003,2.7,3.8,0.721,5.4,9.5,14.9,1.8,1.7,1.8,2.3,8.1,16.3,107.0,104.0,Career,NBA,13.3,0.504,0.013000000000000001,0.262,11.9,21.1,16.4,5.3,1.7,2.5,12.6,15.7,11.2,15.2,26.4,0.10400000000000001,-2.1,0.3,-1.8,0.7,0,0,0
2531,Sean Williams,willise01,137,14.4,1.7,3.3,0.511,0.0,0.0,0.0,1.7,3.3,0.512,0.511,0.9,1.4,0.624,1.3,2.1,3.4,0.3,0.3,1.2,0.9,2.4,4.2,6.1,11.9,0.511,0.0,0.0,0.0,6.1,11.9,0.512,3.3,5.2,0.624,4.9,7.7,12.6,1.3,1.3,4.3,3.2,8.6,15.5,101.0,105.0,Career,NBA,12.4,0.5429999999999999,0.002,0.44,10.7,17.1,13.9,3.9,1.3,6.4,18.3,15.2,0.5,2.5,3.0,0.073,-4.1,2.1,-2.0,0.0,0,0,0
2532,Shammond Williams,willish01,325,16.5,2.1,5.2,0.401,0.8,2.2,0.366,1.3,3.0,0.42700000000000005,0.47700000000000004,0.9,1.1,0.7979999999999999,0.3,1.3,1.6,2.4,0.6,0.0,1.0,1.2,5.8,6.7,16.6,0.401,2.5,6.9,0.366,4.1,9.7,0.42700000000000005,2.8,3.5,0.7979999999999999,1.0,4.1,5.1,7.5,1.9,0.1,3.3,3.7,18.6,104.0,107.0,Career,NBA,13.3,0.514,0.41600000000000004,0.21100000000000002,2.3,8.9,5.5,23.7,1.9,0.2,15.2,18.4,5.5,3.4,8.8,0.079,-0.1,-2.2,-2.3,-0.4,0,0,0
2533,Shawne Williams,willish03,314,17.1,2.1,5.1,0.40299999999999997,0.9,2.6,0.33899999999999997,1.2,2.5,0.469,0.489,0.6,0.8,0.755,0.8,2.2,3.0,0.7,0.4,0.5,0.6,2.1,5.6,6.1,15.2,0.40299999999999997,2.6,7.7,0.33899999999999997,3.5,7.6,0.469,1.8,2.4,0.755,2.3,6.6,8.9,2.1,1.2,1.5,1.9,6.2,16.7,103.0,109.0,Career,NBA,10.5,0.513,0.504,0.159,5.2,14.8,9.9,6.4,1.2,2.2,10.2,16.0,2.6,4.1,6.7,0.06,-1.3,-0.7,-2.0,0.0,0,0,0
2534,Shelden Williams,willish02,361,15.5,1.6,3.5,0.462,0.0,0.0,0.222,1.6,3.5,0.46399999999999997,0.46299999999999997,1.2,1.6,0.74,1.5,2.9,4.3,0.5,0.5,0.5,0.8,2.0,4.5,5.5,11.9,0.462,0.0,0.1,0.222,5.5,11.9,0.46399999999999997,4.1,5.5,0.74,5.0,9.7,14.6,1.5,1.7,1.5,2.8,6.9,15.1,105.0,106.0,Career,NBA,12.5,0.527,0.006999999999999999,0.462,11.1,21.9,16.5,4.6,1.7,2.3,16.5,15.0,3.6,6.3,9.9,0.085,-3.1,0.3,-2.8,-1.2,0,0,0
2535,Sly Williams,willisl01,305,21.7,4.3,9.1,0.478,0.0,0.2,0.162,4.3,8.8,0.486,0.48,2.2,3.2,0.6920000000000001,1.6,2.6,4.2,2.0,1.1,0.2,1.8,2.4,10.9,9.6,20.1,0.478,0.1,0.5,0.162,9.5,19.6,0.486,4.9,7.1,0.6920000000000001,3.6,5.8,9.3,4.4,2.4,0.4,3.9,5.2,24.2,103.0,104.0,Career,NBA,16.0,0.521,0.025,0.35100000000000003,8.3,14.0,11.1,13.7,2.4,0.5,14.5,23.2,5.1,8.2,13.4,0.09699999999999999,0.3,0.2,0.6,4.3,0,0,0
2536,Terrence Williams,willite01,153,19.1,2.9,6.9,0.41200000000000003,0.4,1.2,0.317,2.5,5.7,0.43200000000000005,0.439,1.0,1.5,0.659,0.4,3.1,3.6,2.4,0.5,0.1,1.5,1.3,7.1,7.8,19.0,0.41200000000000003,1.0,3.3,0.317,6.8,15.7,0.43200000000000005,2.7,4.2,0.659,1.2,8.6,9.8,6.5,1.5,0.3,4.0,3.6,19.4,92.0,109.0,Career,NBA,11.5,0.466,0.172,0.21899999999999997,2.5,19.5,10.7,21.5,1.5,0.5,16.0,21.6,-2.5,2.3,-0.2,-0.004,-3.3,-0.6,-3.8,-1.4,0,0,0
2537,Travis Williams,willitr01,47,9.1,1.3,2.8,0.47,0.0,0.0,0.0,1.3,2.8,0.473,0.47,0.6,1.1,0.54,1.3,1.1,2.4,0.5,0.4,0.1,0.8,1.4,3.2,7.8,16.6,0.47,0.0,0.1,0.0,7.8,16.5,0.473,3.4,6.3,0.54,7.4,6.5,13.9,2.8,2.5,0.8,4.5,8.2,19.0,97.0,103.0,Career,NBA,13.0,0.49,0.008,0.379,16.9,14.4,15.6,8.6,2.5,1.0,18.9,20.6,0.0,0.5,0.5,0.06,-1.6,-0.3,-1.8,0.0,0,0,0
2538,Walt Williams,williwa02,708,26.6,4.2,9.9,0.425,1.4,3.6,0.379,2.8,6.3,0.451,0.494,2.1,2.8,0.743,1.1,2.9,3.9,2.3,0.9,0.6,1.9,2.9,11.8,8.2,19.3,0.425,2.7,7.1,0.379,5.5,12.2,0.451,4.0,5.4,0.743,2.1,5.6,7.7,4.5,1.8,1.1,3.6,5.6,23.0,104.0,107.0,Career,NBA,14.2,0.532,0.36700000000000005,0.27899999999999997,4.6,12.3,8.5,14.5,1.8,1.6,14.4,21.5,16.7,17.2,33.9,0.087,0.9,-0.2,0.6,12.4,0,0,0
2539,Corliss Williamson,willico02,822,22.8,4.4,8.9,0.49,0.0,0.1,0.136,4.4,8.9,0.49200000000000005,0.49,2.4,3.3,0.7140000000000001,1.5,2.4,3.9,1.2,0.6,0.3,1.6,2.7,11.1,10.0,20.4,0.49,0.0,0.1,0.136,10.0,20.3,0.49200000000000005,5.4,7.5,0.7140000000000001,3.4,5.5,8.8,2.7,1.3,0.7,3.7,6.2,25.4,103.0,106.0,Career,NBA,14.9,0.535,0.006,0.368,7.3,12.0,9.6,9.4,1.3,1.0,13.3,23.7,18.0,16.6,34.7,0.08900000000000001,-1.2,-1.2,-2.4,-1.9,0,0,0
2540,John Williamson,willijo01,516,30.1,7.2,15.8,0.45799999999999996,0.1,0.4,0.23399999999999999,7.2,15.6,0.461,0.45899999999999996,3.0,3.6,0.826,0.8,1.7,2.5,2.8,1.1,0.3,2.5,2.9,17.5,10.8,23.6,0.45799999999999996,0.1,0.6,0.23399999999999999,10.7,23.3,0.461,4.5,5.4,0.826,1.1,2.6,3.7,4.2,1.6,0.4,3.2,4.4,26.2,100.0,105.0,Career,TOT,14.4,0.503,0.013000000000000001,0.23,2.5,5.8,4.1,14.1,1.6,0.5,12.9,25.1,11.0,12.7,23.6,0.073,-0.3,-1.9,-2.3,-1.0,0,0,0
2541,Kevin Willis,willike02,1424,26.9,5.0,10.2,0.48700000000000004,0.0,0.1,0.21100000000000002,5.0,10.1,0.491,0.488,2.1,3.0,0.713,2.9,5.5,8.4,0.9,0.7,0.5,1.8,2.9,12.1,9.4,19.2,0.48700000000000004,0.1,0.3,0.21100000000000002,9.3,19.0,0.491,4.0,5.6,0.713,5.5,10.3,15.7,1.8,1.3,1.0,3.3,5.5,22.8,105.0,105.0,Career,NBA,15.7,0.525,0.013000000000000001,0.29100000000000004,12.0,22.9,17.4,5.6,1.3,1.3,13.3,21.2,34.8,46.9,81.8,0.102,-1.2,-0.5,-1.8,2.0,0,1,1
2542,Bill Willoughby,willobi01,488,17.7,2.5,5.3,0.47,0.0,0.1,0.27,2.5,5.3,0.473,0.47200000000000003,1.0,1.3,0.75,1.4,2.5,3.9,0.8,0.4,0.6,1.0,2.0,6.0,6.6,14.1,0.47,0.1,0.3,0.27,6.6,13.9,0.473,2.6,3.4,0.75,3.7,6.5,10.2,2.2,1.1,1.6,2.1,5.2,15.9,105.0,105.0,Career,NBA,11.8,0.508,0.013999999999999999,0.24100000000000002,8.4,15.3,11.8,6.3,1.1,1.9,14.2,15.2,5.8,7.6,13.3,0.07400000000000001,-1.8,0.1,-1.7,0.6,0,0,0
2543,Dedric Willoughby,willode01,25,20.3,2.4,7.2,0.341,1.2,3.9,0.29600000000000004,1.3,3.2,0.395,0.42200000000000004,1.6,2.0,0.765,0.4,1.6,2.0,2.6,0.9,0.1,1.5,1.3,7.6,6.4,18.9,0.341,3.1,10.4,0.29600000000000004,3.4,8.6,0.395,4.1,5.4,0.765,1.2,4.2,5.4,7.0,2.4,0.2,3.9,3.4,20.1,96.0,106.0,Career,NBA,12.2,0.47200000000000003,0.547,0.285,2.5,9.4,5.9,24.6,2.4,0.3,15.5,21.5,0.0,0.4,0.4,0.04,-0.2,-2.1,-2.3,0.0,0,0,0
2544,Bubba Wilson,wilsobu01,16,8.9,0.4,1.6,0.28,0.0,0.0,,0.4,1.6,0.28,0.28,0.2,0.4,0.5,0.4,0.6,1.0,0.8,0.1,0.0,0.5,0.7,1.1,2.3,8.3,0.28,0.0,0.0,,2.3,8.3,0.28,1.0,2.0,0.5,2.0,3.3,5.3,4.0,0.7,0.0,2.7,3.7,5.7,72.0,111.0,Career,NBA,2.1,0.308,0.0,0.24,4.5,8.0,6.2,10.0,0.7,0.0,22.4,10.3,-0.2,0.0,-0.2,-0.064,-6.6,-0.9,-7.5,-0.2,0,0,0
2545,Michael Wilson,wilsomi01,32,10.6,1.2,2.8,0.43799999999999994,0.0,0.0,0.0,1.2,2.8,0.44299999999999995,0.43799999999999994,0.9,1.3,0.75,0.5,0.6,1.1,1.4,0.5,0.2,0.9,1.1,3.4,5.5,12.5,0.43799999999999994,0.0,0.1,0.0,5.5,12.3,0.44299999999999995,4.2,5.6,0.75,2.2,2.8,5.0,6.3,2.1,0.7,3.9,5.0,15.1,99.0,110.0,Career,NBA,10.1,0.507,0.011000000000000001,0.449,5.2,6.6,5.9,17.4,2.1,0.8,20.8,16.1,0.0,0.3,0.3,0.038,-2.7,-0.1,-2.8,-0.1,0,0,0
2546,Nikita Wilson,wilsoni01,15,3.6,0.5,1.5,0.304,0.0,0.0,,0.5,1.5,0.304,0.304,0.3,0.4,0.833,0.1,0.6,0.7,0.2,0.0,0.0,0.3,0.5,1.3,6.0,19.7,0.304,0.0,0.0,,6.0,19.7,0.304,4.3,5.1,0.833,1.7,7.7,9.4,2.6,0.0,0.0,4.3,6.0,16.3,77.0,110.0,Career,NBA,2.3,0.371,0.0,0.261,4.0,18.0,11.0,7.0,0.0,0.0,16.3,22.4,-0.2,0.0,-0.1,-0.099,-9.6,-3.5,-13.0,-0.2,0,0,0
2547,Othell Wilson,wilsoot01,127,16.1,1.7,3.7,0.45399999999999996,0.0,0.3,0.17600000000000002,1.7,3.5,0.475,0.46,0.8,1.0,0.746,0.5,1.2,1.7,3.3,0.9,0.1,1.4,1.5,4.2,4.9,10.9,0.45399999999999996,0.1,0.8,0.17600000000000002,4.8,10.1,0.475,2.2,3.0,0.746,1.4,3.4,4.8,9.7,2.7,0.4,3.9,4.3,12.2,101.0,112.0,Career,NBA,11.3,0.502,0.071,0.273,3.2,8.6,5.7,26.5,2.7,0.4,24.4,13.6,0.2,1.1,1.4,0.032,-2.2,-0.8,-3.0,-0.5,0,0,0
