,Name,link,Year,Age,Team,League,Position,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
2288,Bruce Kuczenski,kuczebr01,1983-84,22,TOT,NBA,PF,15,119,-0.5,.331,.000,.324,6.6,15.1,10.9,8.6,0.4,0.5,26.2,19.7,,-0.5,0.1,-0.4,-0.152,,-10.2,-1.3,-11.6,-0.3
2290,John Kuester,kuestjo01,1977-78,22,KCK,NBA,PG,78,1215,12.2,.516,,.329,1.6,8.0,4.8,26.3,2.1,0.0,21.0,14.5,,1.1,0.8,1.9,.077,,-1.4,-1.7,-3.1,-0.3
2292,Toni Kukoc,kukocto01,1993-94,25,CHI,NBA,SF,75,1808,15.4,.497,.163,.289,6.3,12.9,9.6,21.5,2.3,1.3,16.9,24.1,,0.5,2.7,3.2,.086,,-0.5,0.8,0.4,1.1
2293,Kevin Kunnert,kunneke01,1973-74,22,TOT,NBA,C,64,701,12.6,.503,,.153,12.4,19.4,16.0,7.9,0.6,4.0,,,,0.3,0.7,1.0,.066,,-2.1,0.2,-1.9,0.0
2295,Mitch Kupchak,kupchmi01,1976-77,22,WSB,NBA,C,82,1513,19.3,.605,,.413,12.7,20.7,16.8,6.2,0.7,1.1,,,,4.1,1.9,5.9,.188,,2.6,-1.4,1.2,1.2
2297,Rob Kurz,kurzro01,2008-09,23,GSW,NBA,SF,40,442,11.8,.513,.290,.382,8.1,11.8,10.0,6.5,1.5,3.0,9.5,16.3,,0.5,0.2,0.7,.074,,-1.1,-1.2,-2.3,0.0
2298,Ibo Kutluay,kutluib01,2004-05,30,SEA,NBA,SG,5,12,-12.9,.000,.000,.000,0.0,10.2,5.1,0.0,0.0,0.0,66.7,11.6,,-0.1,0.0,-0.1,-0.348,,-15.8,-1.3,-17.1,0.0
2299,Kyle Kuzma,kuzmaky01,2017-18,22,LAL,NBA,PF,74,2303,14.3,.550,.422,.194,4.0,17.6,10.8,9.3,1.0,1.2,10.7,22.2,,1.7,2.2,3.9,.082,,-0.2,-0.9,-1.1,0.5
2300,Ognjen Kuzmic,kuzmiog01,2013-14,23,GSW,NBA,C,21,92,3.4,.420,.000,.846,12.1,12.8,12.5,2.9,1.6,3.3,35.9,13.3,,-0.2,0.1,0.0,-0.025,,-7.5,2.3,-5.2,-0.1
2301,Mindaugas Kuzminskas,kuzmimi01,2016-17,27,NYK,NBA,SF,68,1016,12.4,.533,.455,.184,5.0,8.4,6.7,10.3,1.4,0.9,11.3,19.2,,0.8,0.4,1.2,.055,,-0.2,-2.5,-2.7,-0.2
2302,Skal Labissiere,labissk01,2016-17,20,SAC,NBA,PF,33,612,16.8,.577,.037,.339,9.7,20.7,15.3,7.5,1.3,1.9,12.9,21.3,,0.7,0.5,1.3,.099,,-1.7,-0.9,-2.6,-0.1
2305,Sam Lacey,laceysa01,1970-71,22,CIN,NBA,C,81,2648,12.5,.448,,.203,,,15.5,5.6,,,,,,-0.9,2.2,1.2,.023,,,,,
2306,Bob Lackey,lackebo01,1972-73,23,NYA,ABA,SG,68,1185,7.2,.475,.014,.470,5.3,8.3,6.9,16.1,,,21.9,18.9,,-0.2,0.1,-0.1,-0.005,,,,,
2308,Wendell Ladner,ladnewe01,1970-71,22,MMP,ABA,SF,77,2504,17.4,.465,.022,.167,,,15.6,9.3,,,10.8,23.3,,-0.6,4.6,4.0,.077,,,,,
2309,Christian Laettner,laettch01,1992-93,23,MIN,NBA,PF,81,2823,17.3,.564,.038,.521,7.4,22.7,15.1,13.4,1.9,1.9,17.4,24.9,,2.2,2.8,5.0,.085,,-0.3,0.6,0.3,1.6
2310,Oliver Lafayette,lafayol01,2009-10,25,BOS,NBA,SG,1,22,12.8,.583,.333,.000,5.7,16.3,11.1,14.4,0.0,0.0,14.3,14.9,,0.0,0.0,0.0,.098,,-1.2,-1.6,-2.8,0.0
2311,Raef LaFrentz,lafrera01,1998-99,22,DEN,NBA,C,12,387,18.9,.553,.240,.372,9.5,17.9,13.6,3.8,1.2,3.1,5.7,18.6,,1.1,0.1,1.2,.144,,1.5,-1.7,-0.2,0.2
2312,Tom LaGarde,lagarto01,1977-78,22,DEN,NBA,C,77,868,8.2,.505,,.633,9.2,15.9,12.7,6.9,0.9,1.0,25.0,17.8,,-0.3,0.7,0.4,.024,,-4.0,-1.5,-5.4,-0.7
2313,Bill Laimbeer,laimbbi01,1980-81,23,CLE,NBA,C,81,2460,14.2,.536,.000,.228,11.4,20.2,15.6,11.5,1.1,1.8,15.2,14.2,,3.4,2.0,5.4,.104,,0.5,1.5,2.0,2.5
2315,Bo Lamar,lamarbo01,1973-74,22,SDA,ABA,SG,84,2824,15.2,.456,.143,.203,3.3,6.2,4.7,14.2,2.0,0.2,8.9,26.9,,1.3,1.2,2.5,.042,,1.0,-1.9,-0.9,0.8
2316,Doron Lamb,lambdo01,2012-13,21,TOT,NBA,SG,47,577,4.8,.433,.227,.209,1.5,7.4,4.4,8.2,1.2,0.0,12.7,15.7,,-0.6,0.2,-0.4,-0.032,,-5.2,-2.3,-7.5,-0.8
2317,Jeremy Lamb,lambje01,2012-13,20,OKC,NBA,SF,23,147,11.2,.479,.441,.206,4.2,9.4,7.0,5.4,0.7,1.0,7.5,24.8,,0.1,0.1,0.2,.058,,-2.3,-4.8,-7.1,-0.2
2318,John Lambert,lambejo01,1975-76,23,CLE,NBA,PF,54,333,13.9,.487,,.336,11.0,20.8,15.7,6.5,1.1,2.0,,,,0.3,0.5,0.7,.108,,-1.8,-0.4,-2.2,0.0
2319,Jeff Lamp,lampje01,1981-82,22,POR,NBA,SF,54,617,9.8,.561,.005,.311,4.4,7.2,5.8,6.0,1.2,0.1,16.8,17.8,,0.3,0.3,0.6,.048,,-2.4,-2.3,-4.8,-0.4
2320,Maciej Lampe,lampema01,2003-04,18,PHO,NBA,C,21,224,12.2,.512,.045,.148,4.6,17.9,11.2,7.2,0.7,1.0,13.8,21.9,,0.0,0.1,0.1,.029,,-4.0,-2.9,-6.9,-0.3
2321,Jim Lampley,lamplji01,1986-87,26,PHI,NBA,C,1,16,8.3,.387,.000,.667,7.4,28.1,18.0,0.0,3.1,0.0,20.5,12.8,,0.0,0.0,0.0,-0.003,,-9.1,-3.0,-12.1,0.0
2322,Sean Lampley,lamplse01,2002-03,23,MIA,NBA,SF,35,487,12.4,.512,.031,.636,6.0,13.9,9.8,11.3,0.8,0.5,13.2,18.4,,0.4,0.4,0.9,.084,,-2.5,-0.7,-3.2,-0.1
2323,Carl Landry,landrca01,2007-08,24,HOU,NBA,PF,42,711,21.4,.641,.005,.498,15.5,17.3,16.4,5.2,1.3,0.7,8.9,18.8,,2.5,1.2,3.7,.251,,2.1,-0.3,1.8,0.7
2324,Marcus Landry,landrma01,2009-10,24,TOT,NBA,SF,18,111,7.2,.487,.651,.116,5.0,14.6,9.7,0.0,0.5,1.3,11.7,20.9,,-0.1,0.0,-0.1,-0.034,,-5.0,-6.8,-11.8,-0.3
2325,Mark Landsberger,landsma01,1977-78,22,CHI,NBA,PF,62,926,14.5,.539,,.625,13.0,22.4,17.7,6.3,1.1,0.4,17.7,16.9,,1.1,0.8,1.9,.100,,-0.9,-1.4,-2.2,-0.1
2326,Jerome Lane,laneje01,1988-89,22,DEN,NBA,PF,54,550,12.3,.427,.027,.438,15.5,22.4,18.7,14.3,1.6,0.4,14.1,24.7,,-0.6,0.7,0.1,.013,,-2.7,-0.8,-3.5,-0.2
2327,Andrew Lang,langan01,1988-89,22,PHO,NBA,C,62,526,11.6,.554,.000,.513,11.4,18.0,14.9,2.0,1.5,5.0,16.3,12.9,,0.4,0.9,1.4,.124,,-2.4,2.2,-0.3,0.2
2328,Antonio Lang,langan02,1994-95,22,PHO,NBA,SF,12,53,0.3,.468,.000,.400,6.5,2.2,4.3,2.4,0.0,2.8,29.8,13.7,,-0.1,0.0,-0.1,-0.083,,-7.0,-1.5,-8.5,-0.1
2329,James Lang,langja01,2006-07,23,WAS,NBA,C,11,55,6.6,.491,.000,.556,10.2,12.9,11.5,5.2,0.0,4.2,15.2,10.6,,0.0,0.0,0.1,.047,,-3.5,-0.5,-4.0,0.0
2330,Trajan Langdon,langdtr01,1999-00,23,CLE,NBA,SG,10,145,10.9,.546,.475,.275,3.0,8.6,5.8,11.7,1.7,0.0,11.8,15.2,,0.2,0.1,0.3,.098,,-0.3,-1.7,-2.0,0.0
2331,Keith Langford,langfke01,2007-08,24,SAS,NBA,SG,2,10,-2.4,.250,.000,.000,0.0,23.3,11.8,0.0,0.0,0.0,0.0,19.2,,0.0,0.0,0.0,-0.142,,-14.9,-5.1,-19.9,0.0
2332,Dan Langhi,langhda01,2000-01,23,HOU,NBA,SF,33,241,9.4,.403,.010,.293,6.4,13.1,9.8,2.8,1.5,0.3,6.7,22.9,,-0.2,0.2,-0.1,-0.014,,-6.0,-3.8,-9.8,-0.5
2333,Bob Lanier,laniebo01,1970-71,22,DET,NBA,C,82,2017,20.0,.503,,.339,,,15.9,11.6,,,,,,3.0,2.2,5.2,.124,,,,,
2335,Nicolas Laprovittola,laproni01,2016-17,27,SAS,NBA,PG,18,174,8.4,.579,.574,.191,0.7,5.7,3.3,23.0,1.2,0.5,27.2,18.2,,0.0,0.2,0.2,.044,,-2.5,-2.4,-4.9,-0.1
2337,Shane Larkin,larkish01,2013-14,21,DAL,NBA,PG,48,489,8.3,.446,.277,.182,2.6,7.3,5.0,20.4,2.7,0.2,20.9,17.4,,-0.4,0.3,-0.1,-0.010,,-3.5,-1.2,-4.7,-0.3
2338,Rusty LaRue,larueru01,1997-98,24,CHI,NBA,PG,14,140,7.3,.466,.327,.163,0.8,5.7,3.3,5.7,1.2,0.5,10.3,18.7,,0.0,0.1,0.1,.040,,-3.7,-2.4,-6.1,-0.1
2341,Stephane Lasme,lasmest01,2007-08,25,TOT,NBA,PF-SF,16,303,11.7,.488,.000,.451,10.1,10.8,10.5,1.6,2.3,5.8,15.0,15.6,,-0.1,0.3,0.3,.041,,-4.8,1.9,-2.8,-0.1
2343,Priest Lauderdale,laudepr01,1996-97,23,ATL,NBA,C,35,180,13.6,.560,.011,.258,10.8,17.5,14.2,15.2,0.3,3.9,27.2,35.7,,-0.5,0.3,-0.2,-0.048,,-6.1,-0.8,-6.8,-0.2
2347,Joffrey Lauvergne,lauvejo01,2014-15,23,DEN,NBA,C,24,268,10.5,.459,.180,.315,10.5,20.9,15.5,7.5,1.5,2.9,17.8,19.9,,-0.2,0.3,0.1,.012,,-4.2,0.7,-3.6,-0.1
2349,Zach LaVine,lavinza01,2014-15,19,MIN,NBA,PG,77,1902,11.3,.515,.247,.261,1.6,11.6,6.4,24.0,1.4,0.4,20.4,22.0,,-0.7,0.0,-0.7,-0.018,,-1.7,-2.7,-4.5,-1.2
2351,Acie Law,lawac01,2007-08,23,ATL,NBA,PG,56,865,7.7,.455,.143,.203,1.6,6.0,3.8,20.4,1.8,0.0,17.8,16.5,,-0.5,0.4,-0.1,-0.007,,-4.1,-2.6,-6.7,-1.0
2352,Gani Lawal,lawalga01,2010-11,22,PHO,NBA,PF,1,2,-9.1,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.009,,-5.4,0.5,-4.9,0.0
2353,Edmund Lawrence,lawreed01,1980-81,28,DET,NBA,C,3,19,19.4,.615,.000,.500,11.6,13.0,12.2,9.5,2.5,0.0,9.3,22.9,,0.1,0.0,0.1,.201,,3.2,-2.2,1.0,0.0
2354,Jason Lawson,lawsoja01,1997-98,23,ORL,NBA,C,17,80,21.5,.670,.000,.667,11.5,28.6,19.9,10.7,2.8,3.6,9.3,12.3,,0.3,0.2,0.5,.280,,1.3,3.5,4.8,0.1
2355,Ty Lawson,lawsoty01,2009-10,22,DEN,NBA,PG,65,1318,16.4,.600,.213,.359,3.7,7.1,5.4,24.2,1.8,0.1,15.4,18.0,,2.9,0.9,3.7,.135,,1.8,-1.8,0.0,0.7
2356,Jake Layman,laymaja01,2016-17,22,POR,NBA,SF,35,249,4.9,.404,.573,.191,2.7,8.0,5.3,6.2,1.8,1.0,10.2,19.0,,-0.4,0.1,-0.3,-0.054,,-4.7,-2.7,-7.4,-0.3
2357,Mo Layton,laytomo01,1971-72,23,PHO,NBA,PG,80,1849,10.6,.462,,.230,,,4.2,18.0,,,,,,0.0,1.9,1.9,.049,,,,,
2358,T.J. Leaf,leaftj01,2017-18,20,IND,NBA,PF,50,428,10.5,.554,.322,.099,6.9,13.4,10.2,2.6,0.6,0.8,7.3,14.2,,0.5,0.3,0.7,.084,,-1.9,-2.7,-4.6,-0.3
2359,Manny Leaks,leaksma01,1968-69,23,TOT,ABA,C,78,2089,14.7,.442,.001,.303,,,16.3,6.3,,,10.2,16.9,,-0.9,2.1,1.1,.026,,,,,
2361,Allen Leavell,leaveal01,1979-80,22,HOU,NBA,PG,77,2123,15.1,.560,.029,.337,2.9,6.8,4.8,26.3,2.8,0.7,21.4,17.8,,2.6,1.4,4.0,.091,,0.6,-0.5,0.1,1.1
2362,Jeff Lebo,leboje01,1989-90,23,SAS,NBA,SG,4,32,5.8,.381,.000,.286,7.2,6.9,7.0,11.8,3.0,0.0,11.3,11.5,,0.0,0.0,0.0,.065,,-3.4,0.8,-2.7,0.0
2363,Eric Leckner,leckner01,1988-89,22,UTA,NBA,C,75,779,9.7,.591,.000,.514,7.4,20.0,14.2,3.1,0.5,1.7,20.4,18.4,,0.1,1.4,1.5,.093,,-4.2,-0.5,-4.7,-0.5
2364,Ricky Ledo,ledori01,2013-14,21,DAL,NBA,SG,11,33,12.7,.506,.471,.235,0.0,7.0,3.5,9.5,1.6,0.0,9.6,28.6,,0.0,0.0,0.0,.024,,-1.6,-5.6,-7.2,0.0
2365,Butch Lee,leebu01,1978-79,22,TOT,NBA,PG,82,1779,13.8,.513,,.363,1.9,6.0,3.9,22.7,2.3,0.0,17.3,19.8,,1.5,1.1,2.6,.069,,-0.6,-1.9,-2.5,-0.2
2367,Courtney Lee,leeco01,2008-09,23,ORL,NBA,SG,77,1939,10.7,.556,.376,.174,1.1,9.1,5.2,7.6,2.0,0.5,10.6,15.5,,1.3,3.1,4.4,.108,,-1.0,1.5,0.5,1.2
2368,Damion Lee,leeda03,2017-18,25,ATL,NBA,SG,10,260,12.4,.509,.425,.241,1.7,16.0,8.8,11.2,2.4,0.3,7.7,17.5,,0.1,0.2,0.3,.064,,-1.6,-0.2,-1.8,0.0
2370,David Lee,leeda02,2005-06,22,NYK,NBA,SF,67,1129,15.4,.607,.000,.535,11.6,21.1,16.3,6.5,1.4,1.5,15.2,13.5,,2.0,0.8,2.7,.116,,0.2,0.2,0.4,0.7
2372,Doug Lee,leedo01,1991-92,27,NJN,NBA,SG,46,307,10.4,.482,.319,.164,5.7,6.4,6.0,10.0,1.8,0.2,8.8,17.8,,0.3,0.2,0.4,.067,,-1.0,-2.7,-3.7,-0.1
2374,Greg Lee,leegr01,1974-75,23,SDA,ABA,PG,5,63,11.4,.567,.000,.133,1.5,3.1,2.3,25.3,2.9,0.0,27.4,13.4,,0.0,0.0,0.1,.041,,-3.1,-2.6,-5.7,-0.1
2375,Keith Lee,leeke01,1985-86,23,CLE,NBA,PF,58,1197,12.0,.510,.024,.253,10.7,21.7,16.2,7.7,1.1,1.8,15.6,17.1,,0.5,1.4,1.9,.075,,-1.7,1.1,-0.7,0.4
2376,Kurk Lee,leeku01,1990-91,23,NJN,NBA,PG,48,265,5.6,.396,.211,.394,2.7,9.5,5.9,16.8,2.0,0.4,19.4,15.7,,-0.3,0.2,-0.1,-0.013,,-5.7,-1.1,-6.7,-0.3
2377,Malcolm Lee,leema01,2011-12,21,MIN,NBA,SG,19,243,9.3,.466,.169,.288,4.1,7.8,5.9,19.8,1.7,1.2,20.4,15.3,,0.0,0.1,0.1,.024,,-3.0,-0.1,-3.0,-0.1
2378,Rock Lee,leero02,1981-82,26,SDC,NBA,C,2,10,1.0,.266,.000,2.000,0.0,12.2,6.0,25.0,0.0,0.0,0.0,15.3,,0.0,0.0,0.0,-0.129,,-6.2,-4.6,-10.8,0.0
2379,Ron Lee,leero01,1976-77,24,PHO,NBA,PG,82,1849,15.6,.476,,.267,5.8,11.6,8.7,21.1,3.8,1.0,,,,-0.5,3.2,2.8,.072,,0.2,2.0,2.3,2.0
2383,Tim Legler,legleti01,1989-90,23,PHO,NBA,SG,11,83,6.7,.442,.034,.207,5.6,5.0,5.3,9.5,1.1,0.0,11.2,17.7,,0.0,0.1,0.0,.023,,-3.6,-2.0,-5.5,-0.1
2384,George Lehmann,lehmage01,1967-68,25,STL,NBA,PG,55,497,9.4,.401,,.250,,,,24.5,,,,,,-0.5,0.5,0.0,-0.005,,,,,
2385,"Walt Lemon, Jr.",lemonwa01,2017-18,25,NOP,NBA,PG,5,35,7.0,.491,.063,.188,0.0,6.0,3.1,21.3,0.0,2.3,18.8,26.4,,-0.1,0.0,-0.1,-0.074,,-7.4,-4.3,-11.7,-0.1
2386,Alex Len,lenal01,2013-14,20,PHO,NBA,C,42,362,7.3,.469,.000,.397,12.1,18.6,15.3,1.6,0.6,3.8,22.1,14.3,,-0.2,0.4,0.2,.024,,-5.7,-0.2,-5.9,-0.4
2387,Voshon Lenard,lenarvo01,1995-96,22,MIA,NBA,SG,30,323,15.9,.550,.716,.305,4.4,14.1,9.4,16.9,1.0,0.2,12.6,25.7,,0.5,0.4,0.9,.135,,2.9,-2.4,0.5,0.2
2389,Gary Leonard,leonaga01,1989-90,22,MIN,NBA,C,22,127,6.2,.431,.032,.452,8.9,17.1,12.8,1.2,1.2,4.7,17.7,15.7,,-0.2,0.2,0.0,-0.010,,-7.6,-0.3,-7.9,-0.2
2390,Kawhi Leonard,leonaka01,2011-12,20,SAS,NBA,SF,64,1534,16.6,.573,.270,.218,7.9,16.4,12.2,6.6,2.9,1.1,9.0,14.5,,3.1,2.4,5.5,.171,,2.0,2.3,4.3,2.4
2391,Meyers Leonard,leoname01,2012-13,20,POR,NBA,C,69,1206,12.1,.596,.025,.321,7.6,17.1,12.3,4.3,0.5,2.4,13.4,13.9,,1.8,0.7,2.4,.097,,-2.2,-0.5,-2.6,-0.2
2393,Jim Les,lesji01,1988-89,25,UTA,NBA,PG,82,781,7.9,.418,.105,.549,3.5,8.4,6.2,36.5,1.7,0.4,34.8,13.7,,-0.8,1.1,0.3,.018,,-5.1,-0.7,-5.8,-0.8
2394,Travis Leslie,leslitr01,2011-12,21,LAC,NBA,SG,10,45,14.6,.390,.000,.643,15.7,8.0,11.9,17.0,2.4,3.7,10.0,20.5,,0.0,0.0,0.1,.060,,-1.5,1.3,-0.2,0.0
2395,Ronnie Lester,lestero01,1980-81,22,CHI,NBA,PG,8,83,8.2,.520,.000,.458,4.3,3.9,4.1,11.2,1.1,0.0,23.8,18.6,,0.0,0.0,0.0,.008,,-4.0,-3.1,-7.1,-0.1
2396,Clifford Lett,lettcl01,1989-90,24,CHI,NBA,PG,4,28,-9.0,.250,.000,.000,0.0,0.0,0.0,4.4,0.0,0.0,20.0,15.3,,-0.1,0.0,-0.1,-0.203,,-12.2,-5.4,-17.6,-0.1
2397,Jon Leuer,leuerjo01,2011-12,22,MIL,NBA,PF,46,555,15.3,.536,.047,.147,8.7,15.3,11.9,7.3,1.3,2.3,8.1,17.6,,0.9,0.5,1.4,.122,,-0.9,-0.5,-1.4,0.1
2399,Fat Lever,leverfa01,1982-83,22,POR,NBA,PG,81,2020,14.8,.477,.025,.268,4.7,7.8,6.2,28.2,3.6,0.4,17.1,16.1,,1.7,2.6,4.4,.104,,0.3,1.0,1.2,1.7
2400,Caris LeVert,leverca01,2016-17,22,BRK,NBA,SF,57,1237,12.3,.556,.484,.245,2.0,13.9,8.0,13.7,1.9,0.5,12.3,16.6,,0.8,1.0,1.8,.070,,-0.7,-0.4,-1.1,0.3
2401,Cliff Levingston,levincl01,1982-83,22,DET,NBA,PF,62,879,12.9,.517,.004,.544,12.0,15.5,13.7,7.8,1.2,2.2,17.9,17.9,,0.5,0.9,1.3,.072,,-1.7,-0.4,-2.1,0.0
2403,Cedric Lewis,lewisce01,1995-96,26,WSB,NBA,C,3,4,62.7,.667,.000,.000,60.0,0.0,29.4,0.0,12.8,0.0,0.0,33.5,,0.0,0.0,0.1,.613,,20.3,-3.8,16.5,0.0
2405,Freddie Lewis,lewisfr02,1966-67,23,CIN,NBA,PG,32,334,10.5,.436,,.268,,,,15.8,,,,,,-0.2,0.2,0.0,.004,,,,,
2407,Martin Lewis,lewisma01,1995-96,20,TOR,NBA,SF,16,189,11.2,.528,.117,.417,9.4,8.9,9.1,2.5,2.2,1.2,16.5,19.8,,0.0,0.1,0.0,.011,,-3.5,-3.2,-6.7,-0.2
2408,Mike Lewis,lewismi01,1968-69,22,TOT,ABA,C,76,1617,15.3,.483,.007,.415,,,17.2,9.0,,,17.1,17.7,,0.7,3.1,3.8,.114,,,,,
2409,Quincy Lewis,lewisqu01,1999-00,22,UTA,NBA,SG,74,896,6.6,.441,.211,.174,6.4,8.9,7.7,7.1,1.4,1.3,12.5,18.9,,-0.5,0.9,0.3,.018,,-3.1,-0.9,-4.0,-0.5
2410,Ralph Lewis,lewisra01,1987-88,24,DET,NBA,SG,50,310,5.6,.384,.011,.552,6.3,12.0,9.2,5.7,2.0,0.8,14.9,17.0,,-0.5,0.4,-0.1,-0.008,,-5.9,0.4,-5.5,-0.3
2411,Rashard Lewis,lewisra02,1998-99,19,SEA,NBA,SF,20,145,4.5,.404,.115,.269,10.2,9.7,9.9,4.6,3.0,0.5,25.6,24.4,,-0.5,0.1,-0.4,-0.136,,-7.8,-2.1,-9.9,-0.3
2412,Reggie Lewis,lewisre01,1987-88,22,BOS,NBA,SG,49,405,14.3,.504,.021,.295,8.8,9.6,9.2,9.3,1.9,2.1,12.1,26.3,,0.1,0.4,0.4,.052,,-2.1,-1.9,-4.0,-0.2
2413,Marcus Liberty,liberma01,1990-91,22,DEN,NBA,SF,76,1171,10.4,.458,.111,.179,8.6,9.3,8.9,6.8,1.7,0.9,11.4,18.8,,-0.1,0.1,-0.1,-0.004,,-2.4,-2.1,-4.5,-0.7
2414,Todd Lichti,lichtto01,1989-90,23,DEN,NBA,SG,79,1326,12.3,.533,.027,.339,3.6,8.6,6.0,11.7,1.9,0.6,13.9,20.2,,0.5,1.3,1.8,.066,,-1.9,-0.6,-2.5,-0.2
2416,DeAndre Liggins,liggide01,2011-12,23,ORL,NBA,SF,17,115,8.9,.495,.160,.760,5.9,9.2,7.5,7.1,2.8,0.0,23.1,17.7,,-0.1,0.1,0.0,.000,,-4.5,0.1,-4.4,-0.1
2418,Goose Ligon,ligongo01,1967-68,23,KEN,ABA,PF,78,2801,20.1,.524,.004,.632,,,14.4,7.8,,,13.5,18.8,,5.7,3.9,9.7,.166,,,,,
2419,Damian Lillard,lillada01,2012-13,22,POR,NBA,PG,82,3167,16.4,.546,.391,.249,1.5,8.0,4.7,28.8,1.2,0.5,14.5,24.2,,5.1,0.7,5.8,.088,,2.7,-2.4,0.3,1.9
2420,Jeremy Lin,linje01,2010-11,22,GSW,NBA,PG,29,285,14.8,.458,.069,.347,4.7,8.9,6.8,20.4,5.9,2.4,17.8,15.6,,0.0,0.4,0.5,.078,,-2.4,3.0,0.6,0.2
2421,Steve Lingenfelter,lingest01,1982-83,24,WSB,NBA,PF,7,53,3.2,.515,.000,.667,2.1,23.2,12.5,9.9,0.9,3.3,39.2,10.0,,-0.1,0.1,0.0,.009,,-7.8,3.7,-4.1,0.0
2422,Alton Lister,listeal01,1981-82,23,MIL,NBA,C,80,1186,11.5,.531,.000,.429,10.9,26.0,18.7,9.2,0.7,5.8,27.4,16.3,,-0.9,2.6,1.7,.071,,-4.4,3.6,-0.8,0.4
2424,Gene Littles,littlge01,1969-70,26,CAR,ABA,PG,82,2832,14.2,.552,.004,.311,,,6.8,14.0,,,14.5,14.6,,4.6,3.1,7.7,.130,,,,,
2425,Randy Livingston,livinra01,1996-97,21,HOU,NBA,PG,64,981,8.3,.487,.096,.284,4.0,7.0,5.6,23.8,2.1,0.9,28.4,16.7,,-0.8,1.1,0.3,.012,,-4.6,-0.1,-4.7,-0.7
2426,Shaun Livingston,livinsh01,2004-05,19,LAC,NBA,PG,30,814,10.4,.461,.009,.274,3.3,9.6,6.6,29.9,2.1,1.0,23.7,18.0,,-0.6,0.7,0.1,.008,,-2.8,-0.3,-3.1,-0.2
2428,Horacio Llamas Grey,llamaho01,1996-97,23,PHO,NBA,C,20,101,10.5,.539,.000,.286,4.7,16.1,10.4,6.2,5.1,3.7,25.9,19.0,,-0.2,0.2,0.0,.019,,-5.3,3.9,-1.4,0.0
2432,Lewis Lloyd,lloydle01,1981-82,22,GSW,NBA,SG,16,95,14.8,.572,.000,.244,10.2,8.2,9.2,9.6,2.5,0.6,21.9,27.1,,0.0,0.1,0.1,.043,,-1.1,-1.6,-2.7,0.0
2433,Scott Lloyd,lloydsc01,1976-77,24,MIL,NBA,C,69,1025,11.2,.528,,.389,8.1,13.1,10.6,4.1,0.9,0.6,,,,1.0,0.4,1.3,.062,,-2.0,-2.3,-4.2,-0.6
2436,Rob Lock,lockro01,1988-89,22,LAC,NBA,PF,20,110,5.3,.389,.000,.469,13.6,17.4,15.5,4.5,1.3,2.0,25.2,18.5,,-0.3,0.1,-0.2,-0.083,,-8.0,-1.4,-9.4,-0.2
2437,Darrell Lockhart,lockhda01,1983-84,23,SAS,NBA,C,2,14,1.6,1.000,.000,.000,0.0,22.4,11.4,0.0,0.0,0.0,50.0,11.1,,0.0,0.0,0.0,-0.048,,-6.6,-4.1,-10.7,0.0
2438,Ian Lockhart,lockhia01,1990-91,23,PHO,NBA,SF,1,2,76.3,1.064,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3,,0.0,0.0,0.0,1.084,,27.3,-11.0,16.4,0.0
2439,Kevin Loder,loderke01,1981-82,22,KCK,NBA,SF,71,1139,12.9,.498,.025,.239,6.6,12.8,9.6,10.7,1.4,1.5,12.1,20.2,,0.4,1.1,1.5,.062,,-1.6,-0.3,-1.9,0.0
2443,Brad Lohaus,lohaubr01,1987-88,23,BOS,NBA,PF,70,718,12.2,.543,.053,.252,8.1,14.2,11.4,9.2,1.4,3.3,17.8,19.9,,0.2,0.8,0.9,.063,,-2.1,0.2,-2.0,0.0
2444,Art Long,longar01,2000-01,28,SAC,NBA,SF,9,20,-3.6,.000,.000,.500,11.1,31.5,21.5,6.4,0.0,10.0,29.1,15.2,,-0.1,0.1,-0.1,-0.214,,-15.7,5.3,-10.4,0.0
2445,Grant Long,longgr01,1988-89,22,MIA,NBA,PF,82,2435,13.7,.561,.007,.587,10.7,14.7,12.6,9.1,2.4,1.2,18.8,17.9,,2.0,2.7,4.6,.091,,-0.4,1.3,0.9,1.8
2446,John Long,longjo01,1978-79,22,DET,NBA,SG,82,2498,13.6,.498,,.153,5.1,6.0,5.5,6.9,1.8,0.4,9.4,22.3,,2.2,1.4,3.6,.070,,-0.2,-1.5,-1.7,0.2
2448,Shawn Long,longsh01,2016-17,24,PHI,NBA,C,18,234,24.1,.595,.174,.321,19.3,20.8,20.0,10.7,1.9,3.1,9.5,25.4,,0.6,0.3,0.9,.195,,3.4,0.0,3.4,0.3
2449,Willie Long,longwi01,1971-72,21,FLO,ABA,PF,75,1925,12.8,.494,.001,.382,7.8,18.2,12.9,4.9,,,13.4,20.6,,0.7,1.4,2.1,.053,,,,,
2450,Luc Longley,longllu01,1991-92,23,MIN,NBA,C,66,991,10.1,.494,.000,.321,7.2,21.8,14.3,7.3,1.8,3.9,22.6,15.8,,-0.9,1.1,0.2,.009,,-5.1,1.7,-3.4,-0.3
