,Name,link,Year,Age,Team,League,Position,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
651,Michael Carter-Williams,cartemi01,2013-14,22,PHI,NBA,PG,70,70,34.5,6.1,15.1,.405,0.8,3.0,.264,5.3,12.1,.440,.431,3.7,5.2,.703,1.4,4.8,6.2,6.3,1.9,0.6,3.5,3.0,16.7
652,Bill Cartwright,cartwbi01,1979-80,22,NYK,NBA,C,82,,38.4,8.1,14.8,.547,0.0,0.0,,8.1,14.8,.547,.547,5.5,6.9,.797,2.4,6.5,8.9,2.0,0.6,1.2,2.7,3.4,21.7
654,Alex Caruso,carusal01,2017-18,23,LAL,NBA,PG,31,1,14.3,1.2,2.7,.424,0.2,1.0,.233,0.9,1.8,.527,.465,0.5,0.7,.682,0.3,1.2,1.5,1.9,0.6,0.3,1.0,1.3,3.0
656,Sam Cash,cashsa01,1972-73,22,MMT,ABA,PF,7,,7.4,0.6,2.6,.222,0.0,0.0,,0.6,2.6,.222,.222,1.7,2.4,.706,1.6,1.1,2.7,0.0,0.7,0.4,2.3,1.6,2.9
657,Sam Cassell,cassesa01,1993-94,24,HOU,NBA,PG,66,6,17.0,2.5,5.9,.418,0.4,1.3,.295,2.1,4.5,.453,.451,1.4,1.6,.841,0.4,1.7,2.0,2.9,0.9,0.1,1.4,2.1,6.7
658,Omri Casspi,casspom01,2009-10,21,SAC,NBA,SF,77,31,25.1,3.9,8.7,.446,1.0,2.6,.369,2.9,6.1,.480,.502,1.5,2.3,.672,1.0,3.6,4.5,1.2,0.7,0.2,1.3,1.6,10.3
659,Harvey Catchings,catchha01,1974-75,23,PHI,NBA,C,37,,14.3,1.1,2.0,.554,,,,1.1,2.0,.554,.554,0.4,0.7,.640,1.3,2.8,4.1,0.6,0.3,1.6,,2.2,2.6
660,Terry Catledge,catlete01,1985-86,22,PHI,NBA,PF,64,7,17.1,3.2,6.7,.469,0.0,0.1,.000,3.2,6.7,.473,.469,1.4,2.2,.647,1.7,2.6,4.3,0.3,0.5,0.1,1.1,2.0,7.7
662,Kelvin Cato,catoke01,1997-98,23,POR,NBA,C,74,8,13.6,1.3,3.1,.428,0.0,0.0,.000,1.3,3.1,.434,.428,1.2,1.7,.688,1.2,2.2,3.4,0.3,0.4,1.3,0.6,2.2,3.8
663,Bobby Cattage,cattabo01,1981-82,23,UTA,NBA,PF,49,0,6.9,1.2,2.8,.444,0.0,0.0,.000,1.2,2.7,.451,.444,0.6,0.8,.732,0.4,1.0,1.5,0.1,0.1,0.0,0.4,1.2,3.1
664,Willie Cauley-Stein,caulewi01,2015-16,22,SAC,NBA,C,66,39,21.4,2.9,5.1,.563,0.0,0.0,.000,2.9,5.1,.567,.563,1.2,1.9,.648,2.0,3.3,5.3,0.6,0.7,1.0,0.7,2.2,7.0
665,Duane Causwell,causwdu01,1990-91,22,SAC,NBA,C,76,55,22.6,2.8,5.4,.508,0.0,0.0,,2.8,5.4,.508,.508,1.4,2.2,.636,1.9,3.3,5.1,0.9,0.6,1.9,1.3,3.0,6.9
666,Tyler Cavanaugh,cavanty01,2017-18,23,ATL,NBA,PF,38,1,13.4,1.7,3.8,.448,0.8,2.3,.360,0.9,1.6,.576,.555,0.4,0.6,.810,1.1,2.1,3.2,0.7,0.2,0.1,0.4,1.6,4.7
667,Ron Cavenall,cavenro01,1984-85,25,NYK,NBA,C,53,2,12.3,0.5,1.6,.326,0.0,0.0,,0.5,1.6,.326,.326,0.4,0.7,.564,1.0,2.1,3.1,0.4,0.2,0.8,0.8,2.3,1.5
668,Cedric Ceballos,cebalce01,1990-91,21,PHO,NBA,SF,63,0,11.6,3.2,6.7,.487,0.0,0.1,.167,3.2,6.6,.492,.488,1.7,2.6,.663,1.2,1.2,2.4,0.6,0.3,0.1,1.1,1.1,8.2
669,John Celestand,celesjo01,1999-00,22,LAL,NBA,PG,16,0,11.6,0.9,2.8,.333,0.1,0.6,.222,0.8,2.3,.361,.356,0.3,0.4,.833,0.1,0.6,0.7,1.3,0.4,0.0,1.0,1.4,2.3
671,Lionel Chalmers,chalmli01,2004-05,24,LAC,NBA,PG,36,0,12.0,1.2,3.5,.336,0.3,1.4,.245,0.8,2.1,.395,.384,0.4,0.7,.625,0.1,0.8,0.9,1.4,0.4,0.0,0.7,0.8,3.1
672,Mario Chalmers,chalmma01,2008-09,22,MIA,NBA,PG,82,82,32.0,3.4,8.1,.420,1.4,3.8,.367,2.0,4.3,.467,.506,1.8,2.4,.767,0.5,2.3,2.8,4.9,2.0,0.1,2.0,2.9,10.0
673,Bill Chamberlain,chambbi01,1972-73,23,TOT,ABA,SF,50,,13.3,2.2,5.6,.397,0.0,0.2,.250,2.2,5.5,.401,.401,0.7,1.2,.610,1.2,1.1,2.4,1.5,,,1.2,2.0,5.2
675,Jerry Chambers,chambje01,1966-67,23,LAL,NBA,SF,69,,14.7,3.2,7.2,.452,,,,3.2,7.2,.452,.452,1.0,1.3,.731,,,3.0,0.6,,,,2.1,7.5
676,Tom Chambers,chambto01,1981-82,22,SDC,NBA,PF,81,58,33.1,6.8,13.0,.525,0.0,0.0,.000,6.8,13.0,.526,.525,3.5,5.7,.620,2.6,4.3,6.9,1.8,0.7,0.6,2.7,4.2,17.2
677,Mike Champion,champmi01,1988-89,24,SEA,NBA,SF,2,0,2.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0
678,Tyson Chandler,chandty01,2001-02,19,CHI,NBA,C,71,31,19.6,2.1,4.3,.497,0.0,0.0,,2.1,4.3,.497,.497,1.9,3.1,.604,1.6,3.2,4.8,0.8,0.4,1.3,1.4,2.5,6.1
679,Wilson Chandler,chandwi01,2007-08,20,NYK,NBA,SF,35,16,19.6,3.0,6.9,.438,0.3,0.9,.300,2.8,6.1,.458,.457,1.0,1.5,.630,1.1,2.5,3.6,0.9,0.4,0.5,0.8,2.4,7.3
680,Don Chaney,chanedo01,1968-69,22,BOS,NBA,SG,20,,10.5,1.8,5.7,.319,,,,1.8,5.7,.319,.319,0.4,1.0,.400,,,2.3,1.0,,,,1.6,4.0
682,Rex Chapman,chapmre01,1988-89,21,CHH,NBA,SG,75,44,29.6,7.0,16.9,.414,0.8,2.5,.314,6.2,14.4,.431,.437,2.1,2.6,.795,1.0,1.5,2.5,2.3,0.9,0.3,1.5,2.2,16.9
686,Lorenzo Charles,charllo01,1985-86,22,ATL,NBA,SF,36,0,7.6,1.4,2.4,.557,0.0,0.0,,1.4,2.4,.557,.557,0.7,1.0,.667,0.4,0.7,1.1,0.2,0.1,0.2,0.5,1.0,3.4
687,Calbert Cheaney,cheanca01,1993-94,22,WSB,NBA,SG,65,21,24.7,5.0,10.7,.470,0.0,0.4,.043,5.0,10.4,.484,.471,1.9,2.5,.770,1.4,1.6,2.9,1.9,1.0,0.2,1.7,2.3,12.0
688,Maurice Cheeks,cheekma01,1978-79,22,PHI,NBA,PG,82,,29.4,3.6,7.0,.510,,,,3.6,7.0,.510,.510,1.2,1.7,.721,0.8,2.3,3.1,5.3,2.1,0.1,2.4,2.4,8.4
689,Phil Chenier,cheniph01,1971-72,21,BAL,NBA,SG,81,,30.6,5.0,12.1,.415,,,,5.0,12.1,.415,.415,2.2,3.0,.737,,,3.3,2.5,,,,2.4,12.3
690,Will Cherry,cherrwi01,2014-15,23,CLE,NBA,PG,8,0,8.6,0.6,2.4,.263,0.3,1.1,.222,0.4,1.3,.300,.316,0.4,0.8,.500,0.1,0.5,0.6,1.0,0.8,0.1,0.5,1.3,1.9
691,Derrick Chievous,chievde01,1988-89,21,HOU,NBA,SF,81,1,19.0,3.4,7.8,.437,0.1,0.3,.208,3.4,7.5,.446,.441,2.4,3.0,.783,1.4,1.8,3.2,1.0,0.6,0.1,1.7,2.0,9.3
692,Pete Chilcutt,chilcpe01,1991-92,23,SAC,NBA,PF,69,2,11.8,1.6,3.6,.452,0.0,0.0,1.000,1.6,3.6,.448,.456,0.3,0.4,.821,1.1,1.6,2.7,0.6,0.5,0.2,0.6,1.0,3.6
693,Josh Childress,childjo01,2004-05,21,ATL,NBA,SG,80,44,29.7,3.8,8.0,.470,0.2,0.7,.232,3.6,7.3,.493,.481,2.4,2.9,.823,2.4,3.6,6.0,1.9,0.9,0.4,1.3,2.3,10.1
694,Randolph Childress,childra01,1995-96,23,POR,NBA,PG,28,0,8.9,0.9,2.8,.316,0.5,1.7,.277,0.4,1.1,.375,.399,0.8,1.0,.815,0.0,0.6,0.7,1.1,0.3,0.0,1.0,0.8,3.0
695,Chris Childs,childch01,1994-95,27,NJN,NBA,PG,53,11,19.3,2.0,5.3,.380,0.8,2.4,.328,1.2,2.9,.422,.453,1.0,1.4,.753,0.3,1.0,1.3,4.1,0.8,0.1,1.4,2.2,5.8
697,Jim Chones,choneji01,1972-73,23,NYA,ABA,PF,82,,26.3,4.8,9.4,.514,0.0,0.0,.000,4.8,9.4,.514,.514,1.7,2.9,.592,1.7,5.4,7.1,1.2,,,2.6,3.5,11.4
698,Marquese Chriss,chrisma01,2016-17,19,PHO,NBA,PF,82,75,21.3,3.5,7.7,.449,0.9,2.7,.321,2.6,5.0,.520,.506,1.4,2.2,.624,1.2,3.1,4.2,0.7,0.8,0.9,1.3,3.2,9.2
701,Bob Christian,chrisbo01,1969-70,23,TOT,ABA,C,2,,5.5,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.5,1.0,1.5,0.0,,,1.5,1.5,1.0
702,Doug Christie,chrisdo01,1992-93,22,LAL,NBA,SG,23,0,14.4,2.0,4.6,.425,0.1,0.5,.167,1.9,4.1,.457,.434,2.2,2.9,.758,1.0,1.2,2.2,2.3,1.0,0.2,2.2,2.3,6.2
703,Dionte Christmas,chrisdi01,2013-14,27,PHO,NBA,SF,31,0,6.4,0.7,2.0,.355,0.3,1.0,.290,0.4,1.0,.419,.427,0.6,0.8,.750,0.4,0.8,1.2,0.3,0.1,0.1,0.2,0.6,2.3
704,Rakeem Christmas,chrisra01,2015-16,24,IND,NBA,PF,1,0,6.0,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
705,Semaj Christon,chrisse01,2016-17,24,OKC,NBA,PG,64,1,15.2,1.2,3.5,.345,0.2,1.0,.190,1.0,2.5,.406,.372,0.3,0.5,.548,0.3,1.1,1.4,2.0,0.4,0.1,0.7,1.2,2.9
706,Patrick Christopher,chrispa01,2014-15,26,UTA,NBA,SG,4,1,7.3,0.8,3.0,.250,0.0,1.0,.000,0.8,2.0,.375,.250,0.0,0.0,,0.5,1.0,1.5,0.0,0.3,0.0,0.3,1.5,1.5
708,Robert Churchwell,churcro01,1995-96,23,GSW,NBA,SG,4,0,5.0,0.8,2.0,.375,0.0,0.0,,0.8,2.0,.375,.375,0.0,0.0,,0.0,0.8,0.8,0.3,0.0,0.0,0.5,0.3,1.5
710,Carlos Clark,clarkca01,1983-84,23,BOS,NBA,SG,31,0,4.1,0.6,1.7,.365,0.0,0.1,.000,0.6,1.6,.380,.365,0.5,0.6,.889,0.2,0.3,0.5,0.5,0.3,0.0,0.4,0.4,1.7
711,Earl Clark,clarkea01,2009-10,22,PHO,NBA,PF,51,0,7.5,1.1,3.0,.371,0.0,0.1,.400,1.1,2.9,.370,.377,0.5,0.7,.722,0.4,0.9,1.2,0.4,0.1,0.3,0.5,0.5,2.7
712,Ian Clark,clarkia01,2013-14,22,UTA,NBA,SG,23,0,7.5,1.1,2.9,.388,0.5,1.3,.355,0.7,1.6,.417,.470,0.2,0.3,.714,0.1,0.7,0.8,0.7,0.3,0.1,0.6,1.0,3.0
713,Keon Clark,clarkke01,1998-99,23,DEN,NBA,C,28,0,14.6,1.3,2.9,.450,0.0,0.0,.000,1.3,2.8,.456,.450,0.8,1.3,.568,1.3,2.1,3.4,0.4,0.4,1.1,0.8,1.9,3.3
715,Coty Clarke,clarkco01,2015-16,23,BOS,NBA,SF,3,0,2.0,0.7,1.3,.500,0.7,0.7,1.000,0.0,0.7,.000,.750,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,2.0
716,Jordan Clarkson,clarkjo01,2014-15,22,LAL,NBA,PG,59,38,25.0,4.5,10.1,.448,0.6,2.1,.314,3.9,8.1,.482,.480,2.2,2.7,.829,0.9,2.3,3.2,3.5,0.9,0.2,1.6,1.8,11.9
717,Gian Clavell,clavegi01,2017-18,24,DAL,NBA,SG,7,0,9.1,0.9,2.6,.333,0.9,2.1,.400,0.0,0.4,.000,.500,0.3,0.3,1.000,0.1,0.9,1.0,0.4,0.3,0.0,0.3,1.1,2.9
718,Victor Claver,clavevi01,2012-13,24,POR,NBA,SF,49,16,16.6,1.5,3.9,.392,0.5,1.8,.287,1.0,2.1,.480,.458,0.3,0.6,.467,0.6,1.8,2.4,0.9,0.5,0.2,0.9,1.5,3.8
720,Charles Claxton,claxtch01,1995-96,25,BOS,NBA,C,3,0,2.3,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.7,.000,0.7,0.0,0.7,0.0,0.0,0.3,0.3,1.3,0.7
721,Speedy Claxton,claxtsp01,2001-02,23,PHI,NBA,PG,67,18,22.8,2.7,6.7,.400,0.1,0.5,.121,2.6,6.3,.422,.405,1.7,2.0,.838,0.7,1.7,2.4,3.0,1.4,0.1,1.4,2.2,7.2
722,Jim Cleamons,cleamji01,1971-72,22,LAL,NBA,PG,38,,5.3,0.9,2.6,.350,,,,0.9,2.6,.350,.350,0.7,0.9,.778,,,1.0,0.9,,,,0.6,2.6
723,Mateen Cleaves,cleavma01,2000-01,23,DET,NBA,PG,78,8,16.3,2.1,5.1,.400,0.1,0.2,.294,2.0,4.9,.405,.406,1.2,1.8,.708,0.3,1.4,1.7,2.7,0.6,0.0,1.8,2.0,5.4
725,Antonius Cleveland,clevean01,2017-18,23,DAL,NBA,SG,13,0,6.2,0.3,1.1,.286,0.0,0.1,.000,0.3,1.0,.308,.286,0.2,0.3,.500,0.2,0.6,0.8,0.2,0.5,0.3,0.2,0.8,0.8
728,Keith Closs,closske01,1997-98,21,LAC,NBA,C,58,1,12.8,1.6,3.6,.449,0.0,0.0,,1.6,3.6,.449,.449,0.8,1.3,.597,1.1,1.8,2.9,0.3,0.2,1.4,0.7,1.3,4.0
732,Richard Coffey,cofferi01,1990-91,25,MIN,NBA,SF,52,1,6.2,0.5,1.4,.373,0.0,0.0,.000,0.5,1.4,.378,.373,0.2,0.4,.545,0.8,0.7,1.5,0.1,0.1,0.1,0.1,0.9,1.3
733,Fred Cofield,cofiefr01,1985-86,24,NYK,NBA,PG,45,1,10.4,1.7,4.1,.408,0.1,0.3,.200,1.6,3.8,.426,.416,0.3,0.4,.600,0.1,0.9,1.0,1.8,0.4,0.1,1.1,1.4,3.7
734,John Coker,cokerjo01,1995-96,24,PHO,NBA,C,5,0,2.2,0.8,1.0,.800,0.0,0.0,,0.8,1.0,.800,.800,0.0,0.0,,0.4,0.0,0.4,0.2,0.0,0.2,0.0,0.2,1.6
735,Norris Cole,coleno01,2011-12,23,MIA,NBA,PG,65,2,19.4,2.7,6.9,.393,0.3,1.2,.276,2.4,5.8,.417,.417,1.0,1.3,.776,0.3,1.1,1.4,2.0,0.7,0.0,1.6,1.9,6.8
736,Ben Coleman,colembe01,1986-87,25,NJN,NBA,C,68,7,15.1,2.7,4.6,.581,0.0,0.0,.000,2.7,4.6,.583,.581,1.3,1.8,.727,1.5,2.8,4.2,0.5,0.5,0.5,1.4,2.9,6.6
737,Derrick Coleman,colemde01,1990-91,23,NJN,NBA,PF,74,68,35.2,6.9,14.9,.467,0.2,0.5,.342,6.8,14.4,.472,.473,4.4,6.0,.731,3.6,6.6,10.3,2.2,1.0,1.3,2.9,2.9,18.4
740,Norris Coleman,colemno01,1987-88,26,LAC,NBA,SF,29,11,14.9,2.3,6.6,.346,0.0,0.1,.500,2.2,6.5,.344,.348,0.7,1.2,.556,1.2,1.6,2.8,0.4,0.4,0.2,0.6,1.8,5.3
741,Bimbo Coles,colesbi01,1990-91,22,MIA,NBA,PG,82,9,16.5,2.0,4.8,.412,0.1,0.4,.176,1.9,4.4,.435,.420,0.9,1.2,.747,0.7,1.2,1.9,2.8,0.8,0.1,1.2,1.8,4.9
742,Jason Collier,collija02,2000-01,23,HOU,NBA,C,23,0,9.7,1.2,3.1,.380,0.0,0.0,.000,1.2,3.0,.386,.380,0.7,1.0,.708,0.5,1.1,1.6,0.3,0.1,0.1,0.5,1.2,3.1
743,Art Collins,colliar01,1980-81,26,ATL,NBA,SG,29,,13.6,1.2,3.4,.354,0.0,0.1,.000,1.2,3.3,.361,.354,0.8,1.2,.667,0.7,0.8,1.4,0.9,0.4,0.0,1.1,1.2,3.2
744,Don Collins,collido02,1980-81,22,TOT,NBA,SF,81,,22.8,4.4,10.0,.444,0.0,0.1,.000,4.4,9.9,.447,.444,2.6,3.4,.776,1.6,1.7,3.3,2.3,1.3,0.3,2.1,3.2,11.5
745,Doug Collins,collido01,1973-74,22,PHI,NBA,SG,25,,17.4,2.9,7.8,.371,,,,2.9,7.8,.371,.371,2.2,2.9,.764,0.3,1.6,1.8,1.6,0.5,0.1,,2.6,8.0
746,James Collins,collija01,1997-98,24,LAC,NBA,SG,23,0,4.5,0.9,2.4,.382,0.4,0.9,.450,0.5,1.5,.343,.464,0.3,0.6,.571,0.3,0.3,0.6,0.1,0.3,0.1,0.3,0.5,2.6
747,Jarron Collins,collija03,2001-02,23,UTA,NBA,C,70,68,20.6,2.3,4.9,.461,0.0,0.0,.000,2.3,4.9,.462,.461,1.9,2.6,.740,2.0,2.3,4.2,0.8,0.4,0.3,0.8,3.3,6.4
748,Jason Collins,collija04,2001-02,23,NJN,NBA,C,77,9,18.3,1.5,3.6,.421,0.0,0.0,.500,1.5,3.6,.420,.423,1.5,2.1,.701,1.7,2.2,3.9,1.1,0.4,0.6,0.9,2.2,4.5
750,John Collins,collijo01,2017-18,20,ATL,NBA,PF,69,21,23.6,4.2,7.2,.585,0.2,0.5,.324,4.0,6.7,.604,.596,1.8,2.4,.740,2.4,4.8,7.2,1.2,0.6,1.1,1.4,2.9,10.3
751,Mardy Collins,collima01,2006-07,22,NYK,NBA,SF,52,9,14.9,1.7,4.4,.382,0.3,0.9,.277,1.4,3.5,.409,.410,0.9,1.6,.585,0.5,1.5,2.0,1.6,0.6,0.1,1.1,1.4,4.5
752,Sherron Collins,collish01,2010-11,23,CHA,NBA,PG,20,0,3.3,0.4,1.3,.280,0.1,0.5,.200,0.3,0.8,.333,.320,0.1,0.1,1.000,0.0,0.3,0.3,0.4,0.1,0.0,0.2,0.1,0.9
753,Zach Collins,colliza01,2017-18,20,POR,NBA,C,61,1,15.7,1.8,4.4,.406,0.6,1.7,.333,1.2,2.7,.451,.470,0.4,0.7,.650,0.7,2.6,3.3,0.8,0.3,0.5,0.9,2.0,4.5
754,Kyle Collinsworth,colliky01,2017-18,26,DAL,NBA,SF,27,1,13.7,1.0,2.5,.382,0.1,0.5,.308,0.8,2.0,.400,.412,0.6,1.2,.500,0.9,2.1,3.1,1.4,0.6,0.2,0.7,1.3,2.7
755,Darren Collison,collida01,2009-10,22,NOH,NBA,PG,76,37,27.8,4.9,10.4,.477,0.6,1.5,.400,4.3,8.9,.490,.506,1.9,2.3,.851,0.5,2.0,2.5,5.7,1.0,0.1,2.7,1.2,12.4
756,Nick Collison,collini01,2004-05,24,SEA,NBA,C,82,4,17.0,2.3,4.3,.537,0.0,0.0,.000,2.3,4.3,.541,.537,1.0,1.4,.703,1.9,2.7,4.6,0.4,0.4,0.6,0.8,3.1,5.6
758,Sean Colson,colsose01,2000-01,25,TOT,NBA,PG,13,0,3.4,0.5,1.8,.250,0.1,0.4,.200,0.4,1.5,.263,.271,0.2,0.3,.500,0.2,0.3,0.5,0.8,0.1,0.0,0.2,0.5,1.2
759,Steve Colter,coltest01,1984-85,22,POR,NBA,PG,78,22,18.7,2.8,6.1,.453,0.3,0.9,.351,2.4,5.2,.471,.480,1.3,1.7,.754,0.5,1.4,1.9,3.1,1.0,0.1,1.4,1.8,7.1
760,Glen Combs,combsgl01,1968-69,22,DLC,ABA,PG,72,,31.1,5.1,12.1,.419,1.2,3.2,.361,3.9,8.8,.441,.468,4.2,5.5,.761,0.9,1.8,2.7,2.3,,,2.2,3.0,15.4
761,Leroy Combs,combsle01,1983-84,23,IND,NBA,SF,48,0,9.3,1.7,3.4,.497,0.0,0.1,.000,1.7,3.3,.506,.497,1.2,1.9,.615,0.4,0.8,1.2,0.8,0.5,0.4,1.0,1.0,4.5
763,Dallas Comegys,comegda01,1987-88,23,NJN,NBA,PF,75,17,15.0,2.1,4.8,.430,0.0,0.0,.000,2.1,4.8,.431,.430,1.4,2.0,.707,0.7,2.2,2.9,0.9,0.5,0.9,1.5,2.3,5.6
768,Mike Conley,conlemi01,2007-08,20,MEM,NBA,PG,53,46,26.1,3.6,8.3,.428,0.6,1.7,.330,3.0,6.6,.453,.462,1.7,2.3,.732,0.4,2.2,2.6,4.2,0.8,0.0,1.7,1.6,9.4
770,Marty Conlon,conloma01,1991-92,24,SEA,NBA,C,45,1,8.5,1.1,2.2,.475,0.0,0.0,,1.1,2.2,.475,.475,0.5,0.7,.750,0.7,0.8,1.5,0.3,0.2,0.2,0.6,0.9,2.7
771,Pat Connaughton,connapa01,2015-16,23,POR,NBA,SG,34,0,4.2,0.4,1.4,.265,0.1,0.6,.238,0.2,0.8,.286,.316,0.1,0.1,1.000,0.3,0.6,0.9,0.3,0.1,0.0,0.3,0.2,1.1
772,Jimmy Conner,conneji01,1975-76,22,KEN,ABA,SG,24,,10.0,1.8,3.6,.488,0.0,0.1,.000,1.8,3.5,.506,.488,0.9,1.2,.759,0.5,0.7,1.2,1.6,0.5,0.2,1.3,1.5,4.4
773,Lester Conner,connele01,1982-83,23,GSW,NBA,PG,75,10,18.9,1.9,4.0,.479,0.0,0.1,.000,1.9,4.0,.485,.479,1.1,1.5,.699,0.9,2.0,2.9,3.4,1.5,0.1,1.3,1.9,4.9
775,Will Conroy,conrowi01,2006-07,24,TOT,NBA,PG-SG,7,0,7.4,0.0,0.4,.000,0.0,0.0,,0.0,0.4,.000,.000,0.0,0.6,.000,0.4,0.6,1.0,1.3,0.0,0.0,0.3,1.0,0.0
776,Anthony Cook,cookan01,1990-91,23,DEN,NBA,PF,58,25,19.3,2.0,4.9,.417,0.0,0.1,.000,2.0,4.8,.421,.417,1.2,2.2,.550,2.3,3.3,5.6,0.4,0.6,1.2,0.9,1.7,5.3
779,Brian Cook,cookbr01,2003-04,23,LAL,NBA,C,35,2,12.6,1.9,4.0,.475,0.0,0.1,.000,1.9,3.9,.493,.475,0.6,0.8,.750,0.9,2.0,2.9,0.6,0.5,0.5,0.5,1.8,4.4
780,Daequan Cook,cookda02,2007-08,20,MIA,NBA,SG,59,19,24.4,3.3,8.7,.381,1.3,4.0,.332,2.0,4.7,.424,.458,0.8,1.0,.825,0.3,2.7,3.0,1.3,0.4,0.2,1.1,2.7,8.8
781,Darwin Cook,cookda01,1980-81,22,NJN,NBA,SG,81,,24.4,4.7,10.1,.468,0.1,0.3,.240,4.7,9.8,.475,.471,1.6,2.2,.733,1.2,1.7,2.9,3.7,1.7,0.4,2.2,2.4,11.2
782,Jeff Cook,cookje01,1979-80,23,PHO,NBA,PF,66,,13.7,2.0,4.2,.469,0.0,0.0,.000,2.0,4.1,.474,.469,1.6,2.0,.806,1.4,2.3,3.7,1.3,0.4,0.3,1.1,1.5,5.5
784,Omar Cook,cookom01,2003-04,22,POR,NBA,PG,17,0,8.2,0.4,1.6,.259,0.0,0.1,.000,0.4,1.5,.269,.259,0.0,0.0,,0.2,0.2,0.4,1.4,0.6,0.0,0.6,0.8,0.8
785,Quinn Cook,cookqu01,2016-17,23,TOT,NBA,PG,14,0,13.4,2.4,4.7,.500,0.8,1.9,.423,1.6,2.9,.550,.583,0.1,0.4,.400,0.1,0.4,0.5,1.9,0.3,0.0,0.9,0.9,5.6
786,Charles Cooke,cookech01,2017-18,23,NOP,NBA,SG,11,0,3.1,0.2,1.1,.167,0.1,0.6,.143,0.1,0.5,.200,.208,0.1,0.2,.500,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.0,0.5
787,David Cooke,cookeda01,1985-86,22,SAC,NBA,PF,6,0,6.3,0.3,1.8,.182,0.0,0.0,,0.3,1.8,.182,.182,0.8,1.7,.500,0.8,0.8,1.7,0.2,0.7,0.0,0.3,0.8,1.5
789,Jack Cooley,cooleja01,2014-15,23,UTA,NBA,C,16,0,5.4,0.6,1.4,.409,0.0,0.0,,0.6,1.4,.409,.409,0.6,1.3,.429,0.6,0.9,1.6,0.1,0.4,0.2,0.2,1.4,1.7
791,Duane Cooper,coopedu01,1992-93,23,LAL,NBA,PG,65,0,9.9,1.0,2.4,.392,0.1,0.5,.233,0.8,2.0,.430,.415,0.4,0.5,.714,0.2,0.6,0.8,2.3,0.3,0.0,1.1,1.0,2.4
792,Joe Cooper,coopejo01,1981-82,24,NJN,NBA,C,1,0,11.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0
793,Michael Cooper,coopemi01,1978-79,22,LAL,NBA,SG,3,,2.3,1.0,2.0,.500,,,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,2.0
794,Wayne Cooper,coopewa01,1978-79,22,GSW,NBA,C,65,,12.2,2.0,4.5,.437,,,,2.0,4.5,.437,.437,0.6,0.9,.672,1.4,2.9,4.3,0.3,0.1,0.7,0.8,1.8,4.6
795,Tom Copa,copato01,1991-92,27,SAS,NBA,C,33,1,4.0,0.7,1.2,.550,0.0,0.0,,0.7,1.2,.550,.550,0.1,0.4,.308,0.4,0.7,1.1,0.1,0.1,0.2,0.2,0.9,1.5
796,Chris Copeland,copelch01,2012-13,28,NYK,NBA,PF,56,13,15.4,3.3,6.8,.479,1.1,2.5,.421,2.2,4.3,.513,.557,1.1,1.5,.759,0.6,1.5,2.1,0.5,0.3,0.2,0.9,1.9,8.7
797,Hollis Copeland,copelho01,1979-80,24,NYK,NBA,SF,75,,15.2,2.4,4.9,.495,0.0,0.0,.000,2.4,4.9,.497,.495,0.8,1.1,.733,0.9,1.1,2.1,1.1,0.8,0.3,1.1,2.1,5.7
798,Lanard Copeland,copella01,1989-90,24,PHI,NBA,SG,23,0,4.8,1.3,3.0,.456,0.0,0.2,.200,1.3,2.7,.476,.463,0.5,0.6,.786,0.2,0.3,0.4,0.4,0.0,0.0,0.8,0.5,3.2
799,Tyrone Corbin,corbity01,1985-86,23,SAS,NBA,SF,16,0,10.9,1.7,4.0,.422,0.0,0.1,.000,1.7,3.9,.429,.422,0.6,0.9,.714,0.7,0.9,1.6,0.7,0.7,0.1,0.8,1.3,4.0
800,Chris Corchiani,corchch01,1991-92,23,ORL,NBA,PG,51,1,14.5,1.5,3.8,.399,0.2,0.7,.270,1.3,3.1,.429,.425,1.8,2.0,.875,0.4,1.2,1.5,2.8,0.9,0.0,1.5,1.8,5.0
