,Name,link,Year,Age,Team,League,Position,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
2384,George Lehmann,lehmage01,1973-74,31,MMT,ABA,PG,33,,554,5.9,15.4,.384,1.6,4.3,.360,4.3,11.0,.394,1.6,1.7,.947,0.7,2.5,3.2,10.2,1.1,0.3,4.6,4.5,15.0,,95,111
2385,"Walt Lemon, Jr.",lemonwa01,2017-18,25,NOP,NBA,PG,5,0,35,9.6,21.9,.438,1.4,1.4,1.000,8.2,20.5,.400,2.7,4.1,.667,0.0,2.7,2.7,6.8,0.0,1.4,5.5,6.8,23.2,,88,115
2386,Alex Len,lenal01,2013-14,20,PHO,NBA,C,42,3,362,4.6,10.8,.423,0.0,0.0,,4.6,10.8,.423,2.8,4.3,.645,5.4,8.3,13.7,0.6,0.6,2.5,3.6,9.4,11.9,,92,106
2387,Voshon Lenard,lenarvo01,1995-96,22,MIA,NBA,SG,30,0,323,8.6,23.0,.376,5.9,16.5,.356,2.8,6.5,.425,5.5,7.0,.791,2.0,6.5,8.5,5.1,1.0,0.2,3.8,5.1,28.7,,110,106
2389,Gary Leonard,leonaga01,1989-90,22,MIN,NBA,C,22,0,127,5.4,12.9,.419,0.0,0.4,.000,5.4,12.5,.433,2.5,5.8,.429,4.2,7.1,11.2,0.4,1.2,3.7,3.3,10.8,13.3,,84,106
2390,Kawhi Leonard,leonaka01,2011-12,20,SAS,NBA,SF,64,39,1534,6.7,13.6,.493,1.4,3.7,.376,5.3,9.9,.536,2.3,3.0,.773,3.5,7.5,11.0,2.4,2.9,0.8,1.5,3.0,17.1,,119,101
2391,Meyers Leonard,leoname01,2012-13,20,POR,NBA,C,69,9,1206,6.6,12.1,.545,0.1,0.3,.429,6.4,11.8,.548,3.1,3.9,.809,3.5,7.6,11.1,1.4,0.5,1.7,2.1,7.3,16.4,,115,110
2393,Jim Les,lesji01,1988-89,25,UTA,NBA,PG,82,0,781,2.5,8.3,.301,0.1,0.9,.071,2.4,7.5,.328,3.6,4.6,.781,1.4,4.0,5.5,13.5,1.7,0.3,5.5,5.5,8.7,,89,105
2394,Travis Leslie,leslitr01,2011-12,21,LAC,NBA,SG,10,0,45,6.0,16.7,.357,0.0,0.0,,6.0,16.7,.357,4.8,10.8,.444,7.2,3.6,10.8,6.0,2.4,2.4,2.4,4.8,16.7,,98,105
2395,Ronnie Lester,lestero01,1980-81,22,CHI,NBA,PG,8,,83,5.7,13.8,.417,0.0,0.0,,5.7,13.8,.417,5.7,6.3,.909,1.7,1.7,3.4,4.0,1.1,0.0,5.2,2.9,17.2,,95,111
2396,Clifford Lett,lettcl01,1989-90,24,CHI,NBA,PG,4,0,28,3.5,14.2,.250,0.0,0.0,,3.5,14.2,.250,0.0,0.0,,0.0,0.0,0.0,1.8,0.0,0.0,3.5,14.2,7.1,,49,117
2397,Jon Leuer,leuerjo01,2011-12,22,MIL,NBA,PF,46,12,555,8.9,17.6,.508,0.3,0.8,.333,8.7,16.8,.516,1.9,2.6,.750,4.2,6.9,11.1,2.3,1.3,1.6,1.7,6.2,20.1,,111,105
2399,Fat Lever,leverfa01,1982-83,22,POR,NBA,PG,81,45,2020,6.0,14.0,.431,0.1,0.4,.333,5.9,13.6,.434,2.7,3.7,.730,2.0,3.3,5.3,10.0,3.6,0.4,3.2,4.2,14.9,,104,103
2400,Caris LeVert,leverca01,2016-17,22,BRK,NBA,SF,57,26,1237,6.6,14.6,.450,2.3,7.1,.321,4.3,7.5,.571,2.6,3.6,.720,0.9,6.3,7.2,4.2,1.9,0.3,2.3,3.5,17.9,,107,111
2401,Cliff Levingston,levincl01,1982-83,22,DET,NBA,PF,62,5,879,6.8,13.9,.485,0.0,0.1,.000,6.8,13.9,.487,4.3,7.6,.571,5.4,6.6,12.0,2.7,1.2,1.9,3.8,6.4,17.9,,101,105
2403,Cedric Lewis,lewisce01,1995-96,26,WSB,NBA,C,3,0,4,25.6,38.4,.667,0.0,0.0,,25.6,38.4,.667,0.0,0.0,,25.6,0.0,25.6,0.0,12.8,0.0,0.0,0.0,51.2,,148,90
2405,Freddie Lewis,lewisfr02,1973-74,30,INA,ABA,PG,78,,2164,6.2,15.7,.398,0.3,1.6,.181,6.0,14.1,.422,3.9,4.7,.831,1.8,2.5,4.3,6.9,2.1,0.2,3.6,4.1,16.7,,99,104
2407,Martin Lewis,lewisma01,1995-96,20,TOR,NBA,SF,16,0,189,7.9,16.3,.483,0.5,1.9,.286,7.4,14.4,.509,4.1,6.8,.600,4.1,3.8,7.9,0.8,2.2,0.8,3.8,5.7,20.4,,98,113
2408,Mike Lewis,lewismi01,1973-74,27,CAR,ABA,C,3,,14,9.9,26.5,.375,0.0,0.0,,9.9,26.5,.375,0.0,0.0,,9.9,6.6,16.5,0.0,0.0,0.0,3.3,6.6,19.9,,88,107
2409,Quincy Lewis,lewisqu01,1999-00,22,UTA,NBA,SG,74,0,896,6.6,17.8,.372,1.4,3.8,.365,5.3,14.0,.374,2.3,3.1,.731,2.7,4.0,6.8,2.4,1.4,0.9,2.7,9.4,16.9,,91,105
2410,Ralph Lewis,lewisra01,1987-88,24,DET,NBA,SG,50,0,310,4.3,13.7,.310,0.0,0.2,.000,4.3,13.5,.314,4.6,7.6,.604,2.7,5.4,8.0,2.2,2.0,0.6,3.0,5.7,13.1,,84,105
2411,Rashard Lewis,lewisra02,1998-99,19,SEA,NBA,SF,20,7,145,7.0,19.2,.365,0.4,2.2,.167,6.6,17.0,.391,3.0,5.2,.571,4.8,4.4,9.2,1.5,3.0,0.4,7.4,7.0,17.4,,72,105
2412,Reggie Lewis,lewisre01,1987-88,22,BOS,NBA,SG,49,0,405,10.9,23.4,.466,0.0,0.5,.000,10.9,22.9,.476,4.8,6.9,.702,3.4,4.2,7.6,3.1,1.9,1.8,3.6,6.5,26.6,,100,109
2413,Marcus Liberty,liberma01,1990-91,22,DEN,NBA,SF,76,18,1171,7.8,18.5,.421,0.6,2.1,.298,7.2,16.4,.436,2.1,3.3,.630,4.2,3.7,8.0,2.3,1.7,0.7,2.6,5.5,18.3,,98,116
2414,Todd Lichti,lichtto01,1989-90,23,DEN,NBA,SG,79,4,1326,8.6,17.7,.486,0.0,0.5,.000,8.6,17.2,.500,4.5,6.0,.747,1.7,3.5,5.2,4.0,1.9,0.4,3.3,5.0,21.6,,103,108
2416,DeAndre Liggins,liggide01,2011-12,23,ORL,NBA,SF,17,0,115,5.6,11.7,.480,0.0,1.9,.000,5.6,9.8,.571,4.2,8.9,.474,2.8,4.2,7.0,2.3,2.8,0.0,4.7,2.8,15.5,,87,104
2418,Goose Ligon,ligongo01,1973-74,29,VIR,ABA,PF,19,,360,4.7,10.8,.435,0.0,0.1,.000,4.7,10.7,.440,2.4,3.2,.760,5.7,6.4,12.1,1.4,1.1,1.1,3.1,5.5,11.8,,98,106
2419,Damian Lillard,lillada01,2012-13,22,POR,NBA,PG,82,82,3167,9.2,21.4,.429,3.1,8.3,.368,6.1,13.0,.469,4.5,5.3,.844,0.7,3.6,4.3,8.8,1.2,0.3,4.0,2.9,25.9,,108,112
2420,Jeremy Lin,linje01,2010-11,22,GSW,NBA,PG,29,0,285,5.0,12.8,.389,0.2,0.9,.200,4.8,11.9,.403,3.4,4.4,.760,2.1,3.9,6.0,7.5,5.9,1.6,3.2,5.5,13.5,,100,103
2421,Steve Lingenfelter,lingest01,1982-83,24,WSB,NBA,PF,7,0,53,3.6,5.5,.667,0.0,0.0,,3.6,5.5,.667,0.0,3.6,.000,0.9,10.0,10.9,3.6,0.9,2.7,4.6,14.6,7.3,,69,96
2422,Alton Lister,listeal01,1981-82,23,MIL,NBA,C,80,23,1186,6.0,11.6,.519,0.0,0.0,,6.0,11.6,.519,2.6,5.0,.520,4.4,11.3,15.7,3.4,0.7,4.8,5.2,9.7,14.6,,91,97
2424,Gene Littles,littlge01,1973-74,30,CAR,ABA,PG,84,,2017,6.8,14.4,.470,0.1,0.5,.174,6.7,13.9,.481,2.6,3.7,.714,2.0,3.3,5.3,6.4,2.4,0.4,2.8,3.7,16.2,,106,104
2425,Randy Livingston,livinra01,1996-97,21,HOU,NBA,PG,64,0,981,5.3,12.2,.437,0.5,1.2,.409,4.9,11.1,.440,2.2,3.5,.646,1.7,3.3,5.0,8.3,2.1,0.6,5.4,5.7,13.4,,91,106
2426,Shaun Livingston,livinsh01,2004-05,19,LAC,NBA,PG,30,15,814,5.9,14.2,.414,0.0,0.1,.000,5.9,14.1,.418,2.9,3.9,.746,1.5,4.4,5.9,10.0,2.1,0.7,5.0,5.4,14.7,,92,107
2428,Horacio Llamas Grey,llamaho01,1996-97,23,PHO,NBA,C,20,2,101,7.6,14.3,.536,0.0,0.0,,7.6,14.3,.536,2.0,4.1,.500,2.0,7.1,9.2,2.0,5.1,2.5,5.6,12.7,17.3,,84,99
2432,Lewis Lloyd,lloydle01,1981-82,22,GSW,NBA,SG,16,0,95,12.5,22.4,.556,0.0,0.0,,12.5,22.4,.556,3.5,5.5,.636,4.5,3.5,8.0,3.0,2.5,0.5,7.0,10.0,28.4,,98,108
2433,Scott Lloyd,lloydsc01,1976-77,24,MIL,NBA,C,69,,1025,6.6,14.0,.472,,,,6.6,14.0,.472,4.1,5.4,.754,3.5,5.6,9.1,1.4,0.9,0.6,,6.8,17.3,,,105
2436,Rob Lock,lockro01,1988-89,22,LAC,NBA,PF,20,0,110,3.8,13.4,.281,0.0,0.0,,3.8,13.4,.281,5.0,6.3,.800,5.8,7.5,13.4,1.7,1.3,1.7,5.4,6.3,12.5,,77,110
2437,Darrell Lockhart,lockhda01,1983-84,23,SAS,NBA,C,2,0,14,6.4,6.4,1.000,0.0,0.0,,6.4,6.4,1.000,0.0,0.0,,0.0,9.7,9.7,0.0,0.0,0.0,6.4,16.1,12.9,,75,112
2438,Ian Lockhart,lockhia01,1990-91,23,PHO,NBA,SF,1,0,2,23.8,23.8,1.000,0.0,0.0,,23.8,23.8,1.000,47.5,47.5,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,,231,115
2439,Kevin Loder,loderke01,1981-82,22,KCK,NBA,SF,71,13,1139,8.6,18.5,.464,0.0,0.5,.000,8.6,18.1,.476,3.2,4.4,.720,2.9,5.2,8.1,3.6,1.4,1.2,2.8,6.1,20.4,,101,108
2443,Brad Lohaus,lohaubr01,1987-88,23,BOS,NBA,PF,70,4,718,8.3,16.8,.496,0.2,0.9,.231,8.1,15.9,.511,3.4,4.2,.806,3.1,6.3,9.4,3.3,1.4,2.8,4.0,8.4,20.3,,102,108
2444,Art Long,longar01,2000-01,28,SAC,NBA,SF,9,0,20,0.0,10.2,.000,0.0,0.0,,0.0,10.2,.000,0.0,5.1,.000,5.1,15.3,20.3,2.5,0.0,7.6,5.1,12.7,0.0,,27,91
2445,Grant Long,longgr01,1988-89,22,MIA,NBA,PF,82,73,2435,6.7,13.8,.486,0.0,0.1,.000,6.7,13.7,.489,6.0,8.1,.749,4.8,6.1,10.9,3.0,2.4,1.0,4.0,6.7,19.4,,106,107
2446,John Long,longjo01,1978-79,22,DET,NBA,SG,82,,2498,10.4,22.2,.469,,,,10.4,22.2,.469,2.8,3.4,.826,2.3,2.5,4.8,2.2,1.8,0.3,2.5,4.0,23.6,,103,108
2448,Shawn Long,longsh01,2016-17,24,PHI,NBA,C,18,0,234,12.7,22.7,.560,1.5,4.0,.368,11.2,18.7,.600,4.0,7.3,.543,8.5,9.2,17.7,2.7,1.9,1.9,2.7,10.2,30.8,,118,106
2449,Willie Long,longwi01,1973-74,23,DNR,ABA,SF,82,,2058,8.7,20.9,.414,0.0,0.0,.000,8.7,20.9,.415,6.1,7.3,.831,4.5,6.1,10.5,2.3,1.2,0.3,3.5,5.5,23.4,,101,105
2450,Luc Longley,longllu01,1991-92,23,MIN,NBA,C,66,3,991,5.8,12.7,.458,0.0,0.0,,5.8,12.7,.458,2.7,4.1,.663,3.4,9.7,13.1,2.7,1.8,3.3,4.2,8.0,14.3,,90,107
2451,Kevon Looney,looneke01,2015-16,19,GSW,NBA,PF,5,0,21,9.2,16.1,.571,2.3,4.6,.500,6.9,11.5,.600,0.0,0.0,,9.2,13.8,23.0,0.0,0.0,0.0,2.3,4.6,20.7,,125,105
2452,Brook Lopez,lopezbr01,2008-09,20,NJN,NBA,C,82,75,2501,9.6,18.0,.531,0.0,0.0,.000,9.6,18.0,.532,3.7,4.6,.793,4.8,9.4,14.2,1.8,0.9,3.2,3.1,5.5,22.8,,110,108
2453,Felipe Lopez,lopezfe01,1998-99,24,VAN,NBA,SG,47,32,1218,7.5,16.8,.446,0.5,1.9,.273,6.9,14.8,.469,3.9,6.0,.644,3.1,4.3,7.3,2.7,2.2,0.6,3.6,5.7,19.3,,96,109
2454,Raul Lopez,lopezra01,2003-04,23,UTA,NBA,PG,82,11,1617,7.6,17.7,.431,0.9,2.9,.294,6.8,14.8,.458,3.5,4.0,.863,0.8,4.5,5.3,10.5,2.1,0.1,6.0,6.9,19.6,,95,105
2455,Robin Lopez,lopezro01,2008-09,20,PHO,NBA,C,60,7,614,5.8,11.2,.518,0.0,0.1,.000,5.8,11.1,.522,3.8,5.5,.691,4.2,5.4,9.6,0.7,0.9,3.3,2.3,7.9,15.4,,112,111
2456,Ryan Lorthridge,lorthry01,1994-95,22,GSW,NBA,SG,37,2,672,7.7,16.3,.475,0.2,1.0,.214,7.5,15.2,.493,4.2,6.4,.648,1.8,3.4,5.2,7.4,2.0,0.1,4.2,3.1,19.8,,102,114
2461,Kevin Love,loveke01,2008-09,20,MIN,NBA,C,81,37,2048,8.1,17.6,.459,0.1,0.5,.105,8.0,17.1,.469,6.8,8.6,.789,7.0,11.8,18.8,2.1,0.9,1.3,3.0,5.2,23.0,,112,109
2462,Stan Love,lovest01,1973-74,24,LAL,NBA,PF,51,,698,7.3,17.1,.428,,,,7.3,17.1,.428,3.0,3.9,.766,3.3,7.1,10.5,3.0,1.7,1.2,,8.1,17.7,,,96
2464,Sidney Lowe,lowesi01,1983-84,24,IND,NBA,PG,78,2,1238,4.1,9.8,.413,0.1,0.7,.111,4.0,9.1,.436,4.1,5.3,.777,1.1,3.5,4.6,10.2,3.5,0.2,4.0,4.3,12.3,,100,105
2466,Kyle Lowry,lowryky01,2006-07,20,MEM,NBA,PG,10,0,175,4.1,11.1,.368,0.9,2.3,.375,3.2,8.8,.367,7.3,8.2,.893,3.5,5.6,9.1,9.4,4.1,0.3,3.5,5.9,16.4,,118,108
2469,John Lucas,lucasjo01,1976-77,23,HOU,NBA,SG,82,,2531,7.3,15.2,.477,,,,7.3,15.2,.477,2.5,3.2,.789,1.0,3.1,4.1,8.7,2.3,0.4,,3.3,17.1,,,104
2470,Kalin Lucas,lucaska01,2014-15,25,MEM,NBA,PG,1,0,6,0.0,8.7,.000,0.0,0.0,,0.0,8.7,.000,0.0,0.0,,0.0,0.0,0.0,0.0,8.7,0.0,0.0,8.7,0.0,,0,93
2471,Maurice Lucas,lucasma01,1974-75,22,SSL,ABA,C,80,,2464,8.1,17.3,.467,0.0,0.2,.222,8.0,17.1,.470,3.3,4.2,.786,5.2,9.9,15.1,5.3,1.6,1.2,3.8,5.6,19.5,,106,104
2472,John Lucas III,lucasjo02,2005-06,23,HOU,NBA,PG,13,0,107,7.1,18.3,.389,1.0,4.6,.222,6.1,13.8,.444,0.0,0.0,,1.0,1.5,2.5,6.1,2.5,0.0,3.6,3.1,15.3,,84,106
2474,Tyronn Lue,luety01,1998-99,21,LAL,NBA,PG,15,0,188,7.8,18.1,.431,2.0,4.5,.438,5.9,13.7,.429,3.3,5.9,.571,0.6,1.1,1.7,7.0,1.4,0.0,3.1,7.8,20.9,,104,110
2479,Timothe Luwawu-Cabarrot,luwawti01,2016-17,21,PHI,NBA,SF,69,19,1190,5.9,14.8,.402,2.0,6.6,.311,3.9,8.2,.475,4.3,5.0,.854,1.0,5.1,6.1,3.1,1.3,0.4,3.0,6.3,18.2,,100,111
2480,Tyler Lydon,lydonty01,2017-18,21,DEN,NBA,PF,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,120
2481,Trey Lyles,lylestr01,2015-16,20,UTA,NBA,PF,80,33,1382,7.3,16.6,.438,1.9,4.9,.383,5.4,11.8,.461,2.2,3.1,.695,2.3,9.2,11.4,2.3,1.0,0.7,2.5,4.4,18.6,,102,105
2483,George Lynch,lynchge01,1993-94,23,LAL,NBA,SF,71,46,1762,8.3,16.4,.508,0.0,0.1,.000,8.3,16.2,.512,2.8,4.7,.596,6.3,5.4,11.7,2.7,2.9,0.8,2.5,5.1,19.4,,110,108
2484,Kevin Lynch,lynchke01,1991-92,23,CHH,NBA,SG,55,3,819,5.4,12.9,.417,0.2,0.5,.375,5.2,12.4,.419,2.0,2.7,.761,1.7,3.2,4.9,4.8,2.1,0.5,2.5,6.2,12.9,,96,112
2487,Sheldon Mac,mcclesh01,2016-17,24,WAS,NBA,SG,30,3,287,5.2,12.9,.400,1.2,5.2,.233,4.0,7.7,.511,4.0,4.6,.852,0.7,5.2,5.8,2.6,1.4,0.3,0.9,2.9,15.5,,112,112
2490,Todd MacCulloch,maccuto01,1999-00,24,PHI,NBA,C,56,6,528,8.7,15.8,.553,0.0,0.0,,8.7,15.8,.553,2.7,5.3,.519,4.7,9.6,14.3,1.3,1.1,3.6,2.6,9.2,20.2,,108,97
2492,Scott Machado,machasc01,2012-13,22,HOU,NBA,PG,6,0,21,7.1,14.3,.500,0.0,2.4,.000,7.1,11.9,.600,4.8,4.8,1.000,0.0,2.4,2.4,14.3,4.8,0.0,19.0,0.0,19.0,,69,104
2493,Arvydas Macijauskas,macijar01,2005-06,26,NOK,NBA,SG,19,0,135,5.6,16.4,.341,1.2,4.8,.250,4.4,11.6,.379,5.2,6.0,.867,1.2,2.8,4.0,2.0,2.8,0.0,3.2,4.0,17.6,,90,108
2494,Ollie Mack,mackol01,1979-80,22,TOT,NBA,SG,50,,681,6.7,13.7,.492,0.0,0.3,.000,6.7,13.4,.505,2.6,3.5,.745,2.2,2.7,4.9,3.6,1.7,0.2,2.4,3.4,16.1,,106,109
2495,Sam Mack,macksa01,1992-93,22,SAS,NBA,SF,40,0,267,8.9,22.2,.398,0.6,4.1,.136,8.3,18.1,.458,8.5,10.9,.776,3.4,5.7,9.0,2.8,2.6,0.9,4.1,8.3,26.8,,99,105
2496,Shelvin Mack,macksh01,2011-12,21,WAS,NBA,PG,64,0,779,5.9,14.7,.400,0.8,2.8,.286,5.1,11.9,.427,2.8,3.9,.712,0.8,5.3,6.1,8.7,1.9,0.1,3.2,3.3,15.3,,99,108
2497,Malcolm Mackey,mackema01,1993-94,23,PHO,NBA,C,22,0,69,10.1,26.6,.378,0.0,1.4,.000,10.1,25.2,.400,2.9,5.8,.500,8.6,8.6,17.3,0.7,0.0,2.2,1.4,6.5,23.0,,97,108
2498,Rudy Macklin,macklru01,1981-82,23,ATL,NBA,SF,79,32,1516,7.0,16.1,.434,0.0,0.1,.000,7.0,16.0,.437,4.5,5.8,.775,3.8,5.0,8.8,1.6,1.3,0.7,3.7,7.5,18.4,,96,106
2499,Vernon Macklin,macklve01,2011-12,25,DET,NBA,C,23,0,135,7.6,13.9,.543,0.0,0.0,,7.6,13.9,.543,3.2,5.6,.571,5.6,8.0,13.5,2.0,1.6,1.6,1.2,3.6,18.3,,121,105
2501,Don MacLean,macledo01,1992-93,23,WSB,NBA,PF,62,4,674,11.4,26.3,.435,0.2,0.4,.500,11.2,25.9,.434,6.6,8.1,.811,2.4,6.5,8.9,2.8,0.8,0.3,3.1,6.0,29.7,,100,113
2502,Mark Macon,maconma01,1991-92,22,DEN,NBA,SG,76,67,2304,7.0,18.8,.375,0.1,0.6,.133,7.0,18.2,.383,2.9,3.9,.730,1.7,3.0,4.7,3.6,3.3,0.3,3.3,5.1,17.0,,88,109
2503,Kyle Macy,macyky01,1980-81,23,PHO,NBA,PG,82,,1469,8.5,16.6,.511,0.4,1.6,.235,8.1,15.0,.541,3.3,3.7,.899,1.4,2.7,4.1,5.0,2.4,0.2,3.0,3.7,20.7,,112,102
2505,Tito Maddox,maddoti01,2002-03,21,HOU,NBA,SG,9,0,35,4.6,18.5,.250,0.0,4.6,.000,4.6,13.9,.333,7.7,12.4,.625,1.5,9.3,10.8,7.7,4.6,1.5,4.6,6.2,17.0,,80,95
2506,Gerald Madkins,madkige01,1993-94,24,CLE,NBA,SG,22,0,149,3.9,10.9,.355,1.8,5.3,.333,2.1,5.6,.375,2.8,3.5,.800,0.4,3.5,3.9,6.7,3.2,0.0,4.6,5.6,12.3,,89,105
2507,Mark Madsen,madsema01,2000-01,25,LAL,NBA,PF,70,3,641,4.5,9.2,.487,0.1,0.1,1.000,4.4,9.1,.482,2.1,3.0,.703,6.0,6.4,12.4,2.0,0.7,0.7,2.2,9.1,11.2,,112,107
2509,Josh Magette,magetjo01,2017-18,28,ATL,NBA,PG,17,0,197,3.2,10.4,.310,1.7,5.2,.333,1.5,5.2,.286,2.0,2.0,1.000,0.5,4.0,4.5,13.7,1.7,0.0,2.2,3.7,10.2,,114,113
2510,Corey Maggette,maggeco01,1999-00,20,ORL,NBA,SF,77,5,1370,8.1,16.9,.478,0.1,0.4,.182,8.0,16.5,.485,7.1,9.4,.751,4.4,6.5,10.9,2.2,0.9,0.9,5.0,6.1,23.3,,102,104
2511,Dave Magley,magleda01,1982-83,23,CLE,NBA,SF,14,0,56,3.5,14.1,.250,0.0,0.9,.000,3.5,13.2,.267,3.5,7.0,.500,1.8,7.0,8.8,1.8,1.8,0.0,1.8,4.4,10.5,,73,106
2512,Jamaal Magloire,magloja01,2000-01,22,CHH,NBA,C,74,0,1095,6.0,13.3,.450,0.0,0.1,.000,6.0,13.2,.454,4.7,7.1,.655,5.0,9.4,14.5,1.3,0.9,3.8,3.0,6.8,16.6,,100,97
2514,Ian Mahinmi,mahinia01,2007-08,21,SAS,NBA,C,6,0,23,14.1,28.2,.500,0.0,0.0,,14.1,28.2,.500,21.2,21.2,1.000,0.0,11.8,11.8,2.4,0.0,9.4,4.7,9.4,49.4,,123,92
2518,Rick Mahorn,mahorri01,1980-81,22,WSB,NBA,PF,52,,696,7.5,14.8,.507,0.0,0.0,,7.5,14.8,.507,1.8,2.7,.675,4.5,10.0,14.5,1.7,1.4,3.0,2.6,9.0,16.8,,104,98
2519,Dan Majerle,majerda01,1988-89,23,PHO,NBA,SG,54,5,1354,6.1,14.7,.419,0.9,2.8,.329,5.2,11.9,.440,2.6,4.3,.614,2.1,5.0,7.1,4.4,2.1,0.5,1.6,4.7,15.8,,106,106
2520,Renaldo Major,majorre01,2006-07,24,GSW,NBA,PF,1,0,27,3.6,17.9,.200,0.0,0.0,,3.6,17.9,.200,1.8,3.6,.500,0.0,3.6,3.6,0.0,3.6,0.0,1.8,7.2,9.0,,47,106
2521,Thon Maker,makerth01,2016-17,19,MIL,NBA,C,57,34,562,7.5,16.4,.459,2.5,6.7,.378,5.0,9.7,.514,2.9,4.4,.653,3.6,6.7,10.3,2.1,0.9,2.3,1.5,7.6,20.4,,114,110
2523,Jeff Malone,malonje01,1983-84,22,WSB,NBA,SG,81,2,1976,10.2,22.9,.444,0.6,1.8,.324,9.6,21.0,.455,3.5,4.3,.826,1.4,2.4,3.9,3.8,0.6,0.3,2.7,4.0,24.5,,100,112
2524,Karl Malone,malonka01,1985-86,22,UTA,NBA,PF,81,76,2475,9.5,19.1,.496,0.0,0.0,.000,9.5,19.0,.497,3.7,7.6,.481,3.3,10.2,13.5,4.4,2.0,0.8,5.2,5.5,22.6,,92,102
2525,Moses Malone,malonmo01,1974-75,19,UTS,ABA,C,83,,3205,9.0,15.8,.571,0.0,0.0,.000,9.0,15.8,.572,5.7,9.0,.635,7.0,11.5,18.5,1.3,1.3,2.0,4.9,4.4,23.8,,108,100
2526,Matt Maloney,malonma01,1996-97,25,HOU,NBA,PG,82,82,2386,6.0,13.5,.441,3.4,8.4,.404,2.6,5.1,.500,1.6,2.0,.763,0.4,3.1,3.5,6.7,1.8,0.0,2.7,2.7,16.8,,113,108
2527,Steve Malovic,malovst01,1979-80,23,TOT,NBA,PF,39,,445,3.2,7.0,.463,0.0,0.0,,3.2,7.0,.463,1.9,2.8,.667,3.8,5.2,9.0,2.7,0.8,0.6,2.4,5.3,8.3,,102,112
2532,Danny Manning,mannida01,1988-89,22,LAC,NBA,PF,26,18,950,8.6,17.3,.494,0.0,0.2,.200,8.5,17.1,.499,3.8,5.0,.767,3.4,4.9,8.3,3.9,2.1,1.2,4.5,4.3,21.0,,99,110
2533,Ed Manning,mannied01,1973-74,30,CAR,ABA,SF,82,,1816,7.6,15.5,.488,0.0,0.1,.500,7.6,15.5,.488,2.2,2.6,.851,2.7,6.8,9.4,2.6,2.4,0.4,2.4,5.4,17.4,,106,101
2535,Rich Manning,manniri01,1995-96,25,VAN,NBA,PF,29,0,311,8.3,19.2,.434,0.0,0.2,.000,8.3,19.0,.438,1.5,2.4,.643,2.7,6.6,9.3,1.2,0.5,1.0,2.9,6.3,18.1,,87,111
2536,Pace Mannion,mannipa01,1983-84,23,GSW,NBA,SF,57,0,469,5.0,12.5,.397,0.3,1.3,.231,4.7,11.2,.416,1.8,2.3,.783,2.3,3.6,5.8,4.7,2.5,0.2,2.3,6.2,12.0,,99,109
2538,Pete Maravich,maravpe01,1973-74,26,ATL,NBA,SG,76,,2903,12.2,26.7,.457,,,,12.2,26.7,.457,7.0,8.5,.826,1.5,4.1,5.6,5.9,1.7,0.2,,3.9,31.4,,,101
2540,Devyn Marble,marblde01,2014-15,22,ORL,NBA,SG,16,7,208,3.4,10.8,.318,1.0,5.4,.182,2.5,5.4,.455,1.2,3.9,.313,1.2,6.4,7.6,4.2,2.2,0.5,2.2,3.4,9.1,,79,107
2541,Roy Marble,marblro01,1989-90,23,ATL,NBA,SG,24,0,162,4.9,17.9,.276,0.0,0.6,.000,4.9,17.3,.286,5.9,9.0,.655,4.6,2.8,7.4,3.4,2.2,0.3,4.3,4.9,15.8,,83,114
2542,Stephon Marbury,marbust01,1996-97,19,MIN,NBA,PG,67,64,2324,8.1,19.8,.408,2.3,6.6,.354,5.8,13.3,.434,5.6,7.7,.727,1.2,3.0,4.2,11.9,1.5,0.4,4.8,3.6,24.1,,105,111
2543,Sarunas Marciulionis,marcisa01,1989-90,25,GSW,NBA,SG,75,3,1695,7.7,14.9,.519,0.3,1.0,.256,7.5,13.9,.539,8.5,10.8,.787,2.2,3.7,5.9,3.2,2.5,0.2,3.7,6.2,24.2,,114,113
2546,Shawn Marion,mariosh01,1999-00,21,PHO,NBA,SF,51,38,1260,9.0,19.1,.471,0.2,0.9,.182,8.8,18.2,.486,2.9,3.4,.847,4.3,9.2,13.5,2.8,1.5,2.1,2.1,4.6,21.1,,107,97
2547,Boban Marjanovic,marjabo01,2015-16,27,SAS,NBA,C,54,4,508,10.6,17.5,.603,0.0,0.0,,10.6,17.5,.603,8.8,11.5,.763,7.4,12.2,19.6,2.1,1.2,2.3,2.9,5.4,29.9,,130,96
2548,Lauri Markkanen,markkla01,2017-18,20,CHI,NBA,PF,64,64,1925,8.9,20.6,.431,3.4,9.6,.349,5.5,11.0,.502,3.3,3.9,.849,1.9,10.4,12.2,1.9,0.9,1.0,2.0,2.5,24.4,,106,110
