,Name,link,Year,Age,Team,League,Position,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
162,Dwayne Bacon,bacondw01,2017-18,22,CHO,NBA,SG,53,6,713,4.9,13.1,.375,0.8,2.9,.256,4.2,10.2,.409,1.4,1.7,.800,0.3,8.2,8.5,2.6,1.1,0.1,1.6,3.1,12.0,,88,111
165,Dalibor Bagaric,bagarda01,2000-01,20,CHI,NBA,C,35,0,259,3.5,13.5,.262,0.0,0.2,.000,3.5,13.3,.266,2.7,5.8,.464,4.6,7.1,11.6,2.1,1.9,3.3,4.4,9.1,9.8,,65,104
166,John Bagley,baglejo01,1982-83,22,CLE,NBA,PG,68,3,990,8.0,18.5,.432,0.0,0.7,.000,8.0,17.8,.448,3.2,4.2,.762,0.8,3.9,4.8,8.3,2.7,0.2,5.9,3.7,19.2,,89,106
167,Carl Bailey,baileca01,1981-82,23,POR,NBA,C,1,0,7,6.8,6.8,1.000,0.0,0.0,,6.8,6.8,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.6,13.6,13.6,,47,116
168,Gus Bailey,bailegu01,1974-75,23,HOU,NBA,SG,47,,446,5.3,13.2,.405,,,,5.3,13.2,.405,2.1,4.3,.488,2.4,6.2,8.6,6.2,1.8,1.7,,5.4,12.8,,,98
169,James Bailey,baileja01,1979-80,22,SEA,NBA,PF,67,,726,7.9,17.6,.450,0.0,0.0,,7.9,17.6,.450,4.4,6.6,.673,4.6,8.2,12.8,1.8,1.4,3.5,5.1,7.5,20.3,,93,98
170,Thurl Bailey,baileth01,1983-84,22,UTA,NBA,PF,81,54,2009,6.9,13.4,.512,0.0,0.0,,6.9,13.4,.512,2.0,2.7,.752,2.6,7.9,10.6,2.9,0.9,2.8,2.4,4.4,15.8,,106,107
171,Toby Bailey,baileto01,1998-99,23,PHO,NBA,SG,27,10,249,7.3,18.4,.395,0.2,1.1,.200,7.1,17.3,.407,1.9,2.8,.692,5.1,6.4,11.6,2.8,1.9,0.4,2.4,5.1,16.7,,94,104
172,Cameron Bairstow,bairsca01,2014-15,24,CHI,NBA,PF,18,1,64,2.4,11.3,.214,0.0,0.0,,2.4,11.3,.214,3.2,4.0,.800,4.9,1.6,6.5,0.8,1.6,0.8,2.4,6.5,8.1,,77,108
173,Jimmie Baker,bakerji01,1975-76,22,KEN,ABA,PF,5,,40,3.4,17.0,.200,0.0,0.0,,3.4,17.0,.200,0.0,2.3,.000,4.5,11.3,15.9,4.5,0.0,3.4,6.8,12.5,6.8,,48,100
174,LaMark Baker,bakerla01,1998-99,29,TOR,NBA,PG,1,0,2,0.0,27.0,.000,0.0,0.0,,0.0,27.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,,0,114
175,Maurice Baker,bakerma01,2004-05,25,TOT,NBA,PG,5,0,19,0.0,2.8,.000,0.0,0.0,,0.0,2.8,.000,0.0,0.0,,2.8,2.8,5.6,2.8,2.8,0.0,2.8,8.4,0.0,,48,109
177,Ron Baker,bakerro01,2016-17,23,NYK,NBA,SG,52,13,857,4.8,12.7,.378,1.3,5.0,.267,3.4,7.6,.450,1.6,2.5,.651,0.7,5.0,5.7,6.2,2.0,0.5,3.3,4.3,12.5,,92,113
178,Vin Baker,bakervi01,1993-94,22,MIL,NBA,C,82,63,2560,8.6,17.2,.501,0.0,0.1,.200,8.6,17.1,.502,4.6,8.2,.569,5.5,6.8,12.3,3.2,1.2,2.3,3.2,4.6,21.9,,106,109
179,Wade Baldwin,baldwwa01,2016-17,20,MEM,NBA,PG,33,1,405,4.6,14.8,.313,0.4,2.8,.136,4.2,11.9,.355,4.0,4.8,.838,1.4,4.5,5.9,7.8,2.3,0.9,5.0,5.1,13.6,,83,107
180,Renaldo Balkman,balkmre01,2006-07,22,NYK,NBA,SF,68,1,1064,6.9,13.7,.505,0.2,1.3,.185,6.7,12.3,.540,2.5,4.5,.567,4.8,9.8,14.6,2.2,2.8,2.2,2.4,7.3,16.6,,109,102
181,Cedric Ball,ballce01,1990-91,22,LAC,NBA,PF,7,0,26,5.5,14.8,.375,0.0,0.0,,5.5,14.8,.375,3.7,3.7,1.000,9.2,11.1,20.3,0.0,0.0,3.7,3.7,9.2,14.8,,96,104
182,Lonzo Ball,balllo01,2017-18,20,LAL,NBA,PG,52,50,1780,5.4,15.1,.360,2.4,7.9,.305,3.0,7.2,.420,0.9,1.9,.451,1.9,7.8,9.7,10.1,2.4,1.2,3.7,3.1,14.2,,97,106
183,Greg Ballard,ballagr01,1977-78,23,WSB,NBA,SF,76,,936,6.7,15.8,.425,,,,6.7,15.8,.425,4.2,5.4,.772,4.8,7.8,12.6,2.9,1.4,0.6,3.0,4.3,17.7,,102,100
185,Gene Banks,banksge01,1981-82,22,SAS,NBA,SF,80,4,1700,8.6,18.0,.477,0.0,0.2,.000,8.6,17.7,.483,4.0,5.8,.684,4.3,7.0,11.3,4.0,1.5,0.5,2.9,5.5,21.1,,108,108
186,Marcus Banks,banksma01,2003-04,22,BOS,NBA,PG,81,2,1385,6.6,16.4,.400,1.0,3.2,.314,5.6,13.2,.421,3.7,4.9,.756,1.1,3.8,4.9,6.5,3.3,0.5,4.6,6.4,17.9,,91,103
188,Ken Bannister,bannike01,1984-85,24,NYK,NBA,PF,75,50,1404,7.2,15.3,.470,0.0,0.0,,7.2,15.3,.470,3.1,6.6,.474,3.7,7.6,11.3,1.3,1.3,1.4,4.8,9.6,17.5,,86,108
189,Mike Bantom,bantomi01,1973-74,22,PHO,NBA,PF,76,,1982,6.9,17.4,.399,,,,6.9,17.4,.399,3.1,4.7,.662,3.8,7.7,11.5,3.6,1.1,1.0,,6.4,17.0,,,101
