,Name,link,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
2167,Clark Kellogg,kellocl01,Career,,,NBA,,260,241,8514,10.9,22.0,.497,0.1,0.4,.338,10.8,21.7,.500,4.8,6.3,.757,4.6,8.9,13.5,4.2,2.1,0.6,4.0,4.7,26.8,,107,105
2170,Ryan Kelly,kellyry01,Career,,,NBA,,163,59,3125,5.2,13.7,.378,1.6,5.2,.316,3.5,8.5,.416,3.7,4.6,.797,1.2,6.8,8.0,3.4,1.3,1.3,1.7,4.9,15.6,,103,111
2172,Greg Kelser,kelsegr01,Career,,,NBA,,305,40,6032,8.5,17.4,.486,0.0,0.2,.167,8.4,17.2,.491,5.9,8.6,.686,4.7,6.1,10.8,3.2,1.8,1.2,5.1,7.0,22.9,,101,106
2174,Shawn Kemp,kempsh01,Career,,,NBA,,1051,728,29293,9.7,19.8,.488,0.1,0.2,.277,9.6,19.6,.490,7.6,10.2,.741,5.3,10.2,15.5,3.0,2.1,2.2,4.9,6.7,26.9,,106,100
2175,Tim Kempton,kemptti01,Career,,,NBA,,280,20,3758,5.7,12.0,.481,0.0,0.0,.000,5.7,11.9,.482,4.3,6.4,.677,3.0,7.0,10.0,3.9,1.5,0.6,3.6,7.6,15.8,,100,110
2177,Luke Kennard,kennalu01,Career,,,NBA,,68,5,1314,6.8,15.6,.434,2.7,6.6,.400,4.1,9.0,.460,2.1,2.4,.873,0.8,5.0,5.8,4.1,1.5,0.5,2.4,2.9,18.3,,106,109
2178,D.J. Kennedy,kennedj01,Career,,,NBA,,2,0,59,4.5,10.7,.417,1.8,3.6,.500,2.7,7.1,.375,0.0,1.8,.000,0.9,5.3,6.2,2.7,1.8,0.0,2.7,6.2,10.7,,85,110
2179,Goo Kennedy,kennego01,Career,,,TOT,,198,,3520,7.4,13.7,.548,0.0,0.0,1.000,7.3,13.7,.548,2.9,4.2,.670,4.5,7.5,12.1,2.2,1.9,0.4,2.5,7.0,17.7,,113,103
2182,Larry Kenon,kenonla01,Career,,,TOT,,752,37,24510,10.1,20.6,.487,0.0,0.0,.143,10.1,20.6,.488,3.7,4.7,.784,4.2,8.1,12.3,3.1,1.7,0.5,3.3,3.2,23.8,,103,102
2184,Jonathan Kerner,kernejo01,Career,,,NBA,,1,0,5,0.0,10.8,.000,0.0,0.0,,0.0,10.8,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,,0,106
2186,Steve Kerr,kerrst01,Career,,,NBA,,910,30,16207,6.6,13.8,.479,2.3,5.2,.454,4.2,8.6,.494,2.0,2.3,.864,0.6,2.8,3.4,5.3,1.5,0.1,1.6,2.7,17.5,,122,107
2188,Jerome Kersey,kerseje01,Career,,,NBA,,1153,571,28115,8.1,17.5,.465,0.1,0.5,.201,8.0,17.0,.472,4.0,5.8,.690,4.0,6.9,10.9,3.7,2.5,1.4,2.7,5.9,20.3,,107,103
2190,Alec Kessler,kesslal01,Career,,,NBA,,210,24,2937,7.1,16.7,.426,0.2,0.4,.417,6.9,16.3,.426,3.7,5.0,.744,4.3,8.2,12.5,1.4,0.7,1.2,3.2,7.5,18.1,,98,109
2191,Lari Ketner,ketnela01,Career,,,NBA,,25,0,139,4.8,11.8,.406,0.0,0.0,,4.8,11.8,.406,3.0,4.4,.667,4.4,8.1,12.6,0.7,1.5,1.1,4.4,7.4,12.6,,82,103
2192,Julius Keye,keyeju01,Career,,,ABA,,91,,2828,2.6,6.2,.418,0.1,0.4,.182,2.6,6.1,.419,1.0,1.5,.623,4.0,8.3,12.3,2.3,0.7,2.5,1.6,4.4,6.3,,102,103
2193,Randolph Keys,keysra01,Career,,,NBA,,241,19,3318,7.9,18.7,.425,0.6,2.2,.272,7.3,16.5,.445,2.7,3.8,.721,3.2,5.2,8.4,2.9,2.1,0.7,2.7,8.0,19.2,,97,109
2194,Viktor Khryapa,khryavi01,Career,,,NBA,,143,58,2351,5.8,13.0,.443,0.3,1.1,.292,5.4,11.9,.457,2.9,4.4,.658,3.9,7.4,11.3,3.3,2.0,1.1,3.2,8.1,14.8,,98,108
2195,Jason Kidd,kiddja01,Career,,,NBA,,1391,1350,50111,6.5,16.2,.400,2.1,6.0,.349,4.4,10.3,.429,3.2,4.1,.785,1.8,7.3,9.1,12.6,2.8,0.5,4.2,2.7,18.3,,107,102
2196,Warren Kidd,kiddwa01,Career,,,NBA,,68,14,884,5.7,9.6,.592,0.0,0.0,,5.7,9.6,.592,2.7,4.9,.547,4.3,8.9,13.2,1.1,1.1,1.3,2.5,7.3,14.0,,109,109
2197,Michael Kidd-Gilchrist,kiddgmi01,Career,,,NBA,,353,349,9420,6.9,14.4,.477,0.0,0.2,.194,6.8,14.2,.481,3.7,5.2,.707,3.2,8.1,11.3,2.4,1.4,1.4,1.8,4.1,17.5,,108,107
2198,Irv Kiffin,kiffiir01,Career,,,NBA,,26,,212,6.6,19.9,.333,0.0,0.0,,6.6,19.9,.333,3.7,5.2,.720,2.5,5.8,8.3,3.9,2.1,0.4,6.2,8.9,17.0,,74,108
2201,Carl Kilpatrick,kilpaca01,Career,,,NBA,,2,,6,8.2,16.4,.500,0.0,0.0,,8.2,16.4,.500,8.2,16.4,.500,8.2,24.6,32.8,0.0,0.0,0.0,0.0,8.2,24.6,,122,102
2202,Sean Kilpatrick,kilpase01,Career,,,NBA,,152,24,2950,8.4,20.5,.409,3.0,9.0,.327,5.4,11.5,.474,5.2,6.0,.866,0.6,6.2,6.8,3.7,1.1,0.2,3.2,3.0,24.9,,102,113
2204,Bo Kimble,kimblbo01,Career,,,NBA,,105,22,1336,7.9,20.4,.386,0.9,3.1,.291,7.0,17.3,.403,4.2,5.7,.728,2.1,3.8,5.9,3.6,1.5,0.5,3.6,7.4,20.8,,93,109
2205,Stan Kimbrough,kimbrst01,Career,,,NBA,,13,0,65,6.9,16.9,.409,0.8,1.5,.500,6.2,15.4,.400,1.5,1.5,1.000,3.1,2.3,5.4,4.6,3.9,0.0,3.1,3.9,16.2,,97,104
2206,Chad Kinch,kinchch01,Career,,,NBA,,41,,353,7.1,19.1,.369,0.0,0.0,,7.1,19.1,.369,1.9,2.4,.778,1.0,3.5,4.5,6.1,1.5,0.8,4.1,4.5,16.0,,82,111
2207,Albert King,kingal01,Career,,,NBA,,534,326,12836,9.9,21.5,.461,0.2,0.8,.268,9.7,20.7,.468,3.6,4.6,.791,2.8,5.5,8.3,4.3,1.7,0.7,4.2,5.9,23.7,,99,106
2208,Bernard King,kingbe01,Career,,,NBA,,874,547,29417,12.6,24.3,.518,0.0,0.3,.172,12.5,24.1,.521,6.4,8.7,.730,2.7,5.4,8.1,4.6,1.4,0.4,4.5,4.6,31.6,,108,107
2209,Chris King,kingch01,Career,,,NBA,,103,66,2058,6.9,16.4,.423,1.2,3.1,.383,5.8,13.3,.433,2.7,4.2,.633,2.8,5.2,8.0,3.0,1.9,0.9,3.0,4.7,17.7,,95,109
2211,Frankie King,kingfr01,Career,,,NBA,,13,0,79,6.4,18.0,.357,0.6,1.9,.333,5.8,16.1,.360,3.9,5.1,.750,3.2,7.1,10.3,4.5,3.9,0.0,3.2,7.1,17.4,,93,106
2213,Gerard King,kingge02,Career,,,NBA,,126,31,1829,6.7,13.2,.503,0.0,0.0,,6.7,13.2,.503,2.7,3.7,.744,3.7,7.5,11.1,2.4,1.4,0.8,2.6,6.7,16.0,,106,107
2215,Jimmy King,kingji02,Career,,,NBA,,64,1,890,6.5,15.1,.429,0.3,2.0,.147,6.2,13.1,.471,3.2,4.7,.691,2.6,3.9,6.5,5.2,1.4,0.8,3.5,4.5,16.5,,98,115
2218,Reggie King,kingre01,Career,,,NBA,,438,128,11345,6.3,12.2,.514,0.0,0.0,.000,6.3,12.2,.515,3.6,5.2,.699,3.5,7.7,11.3,2.9,1.5,0.6,2.7,4.2,16.2,,108,105
2219,Rich King,kingri01,Career,,,NBA,,72,2,309,7.2,18.2,.393,0.0,0.3,.000,7.2,17.9,.400,7.7,11.6,.662,4.9,7.2,12.1,3.4,0.8,1.1,4.6,10.1,22.0,,97,108
2220,Ron King,kingro01,Career,,,ABA,,9,,126,8.8,25.8,.343,0.7,2.2,.333,8.1,23.6,.344,5.2,6.3,.824,2.9,4.1,7.0,5.2,1.8,0.7,2.6,5.2,23.6,,96,101
2221,Stacey King,kingst01,Career,,,NBA,,438,63,7406,7.4,15.4,.478,0.0,0.1,.235,7.3,15.3,.480,4.6,6.5,.707,4.1,5.9,10.0,2.7,1.2,1.4,3.6,6.2,19.4,,104,108
2224,Tarence Kinsey,kinseta01,Career,,,NBA,,109,15,1340,7.2,15.9,.453,0.9,2.7,.324,6.3,13.1,.479,4.5,5.5,.817,1.6,4.1,5.7,2.0,2.6,0.0,2.7,3.9,19.7,,104,110
2225,Andrei Kirilenko,kirilan01,Career,,,NBA,,797,546,23916,7.0,14.7,.474,0.8,2.6,.310,6.2,12.1,.510,6.1,8.1,.754,3.1,6.5,9.6,4.8,2.4,3.2,3.4,3.6,20.9,,112,103
2226,Alex Kirk,kirkal01,Career,,,NBA,,5,0,14,3.7,14.9,.250,0.0,0.0,,3.7,14.9,.250,7.4,7.4,1.000,3.7,0.0,3.7,3.7,0.0,0.0,0.0,3.7,14.9,,112,115
2231,Curtis Kitchen,kitchcu01,Career,,,NBA,,6,0,31,4.6,9.1,.500,0.0,1.5,.000,4.6,7.6,.600,4.6,6.1,.750,6.1,7.6,13.7,1.5,3.0,4.6,0.0,6.1,13.7,,146,103
2232,Greg Kite,kitegr01,Career,,,NBA,,680,225,10080,3.4,7.9,.438,0.0,0.0,.167,3.4,7.8,.439,1.4,2.8,.486,4.3,8.2,12.5,1.7,0.8,2.0,2.6,7.6,8.3,,92,108
2233,Kerry Kittles,kittlke01,Career,,,NBA,,507,455,16929,8.6,19.7,.439,2.2,5.7,.378,6.5,14.0,.463,2.8,3.6,.780,1.6,4.6,6.2,4.0,2.5,0.7,1.9,2.8,22.2,,110,104
2234,Maxi Kleber,klebima01,Career,,,NBA,,67,36,1112,5.9,12.6,.468,1.4,5.1,.283,4.5,7.5,.593,1.9,2.6,.754,2.9,6.3,9.2,2.0,1.2,1.9,1.2,4.9,15.2,,113,109
2235,Joe Kleine,kleinjo01,Career,,,NBA,,965,204,14712,6.4,14.0,.453,0.0,0.2,.271,6.3,13.9,.455,2.8,3.6,.794,4.2,9.1,13.3,2.1,0.9,1.0,2.6,6.6,15.6,,103,108
2236,Linas Kleiza,kleizli01,Career,,,NBA,,409,65,8185,7.8,18.0,.435,2.4,7.1,.335,5.4,10.8,.501,3.9,5.2,.763,2.4,6.7,9.1,2.0,1.0,0.5,2.5,5.5,22.0,,106,109
2241,Billy Knight,knighbi01,Career,,,TOT,,821,113,23746,10.5,20.7,.507,0.1,0.4,.284,10.4,20.4,.511,5.8,7.1,.827,3.4,5.1,8.5,3.6,1.6,0.3,3.5,3.1,26.9,,110,107
2243,Brandin Knight,knighbr02,Career,,,NBA,,1,0,3,0.0,18.0,.000,0.0,0.0,,0.0,18.0,.000,0.0,0.0,,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,,53,111
2244,Brandon Knight,knighbr03,Career,,,NBA,,382,320,11939,9.0,21.7,.415,2.7,7.5,.357,6.3,14.2,.445,4.3,5.4,.812,1.0,4.5,5.5,7.0,1.5,0.3,4.4,3.4,25.0,,101,111
2245,Brevin Knight,knighbr01,Career,,,NBA,,729,423,18176,5.8,14.1,.412,0.0,0.3,.134,5.8,13.7,.419,3.7,4.7,.789,0.8,4.3,5.1,12.9,3.5,0.2,3.9,5.3,15.3,,102,104
2246,Negele Knight,knighne01,Career,,,NBA,,276,77,4513,7.5,17.1,.436,0.3,1.1,.263,7.2,16.0,.447,3.7,5.1,.730,1.3,2.6,3.9,8.7,1.4,0.3,4.0,4.5,18.9,,101,111
2248,Toby Knight,knighto01,Career,,,NBA,,283,0,7331,9.9,19.1,.519,0.0,0.0,.000,9.9,19.1,.519,2.7,3.6,.740,3.4,5.5,8.9,2.1,1.5,1.1,2.7,5.5,22.5,,108,107
2249,Travis Knight,knightr01,Career,,,NBA,,371,58,4566,6.0,13.7,.438,0.2,0.7,.259,5.8,13.0,.447,2.5,3.6,.696,5.1,8.2,13.3,2.6,1.6,2.5,2.8,9.2,14.6,,100,102
2253,Bart Kofoed,kofoeba01,Career,,,NBA,,111,0,702,4.0,10.4,.387,0.2,1.1,.188,3.8,9.3,.410,3.0,4.9,.614,1.1,2.8,3.9,7.5,1.3,0.3,3.9,6.6,11.3,,90,110
2257,Jon Koncak,koncajo01,Career,,,NBA,,784,379,16409,4.4,9.3,.470,0.1,0.3,.226,4.3,9.1,.477,1.9,3.1,.597,3.2,8.5,11.7,2.4,1.6,2.4,1.9,7.5,10.7,,105,105
2260,Joe Kopicki,kopicjo01,Career,,,NBA,,118,3,1187,5.5,11.2,.493,0.1,0.4,.273,5.4,10.8,.502,6.2,7.7,.812,4.5,8.2,12.6,3.4,1.5,0.3,3.0,6.0,17.4,,116,105
2261,Furkan Korkmaz,korkmfu01,Career,,,NBA,,11,0,64,4.5,16.6,.273,3.0,10.6,.286,1.5,6.0,.250,1.5,3.0,.500,1.5,5.3,6.8,2.3,0.8,0.8,1.5,5.3,13.6,,84,109
2262,Frank Kornet,kornefr01,Career,,,NBA,,89,0,595,5.4,14.6,.369,0.8,3.1,.263,4.5,11.4,.399,2.6,4.3,.596,2.9,5.0,7.9,2.5,1.6,0.3,2.8,6.8,14.1,,90,110
2263,Luke Kornet,kornelu01,Career,,,NBA,,15,1,220,6.5,19.4,.337,3.8,13.3,.288,2.7,6.1,.444,0.7,0.9,.750,2.3,8.1,10.4,3.8,1.1,2.5,0.9,2.9,17.6,,102,109
2264,Yaroslav Korolev,korolya01,Career,,,NBA,,34,0,168,4.1,14.4,.283,0.9,3.7,.250,3.1,10.6,.294,3.1,5.0,.625,1.9,3.1,5.0,4.1,1.9,0.0,2.2,3.4,12.2,,84,107
2265,Kyle Korver,korveky01,Career,,,NBA,,1100,421,28816,6.7,15.1,.444,3.9,9.1,.432,2.8,6.0,.463,2.1,2.4,.880,0.6,5.4,6.0,3.5,1.3,0.7,2.1,4.1,19.5,,114,107
2270,Kosta Koufos,koufoko01,Career,,,NBA,,644,228,10769,7.9,14.7,.537,0.0,0.0,.000,7.9,14.7,.538,1.9,3.2,.587,5.4,10.0,15.4,1.5,1.3,2.3,2.1,6.3,17.7,,111,105
2273,Arvid Kramer,kramear01,Career,,,NBA,,8,,45,7.2,22.6,.318,0.0,0.0,,7.2,22.6,.318,2.1,2.1,1.000,6.2,6.2,12.3,3.1,0.0,5.1,5.1,8.2,16.4,,77,107
2275,Joel Kramer,kramejo01,Career,,,NBA,,328,4,4184,5.3,11.0,.479,0.0,0.1,.000,5.3,11.0,.481,3.2,4.3,.737,3.7,6.3,10.0,3.7,1.5,0.7,2.9,6.4,13.7,,106,102
2279,Viacheslav Kravtsov,kravtvi01,Career,,,NBA,,45,0,283,7.6,11.3,.672,0.0,0.0,,7.6,11.3,.672,2.8,8.3,.333,6.1,5.4,11.4,1.8,0.9,1.8,3.7,7.2,17.9,,106,109
2281,Wayne Kreklow,kreklwa01,Career,,,NBA,,25,0,100,5.2,22.4,.234,0.5,1.9,.250,4.8,20.5,.233,3.3,4.8,.700,1.0,4.8,5.7,4.3,1.0,0.5,4.8,9.5,14.3,,65,106
2284,Nenad Krstic,krstine01,Career,,,NBA,,419,373,10547,8.6,17.4,.494,0.0,0.1,.143,8.6,17.4,.495,3.8,5.2,.730,3.9,7.4,11.3,1.7,0.8,1.4,2.5,6.2,21.0,,106,106
2285,Larry Krystkowiak,krystla01,Career,,,NBA,,420,134,9097,7.0,15.3,.457,0.0,0.2,.139,7.0,15.1,.461,4.5,5.7,.795,3.5,7.6,11.1,2.8,1.4,0.3,2.8,5.7,18.6,,106,108
2288,Bruce Kuczenski,kuczebr01,Career,,,NBA,,15,2,119,4.0,14.7,.270,0.0,0.0,,4.0,14.7,.270,3.2,4.8,.667,2.8,6.4,9.1,3.2,0.4,0.4,6.0,7.2,11.1,,65,109
2290,John Kuester,kuestjo01,Career,,,NBA,,135,,1527,5.1,11.8,.427,0.0,0.5,.000,5.1,11.8,.428,3.1,3.7,.833,0.8,3.3,4.1,8.9,2.4,0.1,3.6,5.3,13.2,,99,104
2292,Toni Kukoc,kukocto01,Career,,,NBA,,846,259,22212,8.6,19.3,.447,1.7,5.2,.335,6.9,14.1,.488,4.3,5.9,.729,2.4,6.0,8.5,7.4,1.9,0.7,3.7,3.5,23.4,,108,104
2293,Kevin Kunnert,kunneke01,Career,,,NBA,,555,0,12104,7.8,16.3,.476,0.0,0.0,,7.8,16.3,.476,2.1,3.1,.682,5.3,10.1,15.5,3.0,1.0,2.4,1.5,7.4,17.7,,98,101
2295,Mitch Kupchak,kupchmi01,Career,,,NBA,,510,32,9905,9.3,17.7,.523,0.0,0.0,.000,9.3,17.7,.523,5.5,7.9,.704,4.5,8.2,12.6,1.7,0.8,0.8,3.2,5.2,24.1,,107,103
2297,Rob Kurz,kurzro01,Career,,,NBA,,40,5,442,5.6,14.5,.389,1.7,4.2,.395,4.0,10.3,.387,4.4,5.5,.800,3.7,5.3,9.0,2.2,1.5,2.1,1.8,8.6,17.4,,111,113
2298,Ibo Kutluay,kutluib01,Career,,,NBA,,5,0,12,0.0,4.6,.000,0.0,0.0,,0.0,4.6,.000,0.0,0.0,,0.0,4.6,4.6,0.0,0.0,0.0,9.1,4.6,0.0,,0,115
2299,Kyle Kuzma,kuzmaky01,Career,,,NBA,,74,34,2303,9.3,20.6,.451,3.2,8.7,.365,6.1,11.9,.513,2.8,4.0,.714,1.8,7.9,9.7,2.9,1.0,0.7,2.7,3.2,24.6,,106,109
2300,Ognjen Kuzmic,kuzmiog01,Career,,,NBA,,37,0,164,3.9,7.5,.520,0.0,0.0,,3.9,7.5,.520,2.7,4.5,.600,5.1,6.3,11.5,2.4,1.5,1.5,4.5,9.0,10.5,,95,102
2301,Mindaugas Kuzminskas,kuzmimi01,Career,,,NBA,,69,5,1018,7.8,18.2,.426,2.7,8.3,.321,5.1,10.0,.512,2.7,3.3,.809,2.3,3.9,6.2,3.4,1.4,0.5,2.5,3.9,20.9,,107,114
2302,Skal Labissiere,labissk01,Career,,,NBA,,93,40,1852,8.8,18.4,.476,0.6,1.6,.356,8.2,16.8,.488,4.0,5.2,.766,4.1,8.2,12.3,2.7,1.1,1.7,3.0,5.3,22.2,,105,111
2305,Sam Lacey,laceysa01,Career,,,NBA,,761,40,23463,5.7,12.9,.441,0.0,0.1,.188,5.7,12.9,.442,2.6,3.5,.738,3.2,10.2,13.4,6.4,1.9,2.3,1.9,5.1,14.1,,98,96
2306,Bob Lackey,lackebo01,Career,,,ABA,,3,,15,9.1,21.3,.431,6.1,15.2,.400,9.1,21.3,.431,0.0,0.0,.593,9.1,3.0,12.2,3.0,3.0,0.0,3.0,6.1,18.3,,98,100
2308,Wendell Ladner,ladnewe01,Career,,,ABA,,89,,2001,6.7,19.5,.386,2.6,10.2,.252,6.0,16.6,.403,0.8,1.5,.712,3.0,8.4,11.4,4.3,3.2,0.2,3.5,6.9,14.9,,81,95
2309,Christian Laettner,laettch01,Career,,,NBA,,868,692,25760,8.3,17.2,.480,0.2,0.7,.261,8.1,16.5,.490,6.0,7.4,.820,3.3,8.6,11.9,4.5,1.9,1.4,3.9,5.7,22.7,,108,105
2310,Oliver Lafayette,lafayol01,Career,,,NBA,,1,0,22,7.1,14.3,.500,2.4,4.8,.500,4.8,9.5,.500,0.0,0.0,,2.4,7.1,9.5,4.8,0.0,0.0,2.4,0.0,16.7,,112,109
2311,Raef LaFrentz,lafrera01,Career,,,NBA,,563,438,14545,7.9,17.1,.466,1.7,4.7,.363,6.2,12.4,.505,2.7,3.8,.711,3.5,8.7,12.2,2.2,1.0,3.3,1.8,6.6,20.3,,111,104
2312,Tom LaGarde,lagarto01,Career,,,NBA,,312,28,6194,6.7,14.4,.462,0.0,0.0,.000,6.7,14.4,.463,4.9,7.6,.640,3.9,8.4,12.2,3.5,0.7,1.0,4.1,6.6,18.2,,98,106
2313,Bill Laimbeer,laimbbi01,Career,,,NBA,,1068,861,33956,7.9,15.9,.498,0.3,0.9,.326,7.6,15.1,.508,3.5,4.2,.837,4.0,10.8,14.8,3.1,1.0,1.4,2.3,5.2,19.6,,115,104
2315,Bo Lamar,lamarbo01,Career,,,TOT,,273,,8036,10.4,25.3,.411,0.8,2.9,.267,9.7,22.8,.426,3.6,4.7,.768,1.5,2.6,4.1,5.9,2.0,0.2,2.9,2.4,25.0,,98,108
2316,Doron Lamb,lambdo01,Career,,,NBA,,100,0,1272,5.0,13.0,.381,2.0,5.1,.394,2.9,7.9,.372,2.0,2.8,.700,0.6,3.2,3.8,3.0,1.0,0.0,2.1,4.3,13.9,,95,112
2317,Jeremy Lamb,lambje01,Career,,,NBA,,352,31,6569,9.2,20.7,.444,2.4,7.3,.335,6.7,13.4,.503,3.5,4.2,.836,1.2,7.5,8.7,3.7,1.6,0.9,2.1,4.1,24.3,,108,107
2318,John Lambert,lambejo01,Career,,,NBA,,446,7,5564,6.1,14.2,.428,0.0,0.2,.083,6.1,14.1,.430,2.0,2.9,.693,4.7,7.8,12.5,2.1,1.3,1.4,2.2,7.2,14.1,,96,103
2319,Jeff Lamp,lampje01,Career,,,NBA,,291,3,3471,8.3,17.6,.470,0.2,0.7,.222,8.1,16.9,.481,3.7,4.4,.841,1.8,4.2,5.9,3.7,1.4,0.2,3.0,5.4,20.3,,104,109
2320,Maciej Lampe,lampema01,Career,,,NBA,,64,0,632,7.8,19.3,.407,0.2,0.7,.250,7.7,18.6,.413,2.1,3.1,.676,3.1,8.8,11.9,1.8,0.7,0.8,2.9,6.8,17.9,,88,107
2321,Jim Lampley,lamplji01,Career,,,NBA,,1,0,16,3.1,9.2,.333,0.0,0.0,,3.1,9.2,.333,3.1,6.2,.500,3.1,12.3,15.4,0.0,3.1,0.0,3.1,0.0,9.2,,76,103
2322,Sean Lampley,lamplse01,Career,,,NBA,,45,0,550,6.8,14.8,.463,0.0,0.4,.000,6.8,14.4,.476,6.4,9.3,.691,2.8,6.5,9.3,3.3,0.7,0.4,2.8,4.5,20.1,,106,105
2323,Carl Landry,landrca01,Career,,,NBA,,513,93,11524,9.3,17.4,.535,0.0,0.1,.300,9.3,17.3,.537,6.1,7.7,.785,4.4,6.9,11.3,1.6,1.0,0.9,2.7,5.4,24.8,,116,108
2324,Marcus Landry,landrma01,Career,,,NBA,,18,0,111,7.4,19.8,.372,4.1,12.9,.321,3.2,6.9,.467,1.4,2.3,.600,2.3,6.4,8.7,0.0,0.5,0.9,2.8,6.4,20.3,,90,113
2325,Mark Landsberger,landsma01,Career,,,NBA,,437,5,7306,6.6,13.7,.481,0.0,0.0,.000,6.6,13.6,.482,2.7,5.2,.522,6.7,10.5,17.2,1.5,0.8,0.4,3.0,4.4,15.8,,102,104
2326,Jerome Lane,laneje01,Career,,,NBA,,218,79,3215,6.8,15.5,.441,0.0,0.2,.063,6.8,15.3,.447,2.2,5.8,.379,7.8,9.5,17.3,4.4,1.9,0.5,3.6,7.5,15.9,,97,108
2327,Andrew Lang,langan01,Career,,,NBA,,737,380,15344,5.9,12.5,.470,0.0,0.1,.250,5.9,12.4,.471,2.9,3.8,.744,3.9,7.7,11.6,1.4,1.1,3.6,2.3,6.7,14.6,,105,105
2328,Antonio Lang,langan02,Career,,,NBA,,143,1,1395,5.0,10.9,.455,0.0,0.3,.000,5.0,10.6,.469,3.6,5.0,.719,3.3,5.3,8.6,2.1,2.3,1.9,3.7,8.5,13.5,,94,103
2329,James Lang,langja01,Career,,,NBA,,11,0,55,3.7,8.3,.444,0.0,0.0,,3.7,8.3,.444,2.8,4.6,.600,4.6,5.6,10.2,1.9,0.0,2.8,1.9,13.0,10.2,,107,112
2330,Trajan Langdon,langdtr01,Career,,,NBA,,119,5,1738,6.7,16.0,.416,2.6,6.6,.396,4.1,9.4,.429,3.7,4.0,.910,0.9,3.9,4.8,4.6,1.7,0.4,3.0,5.4,19.6,,107,108
2331,Keith Langford,langfke01,Career,,,NBA,,2,0,10,5.4,21.6,.250,0.0,0.0,,5.4,21.6,.250,0.0,0.0,,0.0,10.8,10.8,0.0,0.0,0.0,0.0,5.4,10.8,,55,104
2332,Dan Langhi,langhda01,Career,,,NBA,,133,8,1253,7.3,18.7,.391,0.5,1.6,.289,6.8,17.1,.400,1.6,2.6,.613,2.3,6.2,8.5,1.7,1.3,0.5,1.5,4.5,16.7,,92,107
2333,Bob Lanier,laniebo01,Career,,,NBA,,716,179,23844,10.9,20.6,.514,0.0,0.1,.154,10.8,20.5,.515,5.3,6.9,.767,3.6,9.4,12.9,4.5,1.5,2.1,2.2,4.3,27.0,,111,98
2335,Nicolas Laprovittola,laproni01,Career,,,NBA,,18,3,174,5.9,13.8,.426,2.9,7.9,.370,2.9,5.9,.500,2.6,2.6,1.000,0.3,2.6,2.9,8.2,1.2,0.3,5.6,5.6,17.3,,99,108
2337,Shane Larkin,larkish01,Career,,,NBA,,252,40,4791,5.7,13.5,.425,1.2,3.6,.341,4.5,9.9,.455,2.0,2.6,.782,0.9,4.2,5.1,7.7,2.6,0.3,3.2,4.0,14.8,,100,110
2338,Rusty LaRue,larueru01,Career,,,NBA,,98,7,1565,6.4,17.1,.376,1.9,5.9,.318,4.6,11.3,.407,2.0,2.4,.841,0.8,3.6,4.3,5.2,2.1,0.4,3.2,5.1,16.7,,92,106
2341,Stephane Lasme,lasmest01,Career,,,NBA,,16,4,303,5.6,12.5,.451,0.0,0.0,,5.6,12.5,.451,3.3,5.6,.594,4.6,4.7,9.3,0.5,2.3,3.9,2.6,6.1,14.6,,96,107
2343,Priest Lauderdale,laudepr01,Career,,,NBA,,74,0,525,10.5,22.3,.472,0.0,0.1,.000,10.5,22.2,.474,5.3,9.5,.554,4.4,10.3,14.7,3.4,0.8,2.7,8.6,10.5,26.3,,84,106
2347,Joffrey Lauvergne,lauvejo01,Career,,,NBA,,205,18,2812,8.5,17.6,.480,0.9,3.1,.285,7.6,14.5,.521,2.8,3.8,.721,4.2,9.7,14.0,3.1,1.0,0.6,2.9,5.1,20.5,,106,108
2349,Zach LaVine,lavinza01,Career,,,NBA,,230,144,6601,9.0,20.6,.437,2.6,7.0,.373,6.4,13.6,.470,3.9,4.8,.820,0.6,4.7,5.3,5.6,1.4,0.3,3.6,3.9,24.6,,103,114
2351,Acie Law,lawac01,Career,,,NBA,,188,8,2385,5.7,13.9,.413,0.6,2.5,.235,5.2,11.4,.452,3.8,4.8,.778,0.7,3.5,4.3,6.8,1.8,0.1,3.2,4.2,15.8,,100,112
2352,Gani Lawal,lawalga01,Career,,,NBA,,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,0.0,,,117
2353,Edmund Lawrence,lawreed01,Career,,,NBA,,3,,19,12.5,20.0,.625,0.0,0.0,,12.5,20.0,.625,5.0,10.0,.500,5.0,5.0,10.0,2.5,2.5,0.0,2.5,15.0,30.0,,119,104
