,Name,link,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
27,Maurice Ager,agerma01,Career,,,NBA,,82,4,505,6.7,19.9,.339,1.2,4.6,.250,5.6,15.2,.366,3.2,5.6,.566,0.8,4.0,4.8,2.0,0.6,0.6,3.0,6.8,17.8,,79,111
28,Mark Aguirre,aguirma01,Career,,,NBA,,923,639,27730,12.7,26.3,.484,0.7,2.2,.312,12.1,24.1,.500,6.5,8.8,.741,3.0,5.1,8.1,5.1,1.2,0.5,4.1,4.6,32.7,,109,110
29,Blake Ahearn,ahearbl01,Career,,,NBA,,19,0,226,4.9,18.1,.273,3.3,11.1,.298,1.6,7.1,.233,7.5,7.8,.970,0.2,4.9,5.2,5.2,1.6,0.0,5.2,6.4,20.7,,89,111
30,Danny Ainge,aingeda01,Career,,,NBA,,1042,508,27755,8.1,17.2,.469,1.7,4.6,.378,6.3,12.6,.502,2.9,3.4,.846,1.2,3.6,4.8,7.3,2.0,0.2,2.7,4.4,20.8,,114,108
32,Alexis Ajinca,ajincal01,Career,,,NBA,,293,76,3905,8.5,16.8,.503,0.2,0.6,.286,8.3,16.3,.510,3.3,4.1,.797,4.5,10.5,15.1,1.9,1.3,2.4,3.3,8.7,20.4,,104,106
34,Josh Akognon,akognjo01,Career,,,NBA,,3,0,9,11.3,22.7,.500,5.7,11.3,.500,5.7,11.3,.500,0.0,0.0,,0.0,5.7,5.7,5.7,0.0,0.0,0.0,17.0,28.4,,130,111
35,Solomon Alabi,alabiso01,Career,,,NBA,,26,0,181,4.7,15.0,.314,0.0,0.0,,4.7,15.0,.314,2.1,2.9,.700,6.5,11.4,17.9,1.5,1.2,3.2,2.3,4.7,11.4,,85,103
36,Mark Alarie,alarima01,Career,,,NBA,,325,41,5500,9.0,18.9,.475,0.3,1.2,.252,8.7,17.8,.490,2.8,3.6,.775,3.8,5.9,9.7,3.1,1.1,0.9,2.7,6.2,21.1,,106,110
38,Furkan Aldemir,aldemfu01,Career,,,NBA,,41,9,540,3.7,7.2,.513,0.0,0.5,.000,3.7,6.8,.548,1.2,2.5,.481,7.2,9.1,16.3,2.6,1.6,1.5,1.6,8.9,8.6,,117,104
39,Cole Aldrich,aldrico01,Career,,,NBA,,337,23,3386,6.6,12.5,.527,0.0,0.0,,6.6,12.5,.527,2.7,3.7,.738,5.1,12.1,17.1,2.8,2.1,3.5,3.0,7.7,15.9,,109,101
40,LaMarcus Aldridge,aldrila01,Career,,,NBA,,864,823,29903,12.0,24.6,.488,0.2,0.7,.292,11.8,23.9,.494,5.4,6.7,.806,4.1,8.6,12.7,2.9,1.1,1.6,2.4,3.8,29.6,,112,105
41,Chuck Aleksinas,aleksch01,Career,,,NBA,,74,4,1114,6.7,14.1,.478,0.0,0.0,.000,6.7,14.0,.479,2.3,3.1,.733,3.6,7.6,11.3,1.5,0.6,0.6,3.0,7.1,15.7,,100,114
42,Cliff Alexander,alexacl01,Career,,,NBA,,8,0,36,6.9,13.9,.500,0.0,0.0,,6.9,13.9,.500,0.0,0.0,,2.8,5.6,8.3,0.0,1.4,2.8,1.4,1.4,13.9,,100,107
43,Cory Alexander,alexaco01,Career,,,NBA,,307,35,4847,6.5,16.6,.389,2.6,7.4,.354,3.9,9.2,.417,2.9,3.9,.756,0.9,4.4,5.3,9.2,2.9,0.4,5.1,5.7,18.5,,96,108
44,Courtney Alexander,alexaco02,Career,,,NBA,,187,59,4067,8.6,20.3,.422,0.5,1.6,.339,8.0,18.7,.429,4.4,5.5,.813,1.6,3.7,5.4,3.0,1.5,0.2,2.7,4.9,22.1,,99,108
45,Gary Alexander,alexaga01,Career,,,NBA,,11,0,55,7.6,13.3,.571,0.0,0.0,,7.6,13.3,.571,2.8,8.5,.333,6.6,7.6,14.2,1.9,2.8,0.0,7.6,9.5,18.0,,82,103
46,Joe Alexander,alexajo01,Career,,,NBA,,67,0,745,7.2,17.5,.410,1.1,3.3,.340,6.1,14.2,.426,4.2,6.0,.698,3.2,5.1,8.4,3.1,1.1,2.1,3.6,8.1,19.6,,96,108
47,Victor Alexander,alexavi01,Career,,,NBA,,286,155,5755,9.2,17.8,.518,0.2,0.5,.286,9.0,17.2,.525,2.7,4.2,.634,3.7,7.8,11.6,2.1,1.1,1.5,3.2,6.0,21.2,,105,109
48,Steve Alford,alforst01,Career,,,NBA,,169,3,1641,8.4,18.3,.459,1.0,3.1,.324,7.4,15.1,.487,3.7,4.2,.870,0.7,3.4,4.1,5.1,2.4,0.3,2.6,3.3,21.4,,109,109
51,Jarrett Allen,allenja01,Career,,,NBA,,67,26,1322,8.1,13.8,.586,0.1,0.5,.286,7.9,13.2,.597,4.0,5.1,.784,5.1,8.1,13.2,1.7,1.0,2.6,2.8,5.0,20.3,,119,109
52,Jerome Allen,allenje01,Career,,,NBA,,117,1,1305,4.6,13.2,.350,1.6,5.1,.317,3.0,8.1,.370,2.8,4.4,.630,1.2,3.8,5.0,8.1,2.1,0.4,4.2,5.1,13.6,,92,109
53,Kadeem Allen,allenka01,Career,,,NBA,,12,0,39,1.3,7.7,.167,0.0,3.8,.000,1.3,3.8,.333,3.8,5.1,.750,1.3,3.8,5.1,3.8,1.3,0.0,5.1,6.4,6.4,,62,107
54,Lavoy Allen,allenla01,Career,,,NBA,,388,87,6905,6.1,13.0,.471,0.0,0.1,.133,6.1,12.8,.474,1.4,2.0,.682,5.3,8.3,13.6,2.8,0.9,1.6,1.9,5.2,13.6,,107,105
56,Malik Allen,allenma01,Career,,,NBA,,478,125,7262,7.6,17.3,.439,0.0,0.1,.188,7.6,17.2,.441,1.8,2.4,.778,3.4,6.5,9.9,1.7,0.9,1.6,2.3,6.6,17.0,,95,105
57,Randy Allen,allenra01,Career,,,NBA,,70,6,789,7.2,16.2,.442,0.0,0.5,.000,7.2,15.7,.456,1.5,2.8,.533,3.3,5.8,9.1,1.4,1.1,1.3,1.9,6.8,15.8,,94,111
58,Ray Allen,allenra02,Career,,,NBA,,1300,1149,46344,9.8,21.7,.452,3.4,8.5,.400,6.4,13.2,.485,5.0,5.6,.894,1.4,4.6,6.0,5.0,1.7,0.3,3.1,3.3,28.0,,114,108
59,Tony Allen,allento01,Career,,,NBA,,820,441,18055,7.5,15.8,.475,0.4,1.3,.282,7.2,14.5,.492,3.9,5.5,.709,3.0,5.4,8.4,3.1,3.4,1.0,3.2,5.7,19.3,,103,102
62,Lance Allred,allrela01,Career,,,NBA,,3,0,10,5.3,21.3,.250,0.0,0.0,,5.3,21.3,.250,5.3,10.6,.500,0.0,5.3,5.3,0.0,0.0,0.0,0.0,5.3,16.0,,72,112
63,Darrell Allums,allumda01,Career,,,NBA,,22,,276,4.1,11.8,.343,0.0,0.2,.000,4.1,11.6,.348,2.3,3.9,.591,3.3,8.1,11.5,4.4,0.9,1.4,4.1,9.0,10.4,,79,109
64,Morris Almond,almonmo01,Career,,,NBA,,38,1,361,6.1,16.1,.381,1.0,3.4,.292,5.1,12.7,.404,3.7,5.0,.743,1.4,5.1,6.6,1.7,1.7,0.6,2.7,6.0,17.0,,91,109
65,Derrick Alston,alstode01,Career,,,NBA,,139,42,2657,6.3,12.8,.489,0.0,0.1,.143,6.2,12.7,.493,2.2,4.6,.487,4.5,5.8,10.3,1.9,1.9,1.7,2.2,5.9,14.8,,103,111
66,Rafer Alston,alstora01,Career,,,NBA,,671,452,19392,6.7,17.5,.383,2.7,7.7,.354,4.0,9.8,.407,2.5,3.4,.729,0.7,4.5,5.2,8.8,2.2,0.3,3.3,3.9,18.6,,102,105
67,Peter Aluma,alumape01,Career,,,NBA,,2,0,5,10.0,20.0,.500,0.0,0.0,,10.0,20.0,.500,0.0,0.0,,10.0,10.0,20.0,0.0,10.0,10.0,20.0,40.0,20.0,,55,73
68,John Amaechi,amaecjo01,Career,,,NBA,,294,93,4811,7.1,17.6,.403,0.0,0.1,.077,7.1,17.5,.405,5.5,8.1,.671,2.5,5.8,8.3,2.4,1.0,1.0,4.1,5.3,19.7,,90,105
69,Ashraf Amaya,amayaas01,Career,,,NBA,,85,34,1248,5.6,12.3,.455,0.0,0.1,.500,5.6,12.2,.455,4.7,7.5,.633,5.6,9.4,15.0,1.5,1.2,0.5,2.8,7.6,16.0,,103,107
70,Al-Farouq Aminu,aminual01,Career,,,NBA,,584,343,14438,5.8,13.6,.423,1.5,4.5,.338,4.2,9.1,.464,2.6,3.6,.726,2.9,9.3,12.2,2.6,2.0,1.2,2.6,3.9,15.6,,102,106
71,Lou Amundson,amundlo01,Career,,,NBA,,428,42,5507,6.0,12.8,.474,0.0,0.0,.000,6.0,12.7,.475,2.5,5.6,.444,6.0,8.4,14.4,1.8,1.4,2.9,2.8,7.8,14.6,,100,106
73,Chris Andersen,anderch01,Career,,,NBA,,695,45,12273,5.7,10.7,.532,0.1,0.3,.221,5.6,10.4,.541,4.5,6.9,.654,5.0,9.8,14.8,1.4,1.3,4.2,2.2,5.7,15.9,,116,102
74,David Andersen,anderda03,Career,,,NBA,,103,0,1264,8.3,18.8,.440,1.4,4.1,.347,6.9,14.7,.467,2.5,3.6,.674,3.0,8.9,11.9,2.3,0.8,0.9,2.4,6.5,20.5,,101,108
75,Alan Anderson,anderal01,Career,,,NBA,,330,66,6793,6.5,16.0,.405,2.5,7.4,.344,3.9,8.6,.457,3.1,3.8,.816,1.2,4.3,5.5,2.8,1.4,0.2,2.2,4.6,18.6,,103,110
77,Antonio Anderson,anderan02,Career,,,NBA,,1,0,15,3.4,10.3,.333,0.0,0.0,,3.4,10.3,.333,0.0,0.0,,3.4,0.0,3.4,0.0,0.0,0.0,3.4,3.4,6.9,,66,114
81,Derek Anderson,anderde01,Career,,,NBA,,615,390,17975,7.2,17.6,.408,1.9,5.6,.341,5.3,12.0,.440,5.6,6.5,.853,1.3,4.6,5.9,6.2,2.1,0.3,3.1,3.7,21.9,,108,106
82,Dwight Anderson,anderdw01,Career,,,NBA,,5,0,33,9.1,18.2,.500,0.0,0.0,,9.1,18.2,.500,9.1,13.0,.700,0.0,2.6,2.6,3.9,1.3,0.0,6.5,9.1,27.3,,96,112
83,Eric Anderson,anderer01,Career,,,NBA,,27,0,83,7.4,21.6,.343,1.2,1.2,1.000,6.2,20.4,.303,9.9,16.7,.593,7.4,11.7,19.1,3.1,1.9,1.2,4.3,14.2,25.9,,97,95
84,Greg Anderson,andergr01,Career,,,NBA,,680,315,14040,7.0,14.2,.492,0.0,0.1,.087,7.0,14.1,.494,3.2,5.8,.557,5.0,9.8,14.8,1.3,1.7,2.1,3.2,6.1,17.2,,100,106
85,J.J. Anderson,anderjj01,Career,,,NBA,,157,2,1970,7.0,15.1,.465,0.0,0.2,.000,7.0,14.9,.471,3.2,5.7,.558,4.3,5.8,10.1,2.5,2.5,0.9,3.0,5.8,17.2,,98,104
86,James Anderson,anderja01,Career,,,NBA,,247,83,4320,6.0,14.5,.411,2.2,7.0,.321,3.7,7.6,.495,2.0,2.7,.755,1.2,5.1,6.4,3.3,1.4,0.6,2.5,3.3,16.2,,100,110
88,Justin Anderson,anderju01,Career,,,NBA,,164,19,2342,7.1,17.0,.418,2.3,7.8,.296,4.8,9.1,.523,3.6,4.6,.782,2.3,7.5,9.8,2.5,1.6,1.1,2.2,4.4,20.1,,104,107
89,Kenny Anderson,anderke01,Career,,,NBA,,858,693,25868,8.0,19.0,.421,1.1,3.2,.346,6.9,15.9,.436,4.5,5.7,.790,1.3,3.9,5.3,10.4,2.5,0.2,3.5,4.0,21.6,,108,106
91,Kyle Anderson,anderky01,Career,,,NBA,,252,96,4467,5.4,11.4,.477,0.5,1.6,.331,4.9,9.8,.500,2.4,3.3,.735,1.6,8.6,10.2,4.9,2.6,1.3,2.3,3.3,13.8,,108,100
92,Michael Anderson,andermi01,Career,,,NBA,,36,12,730,4.6,11.0,.417,0.1,0.4,.143,4.5,10.6,.429,3.6,5.2,.695,2.8,2.8,5.6,9.7,2.8,0.2,5.3,4.0,12.9,,93,109
93,Nick Anderson,anderni01,Career,,,NBA,,800,636,24922,9.0,20.1,.446,2.1,6.0,.356,6.8,14.1,.485,3.3,5.0,.667,2.1,6.2,8.2,4.2,2.3,0.7,2.8,3.0,23.4,,107,106
94,Richard Anderson,anderri01,Career,,,NBA,,407,30,6002,7.0,16.9,.412,1.1,3.4,.333,5.8,13.5,.432,2.3,3.0,.762,3.5,7.4,10.9,4.7,1.7,0.7,2.8,5.3,17.3,,102,108
95,Ron Anderson,anderro01,Career,,,NBA,,664,79,15112,9.6,20.4,.471,0.3,1.2,.287,9.2,19.2,.482,3.5,4.3,.814,2.8,4.8,7.5,3.1,1.5,0.3,2.4,3.3,23.0,,107,111
96,Ryan Anderson,anderry01,Career,,,NBA,,621,281,16428,8.6,20.3,.423,4.1,10.8,.382,4.5,9.5,.471,3.6,4.2,.855,3.9,6.7,10.5,1.8,1.0,0.7,1.9,3.9,24.9,,115,109
97,Shandon Anderson,andersh01,Career,,,NBA,,719,226,15946,6.6,14.5,.457,1.0,3.2,.316,5.6,11.3,.498,3.4,4.6,.739,1.9,5.5,7.5,3.3,1.8,0.6,3.2,4.8,17.7,,101,105
