,Name,link,Year,blank,blank,League,blank,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
1204,Jordan Farmar,farmajo01,Career,,,NBA,,504,40,19.5,2.9,6.8,.423,1.2,3.1,.374,1.7,3.8,.463,.507,0.8,1.0,.739,0.3,1.6,1.9,2.9,0.8,0.1,1.4,1.4,7.7
1205,Desmon Farmer,farmede01,Career,,,NBA,,11,0,7.8,0.8,2.6,.310,0.5,1.8,.250,0.4,0.8,.444,.397,0.3,0.3,1.000,0.0,0.6,0.6,1.0,0.1,0.0,0.5,0.7,2.4
1206,Jim Farmer,farmeji01,Career,,,NBA,,136,1,10.7,2.0,4.7,.428,0.2,0.6,.282,1.9,4.2,.448,.445,1.1,1.4,.730,0.6,0.8,1.4,0.8,0.3,0.0,0.9,1.2,5.3
1208,Tony Farmer,farmeto01,Career,,,NBA,,101,11,13.5,1.4,3.6,.395,0.1,0.5,.189,1.3,3.1,.429,.408,2.3,3.0,.770,1.3,1.9,3.2,0.8,0.8,0.2,0.9,1.9,5.3
1210,Vitor Faverani,favervi01,Career,,,NBA,,37,8,13.2,1.7,4.0,.435,0.3,1.1,.300,1.4,2.9,.486,.476,0.6,1.0,.649,1.1,2.3,3.5,0.4,0.4,0.7,1.1,2.0,4.4
1211,Derrick Favors,favorde01,Career,,,NBA,,551,361,26.1,4.7,9.0,.517,0.0,0.1,.203,4.6,8.9,.522,.519,2.2,3.3,.663,2.5,4.7,7.2,1.1,0.8,1.3,1.5,2.7,11.5
1212,Nick Fazekas,fazekni01,Career,,,NBA,,26,0,10.3,1.8,3.2,.561,0.0,0.1,.000,1.8,3.1,.575,.561,0.6,0.8,.682,1.3,2.1,3.4,0.4,0.3,0.4,0.5,1.0,4.1
1216,Jamie Feick,feickja01,Career,,,NBA,,201,35,21.5,1.7,4.1,.424,0.1,0.1,.400,1.7,4.0,.425,.432,1.0,1.6,.629,2.6,4.6,7.1,0.7,0.6,0.4,0.8,2.2,4.5
1219,Dave Feitl,feitlda01,Career,,,NBA,,275,58,10.9,1.7,4.0,.433,0.0,0.0,.000,1.7,3.9,.436,.433,0.9,1.2,.751,0.9,2.1,3.0,0.5,0.2,0.2,0.9,1.6,4.3
1220,Kay Felder,feldeka01,Career,,,NBA,,57,0,9.2,1.4,4.0,.363,0.2,0.7,.268,1.2,3.2,.384,.387,0.8,1.1,.754,0.1,0.9,1.0,1.4,0.4,0.1,0.8,0.9,3.9
1221,Cristiano Felicio,feliccr01,Career,,,NBA,,147,15,14.9,1.9,3.2,.582,0.0,0.0,.000,1.9,3.2,.588,.582,0.9,1.3,.658,1.5,2.6,4.1,0.8,0.3,0.3,0.6,1.6,4.6
1222,Carrick Felix,felixca01,Career,,,NBA,,7,0,5.4,1.0,2.0,.500,0.3,0.7,.400,0.7,1.3,.556,.571,0.4,0.6,.750,0.1,0.7,0.9,0.6,0.0,0.0,0.6,0.6,2.7
1223,Noel Felix,felixno01,Career,,,NBA,,12,0,6.8,0.5,2.1,.240,0.1,0.3,.333,0.4,1.8,.227,.260,0.4,0.7,.625,0.3,0.8,1.1,0.2,0.2,0.3,0.7,1.1,1.5
1225,Raymond Felton,feltora01,Career,,,NBA,,934,659,30.4,4.3,10.5,.412,1.0,2.9,.328,3.4,7.6,.445,.458,1.8,2.3,.789,0.6,2.4,3.0,5.4,1.2,0.2,2.1,2.0,11.4
1228,Desmond Ferguson,fergude01,Career,,,NBA,,7,0,4.6,0.7,1.7,.417,0.4,1.1,.375,0.3,0.6,.500,.542,0.0,0.3,.000,0.0,0.6,0.6,0.1,0.0,0.0,0.1,0.0,1.9
1229,Terrance Ferguson,fergute01,Career,,,NBA,,59,12,12.3,1.1,2.7,.409,0.6,1.9,.318,0.5,0.8,.612,.519,0.2,0.2,.900,0.3,0.4,0.7,0.3,0.4,0.2,0.2,1.3,2.9
1230,Rudy Fernandez,fernaru01,Career,,,NBA,,249,10,24.0,3.0,7.4,.399,1.7,4.6,.360,1.3,2.8,.463,.511,1.4,1.7,.840,0.5,1.9,2.4,2.2,1.0,0.2,1.1,1.5,9.1
1231,Eric Fernsten,fernser01,Career,,,NBA,,218,0,7.5,0.9,2.0,.445,0.0,0.0,,0.9,2.0,.445,.445,0.6,0.9,.675,0.7,1.0,1.7,0.4,0.2,0.2,0.4,0.8,2.4
1233,Rolando Ferreira,ferrero01,Career,,,NBA,,12,0,2.8,0.1,1.5,.056,0.0,0.0,,0.1,1.5,.056,.056,0.6,0.7,.875,0.3,0.8,1.1,0.1,0.0,0.1,0.5,0.6,0.8
1234,Duane Ferrell,ferredu01,Career,,,NBA,,583,72,15.0,2.4,5.1,.480,0.1,0.3,.288,2.4,4.8,.490,.487,1.4,1.9,.750,0.9,1.0,1.9,0.9,0.5,0.2,0.9,1.5,6.4
1235,Yogi Ferrell,ferreyo01,Career,,,NBA,,123,50,27.6,3.7,8.9,.419,1.6,4.2,.378,2.1,4.7,.456,.508,1.2,1.5,.814,0.4,2.5,2.9,2.9,0.8,0.1,1.2,2.0,10.3
1238,Danny Ferry,ferryda01,Career,,,NBA,,917,186,19.8,2.7,6.1,.446,0.7,1.9,.393,2.0,4.2,.470,.506,0.8,1.0,.840,0.7,2.1,2.8,1.3,0.4,0.3,0.9,2.1,7.0
1239,Kyrylo Fesenko,fesenky01,Career,,,NBA,,135,7,8.2,0.9,1.9,.496,0.0,0.0,.000,0.9,1.9,.500,.496,0.4,1.0,.410,0.7,1.3,2.0,0.3,0.1,0.4,0.5,1.7,2.3
1241,Kenny Fields,fieldke01,Career,,,NBA,,184,21,14.6,2.5,5.3,.474,0.0,0.1,.188,2.5,5.2,.479,.475,1.1,1.6,.733,1.0,1.6,2.5,1.0,0.5,0.2,1.0,2.1,6.2
1242,Landry Fields,fieldla01,Career,,,NBA,,255,176,23.6,2.7,5.7,.473,0.5,1.4,.332,2.2,4.3,.520,.515,1.0,1.4,.666,1.0,3.3,4.3,1.6,0.8,0.2,1.1,1.2,6.8
1245,Larry Finch,finchla01,Career,,,ABA,,128,,23.8,3.3,7.8,.431,0.2,0.6,.342,3.1,7.1,.439,.445,1.7,2.1,.829,0.5,1.2,1.7,2.4,0.6,0.1,1.4,2.5,8.6
1247,Michael Finley,finlemi01,Career,,,NBA,,1103,875,34.4,6.1,13.7,.444,1.3,3.5,.375,4.8,10.2,.467,.492,2.2,2.7,.811,1.0,3.3,4.4,2.9,0.9,0.3,1.5,1.6,15.7
1249,Dorian Finney-Smith,finnedo01,Career,,,NBA,,98,44,19.9,1.5,4.1,.371,0.7,2.4,.289,0.8,1.7,.485,.455,0.6,0.7,.750,0.7,2.1,2.8,0.8,0.6,0.3,0.6,1.6,4.3
1250,Matt Fish,fishma01,Career,,,NBA,,50,9,10.2,1.4,2.8,.500,0.0,0.0,.000,1.4,2.8,.504,.500,0.7,1.1,.625,0.9,1.3,2.2,0.5,0.4,0.3,0.7,1.8,3.5
1251,Derek Fisher,fishede01,Career,,,NBA,,1287,731,25.4,2.9,7.2,.399,1.0,2.6,.374,1.9,4.7,.413,.466,1.6,1.9,.817,0.3,1.7,2.1,3.0,1.1,0.1,1.1,2.1,8.3
1253,Gerald Fitch,fitchge01,Career,,,NBA,,18,1,13.3,1.7,4.9,.337,0.4,1.4,.269,1.3,3.5,.365,.376,0.9,1.3,.739,0.4,1.3,1.7,1.8,0.4,0.3,0.8,1.6,4.7
1256,Marcus Fizer,fizerma01,Career,,,NBA,,289,35,20.9,3.8,8.8,.435,0.1,0.4,.191,3.7,8.4,.446,.439,1.9,2.8,.691,1.3,3.3,4.6,1.2,0.5,0.3,1.5,2.2,9.6
1260,Vern Fleming,flemive01,Career,,,NBA,,893,523,27.7,4.4,8.9,.498,0.0,0.2,.181,4.4,8.7,.507,.501,2.4,3.2,.764,1.1,2.3,3.4,4.8,1.0,0.1,2.0,2.2,11.3
1261,Luis Flores,florelu01,Career,,,NBA,,16,0,4.8,0.9,1.8,.483,0.3,0.6,.500,0.6,1.2,.474,.569,0.1,0.1,1.000,0.1,0.1,0.2,0.7,0.1,0.0,0.7,0.6,2.2
1262,Bruce Flowers,flowebr01,Career,,,NBA,,53,5,13.2,2.1,3.9,.534,0.0,0.0,.000,2.1,3.8,.539,.534,0.8,1.0,.774,1.3,2.1,3.4,0.9,0.4,0.2,0.8,1.9,4.9
1263,Sleepy Floyd,floydsl01,Career,,,NBA,,957,584,27.6,4.6,10.5,.444,0.5,1.7,.324,4.1,8.8,.467,.470,3.0,3.6,.815,0.7,2.0,2.6,5.4,1.2,0.2,2.4,2.1,12.8
1264,Jonny Flynn,flynnjo01,Career,,,NBA,,163,90,22.9,3.4,8.5,.400,0.7,2.1,.338,2.7,6.3,.420,.442,1.7,2.2,.809,0.3,1.6,1.9,3.9,0.7,0.0,2.3,1.1,9.2
1265,Mike Flynn,flynnmi01,Career,,,TOT,,211,,16.0,2.5,6.1,.419,0.4,1.5,.253,2.4,5.6,.433,.429,1.0,1.7,.629,0.9,1.2,2.1,2.2,0.7,0.1,1.1,1.3,6.2
1268,Isaac Fontaine,fontais01,Career,,,NBA,,6,0,12.5,0.5,2.3,.214,0.2,0.8,.200,0.3,1.5,.222,.250,0.7,1.0,.667,0.0,0.8,0.8,0.7,0.0,0.0,0.7,1.0,1.8
1270,Jeff Foote,footeje01,Career,,,NBA,,4,0,9.8,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.3,1.3,1.5,0.0,0.0,0.3,0.5,1.3,1.0
1271,Bryn Forbes,forbebr01,Career,,,NBA,,111,12,15.4,2.1,5.1,.407,0.9,2.4,.374,1.2,2.7,.437,.496,0.4,0.7,.662,0.1,1.0,1.1,0.9,0.2,0.0,0.4,1.1,5.5
1272,Gary Forbes,forbega01,Career,,,NBA,,111,13,13.5,2.1,4.9,.434,0.4,1.3,.340,1.7,3.6,.467,.478,1.1,1.6,.702,0.5,1.5,2.0,0.9,0.4,0.1,0.9,1.2,5.8
1273,Alphonso Ford,fordal01,Career,,,NBA,,11,0,10.4,1.5,4.7,.308,0.1,0.9,.100,1.4,3.8,.357,.317,0.2,0.4,.500,0.7,1.1,1.8,0.9,0.3,0.0,0.8,0.6,3.2
1274,Alton Ford,fordal02,Career,,,NBA,,73,0,7.2,1.0,1.9,.507,0.0,0.0,,1.0,1.9,.507,.507,0.6,0.9,.697,0.5,1.2,1.7,0.2,0.1,0.1,0.5,1.6,2.5
1275,Bob Ford,fordbo01,Career,,,ABA,,9,,8.2,0.6,1.9,.294,0.0,0.0,,0.6,1.9,.294,.294,0.4,0.6,.800,0.2,1.1,1.3,0.4,,,0.4,0.9,1.6
1276,Chris Ford,fordch01,Career,,,NBA,,794,201,27.8,4.0,8.7,.460,0.5,1.5,.375,3.8,8.2,.464,.469,1.1,1.5,.731,1.1,1.8,3.0,3.4,1.6,0.3,1.8,2.3,9.2
1277,Don Ford,forddo01,Career,,,NBA,,474,1,19.6,2.8,6.0,.464,0.0,0.0,.143,2.8,6.0,.465,.464,0.8,1.1,.773,1.1,2.4,3.6,1.4,0.6,0.3,0.9,2.1,6.4
1279,Phil Ford,fordph01,Career,,,NBA,,482,184,28.0,4.4,9.5,.467,0.1,0.3,.210,4.4,9.2,.474,.469,2.7,3.3,.820,0.3,1.4,1.8,6.4,1.2,0.1,2.8,2.6,11.6
1280,Sharrod Ford,fordsh02,Career,,,NBA,,3,0,4.3,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,.667,0.0,0.0,,0.3,0.7,1.0,0.0,0.0,0.3,0.7,2.3,1.3
1281,Sherell Ford,fordsh01,Career,,,NBA,,28,1,5.0,1.1,2.9,.375,0.1,0.9,.160,0.9,2.0,.473,.400,0.9,1.2,.765,0.4,0.4,0.9,0.2,0.3,0.0,0.2,1.0,3.2
1282,T.J. Ford,fordtj01,Career,,,NBA,,429,306,27.7,4.3,9.8,.433,0.3,1.0,.289,4.0,8.8,.450,.448,2.4,2.9,.815,0.7,2.4,3.1,5.8,1.2,0.1,2.4,2.3,11.2
1285,Joseph Forte,fortejo01,Career,,,NBA,,25,0,5.0,0.4,1.9,.234,0.0,0.2,.000,0.4,1.6,.268,.234,0.3,0.4,.800,0.2,0.5,0.7,0.7,0.2,0.0,0.5,0.3,1.2
1286,Courtney Fortson,fortsco01,Career,,,NBA,,10,0,9.5,1.1,3.2,.344,0.3,1.3,.231,0.8,1.9,.421,.391,1.0,1.5,.667,0.6,0.9,1.5,1.0,0.3,0.0,1.0,0.5,3.5
1287,Danny Fortson,fortsda01,Career,,,NBA,,440,175,20.1,2.7,5.8,.472,0.0,0.0,.167,2.7,5.7,.473,.472,2.8,3.5,.785,2.7,4.5,7.2,0.7,0.4,0.2,1.5,3.5,8.2
1289,Greg Foster,fostegr01,Career,,,NBA,,656,95,12.2,1.6,3.6,.440,0.0,0.1,.225,1.6,3.5,.448,.444,0.6,0.9,.748,0.8,1.8,2.6,0.5,0.1,0.3,0.7,1.9,3.9
1290,Jeff Foster,fosteje01,Career,,,NBA,,764,345,20.6,1.9,3.9,.497,0.0,0.1,.130,1.9,3.8,.504,.498,1.0,1.7,.615,2.8,4.1,6.9,0.9,0.7,0.4,0.8,2.5,4.9
1291,Jimmy Foster,fosteja01,Career,,,ABA,,89,,13.0,1.5,4.0,.373,0.0,0.2,.071,1.5,3.8,.385,.374,0.7,1.1,.673,0.4,0.9,1.3,2.1,0.7,0.1,1.7,2.2,3.7
1292,Rod Foster,fostero01,Career,,,NBA,,207,35,16.6,3.0,6.9,.440,0.3,1.2,.298,2.7,5.8,.469,.465,1.1,1.4,.768,0.4,0.9,1.2,2.3,0.7,0.0,1.4,2.1,7.5
1293,Antonis Fotsis,fotsian01,Career,,,NBA,,28,1,11.4,1.5,3.7,.404,0.3,0.8,.304,1.3,2.9,.432,.438,0.6,0.7,.850,0.9,1.3,2.2,0.4,0.3,0.4,0.8,0.8,3.9
1294,Evan Fournier,fournev01,Career,,,NBA,,376,234,27.2,4.7,10.5,.448,1.6,4.3,.379,3.1,6.2,.495,.525,2.1,2.7,.804,0.4,2.2,2.7,2.3,0.8,0.1,1.6,2.4,13.1
1298,Tremaine Fowlkes,fowlktr01,Career,,,NBA,,103,27,12.0,1.0,2.5,.409,0.0,0.2,.200,1.0,2.3,.426,.416,0.8,1.1,.791,0.9,1.3,2.2,0.5,0.5,0.1,0.5,1.4,2.9
1299,De'Aaron Fox,foxde01,Career,,,NBA,,69,56,27.4,4.5,10.8,.415,0.6,2.0,.297,3.9,8.8,.441,.442,1.9,2.6,.723,0.4,2.2,2.6,4.3,1.0,0.3,2.3,2.2,11.4
1302,Rick Fox,foxri01,Career,,,NBA,,930,587,25.5,3.6,8.1,.450,0.8,2.4,.349,2.8,5.7,.492,.501,1.5,2.0,.770,1.1,2.7,3.8,2.8,1.0,0.4,1.7,2.9,9.6
1303,Randy Foye,foyera01,Career,,,NBA,,752,433,25.6,3.6,9.0,.401,1.5,4.0,.366,2.1,5.0,.429,.482,1.6,1.9,.852,0.3,1.9,2.2,2.8,0.7,0.3,1.5,2.1,10.3
1304,Adonal Foyle,foylead01,Career,,,NBA,,733,269,17.8,1.8,3.8,.477,0.0,0.0,.000,1.8,3.8,.477,.477,0.5,1.0,.499,1.8,2.9,4.7,0.5,0.4,1.6,0.8,2.1,4.1
1305,Richie Frahm,frahmri01,Career,,,NBA,,140,2,10.5,1.3,3.1,.411,0.7,1.9,.356,0.6,1.2,.500,.521,0.4,0.5,.810,0.3,0.9,1.2,0.6,0.3,0.1,0.3,0.9,3.6
1306,Steve Francis,francst01,Career,,,NBA,,576,543,37.6,6.2,14.4,.429,1.0,2.9,.341,5.2,11.4,.451,.463,4.8,6.1,.797,1.7,3.9,5.6,6.0,1.5,0.4,3.5,3.1,18.1
1307,Tellis Frank,frankte01,Career,,,NBA,,264,81,17.8,2.4,5.5,.439,0.0,0.0,.000,2.4,5.5,.440,.439,1.6,2.2,.741,1.4,2.5,3.9,1.0,0.6,0.4,1.2,3.0,6.5
1309,Jamaal Franklin,frankja01,Career,,,NBA,,24,0,7.3,0.7,1.7,.415,0.3,0.5,.462,0.5,1.2,.393,.488,0.1,0.1,1.000,0.2,0.8,1.0,0.4,0.2,0.1,0.6,1.1,1.8
1310,William Franklin,frankwi01,Career,,,ABA,,107,,11.8,2.4,5.9,.415,0.0,0.1,.250,2.4,5.8,.417,.417,1.2,2.0,.601,1.6,2.1,3.7,0.6,0.2,0.1,1.4,2.0,6.1
1311,Ronald Franz,franzro01,Career,,,ABA,,403,,24.6,4.4,9.8,.447,0.1,0.5,.279,4.2,9.3,.456,.454,2.9,4.1,.703,1.7,3.3,5.3,1.7,,,1.9,2.8,11.7
1312,Tim Frazier,fraziti01,Career,,,NBA,,182,51,18.1,1.9,4.7,.402,0.4,1.4,.310,1.5,3.3,.439,.447,1.0,1.4,.724,0.5,1.8,2.3,4.1,0.8,0.1,1.4,1.8,5.2
1313,Walt Frazier,fraziwa01,Career,,,NBA,,825,,37.5,7.4,15.2,.490,0.0,0.3,.000,7.4,15.2,.490,.490,4.0,5.1,.786,1.1,4.2,5.9,6.1,1.9,0.2,2.1,2.6,18.9
1315,Anthony Frederick,fredean01,Career,,,NBA,,147,29,11.2,2.0,4.5,.439,0.0,0.1,.273,1.9,4.4,.445,.443,0.9,1.3,.699,0.9,1.0,1.9,0.9,0.5,0.3,0.9,1.4,4.9
1316,Jimmer Fredette,fredeji01,Career,,,NBA,,235,7,13.4,2.2,5.3,.412,0.8,2.2,.381,1.4,3.2,.432,.489,0.8,0.9,.876,0.2,0.8,1.0,1.4,0.4,0.0,0.9,0.9,6.0
1317,World B. Free,freewo01,Career,,,NBA,,886,345,30.4,7.3,16.1,.456,0.4,1.1,.337,7.1,15.4,.461,.463,5.3,7.1,.753,1.1,1.6,2.7,3.7,1.0,0.3,2.5,2.6,20.3
1318,Joel Freeland,freeljo01,Career,,,NBA,,151,9,12.1,1.4,3.0,.459,0.0,0.0,.000,1.4,3.0,.461,.459,0.4,0.5,.728,1.3,2.2,3.4,0.4,0.2,0.4,0.5,1.7,3.2
1319,Donnie Freeman,freemdo01,Career,,,TOT,,648,,32.4,7.0,15.4,.456,0.0,0.1,.151,7.0,15.3,.459,.457,4.8,6.0,.800,1.5,1.9,3.5,3.5,0.8,0.2,2.4,2.7,18.9
1322,Matt Freije,freijma01,Career,,,NBA,,42,11,14.0,1.3,4.3,.293,0.4,1.8,.224,0.9,2.5,.343,.340,0.2,0.3,.714,0.6,1.5,2.0,0.6,0.4,0.1,0.5,1.3,3.2
1327,Channing Frye,fryech01,Career,,,NBA,,849,439,22.8,3.4,7.7,.442,1.2,3.1,.387,2.2,4.6,.478,.519,1.0,1.2,.823,0.9,3.7,4.6,1.0,0.5,0.6,0.9,2.6,9.0
1328,Bernie Fryer,fryerbe01,Career,,,TOT,,120,,19.8,2.5,5.5,.447,0.0,0.1,.000,2.5,5.5,.447,.447,1.4,1.7,.786,0.7,1.2,1.9,3.0,1.0,0.1,1.9,2.2,6.3
1333,Hiram Fuller,fullehi01,Career,,,NBA,,4,0,10.8,0.8,2.0,.375,0.0,0.0,,0.8,2.0,.375,.375,0.5,1.5,.333,1.0,1.8,2.8,0.5,0.0,0.3,1.0,1.3,2.0
1334,Todd Fuller,fulleto02,Career,,,NBA,,225,23,11.1,1.4,3.3,.422,0.0,0.0,.000,1.4,3.3,.424,.422,0.9,1.3,.668,1.1,1.9,3.0,0.2,0.2,0.3,0.6,1.6,3.7
1335,Tony Fuller,fulleto01,Career,,,NBA,,15,,16.5,1.6,4.4,.364,0.0,0.1,.000,1.6,4.3,.369,.364,0.8,1.1,.750,0.9,1.9,2.8,1.9,0.7,0.1,1.5,1.7,4.0
1336,Markelle Fultz,fultzma01,Career,,,NBA,,8,0,17.4,2.6,7.3,.362,0.0,0.0,,2.6,7.3,.362,.362,1.1,2.0,.563,0.9,1.6,2.5,3.3,0.8,0.3,1.0,1.5,6.4
1337,Lawrence Funderburke,fundela01,Career,,,NBA,,318,7,14.9,2.6,5.1,.506,0.0,0.1,.118,2.5,5.0,.510,.506,1.3,1.9,.675,1.4,2.2,3.6,0.6,0.3,0.3,0.7,1.1,6.4
1338,Terry Furlow,furlote01,Career,,,NBA,,239,,20.1,4.4,9.5,.459,0.3,1.1,.293,4.3,9.2,.466,.465,1.8,2.1,.862,0.9,1.2,2.1,2.4,0.7,0.3,1.8,1.2,10.7
1340,Dan Gadzuric,gadzuda01,Career,,,NBA,,527,164,14.8,2.0,4.0,.500,0.0,0.0,.000,2.0,4.0,.501,.500,0.7,1.4,.498,1.7,2.7,4.4,0.4,0.5,0.9,0.7,2.4,4.7
1341,Deng Gai,gaide01,Career,,,NBA,,2,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1344,Corey Gaines,gaineco01,Career,,,NBA,,80,10,12.5,1.2,2.7,.424,0.1,0.6,.229,1.0,2.1,.479,.449,0.7,0.9,.736,0.2,0.7,0.9,3.1,0.5,0.1,0.9,1.2,3.1
1346,Reece Gaines,gainere01,Career,,,NBA,,71,1,8.5,0.7,2.1,.324,0.1,0.4,.269,0.6,1.7,.336,.348,0.3,0.5,.606,0.1,0.6,0.7,0.7,0.2,0.0,0.4,0.6,1.7
1347,Sundiata Gaines,gainesu01,Career,,,NBA,,113,12,11.6,1.6,4.1,.397,0.4,1.3,.301,1.2,2.8,.442,.445,0.9,1.6,.562,0.4,1.1,1.5,1.8,0.7,0.0,0.8,0.9,4.5
1348,Mike Gale,galemi01,Career,,,TOT,,842,70,24.5,3.1,6.7,.464,0.0,0.1,.187,3.1,6.6,.469,.466,1.1,1.5,.781,0.8,2.1,2.9,3.7,1.8,0.5,1.7,2.3,7.4
1349,Chad Gallagher,gallach01,Career,,,NBA,,2,0,1.5,1.5,1.5,1.000,0.0,0.0,,1.5,1.5,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
1351,Danilo Gallinari,gallida01,Career,,,NBA,,481,411,31.2,4.6,11.0,.419,1.8,4.9,.367,2.8,6.1,.461,.501,4.3,4.9,.865,0.8,3.9,4.7,2.0,0.8,0.4,1.3,1.9,15.3
1352,Langston Galloway,gallola01,Career,,,NBA,,255,52,22.6,3.0,7.6,.389,1.3,3.5,.361,1.7,4.1,.412,.473,0.9,1.1,.783,0.5,2.3,2.8,2.0,0.8,0.2,0.7,1.7,8.1
1354,Kevin Gamble,gamblke01,Career,,,NBA,,649,270,22.4,3.9,7.9,.502,0.4,1.0,.360,3.6,6.9,.522,.524,1.2,1.5,.810,0.6,1.7,2.2,2.0,0.7,0.3,0.9,1.9,9.5
1356,Jorge Garbajosa,garbajo01,Career,,,NBA,,74,60,26.8,3.1,7.5,.415,1.0,2.8,.344,2.1,4.7,.458,.480,0.8,1.1,.731,0.7,4.0,4.7,1.7,1.1,0.2,0.9,1.2,8.0
1357,Ruben Garces,garceru01,Career,,,NBA,,13,0,5.6,0.5,1.7,.318,0.0,0.0,,0.5,1.7,.318,.318,0.2,0.6,.250,1.2,1.0,2.2,0.4,0.2,0.2,0.4,1.1,1.2
1358,Alex Garcia,garcial01,Career,,,NBA,,10,3,15.9,1.9,5.9,.322,0.5,1.8,.278,1.4,4.1,.341,.364,0.4,0.6,.667,0.7,0.8,1.5,1.8,0.6,0.1,0.9,1.5,4.7
1359,Francisco Garcia,garcifr01,Career,,,NBA,,549,137,21.6,2.8,6.7,.427,1.1,3.0,.357,1.8,3.7,.484,.507,1.1,1.4,.799,0.5,2.0,2.6,1.4,0.8,0.7,1.0,2.2,7.9
1362,Kenneth Gardner,gardnke01,Career,,,ABA,,9,,5.7,0.7,2.0,.333,0.0,0.0,,0.7,2.0,.333,.333,0.2,0.2,1.000,0.9,0.6,1.4,0.3,0.2,0.1,0.1,1.0,1.6
1363,Thomas Gardner,gardnth01,Career,,,NBA,,20,0,7.2,0.9,3.0,.305,0.4,1.8,.200,0.6,1.2,.458,.364,0.1,0.3,.333,0.2,0.4,0.6,0.2,0.2,0.1,0.4,0.4,2.3
1366,Patricio Garino,garinpa01,Career,,,NBA,,5,0,8.6,0.0,1.4,.000,0.0,1.0,.000,0.0,0.4,.000,.000,0.0,0.0,,0.2,1.2,1.4,0.0,0.0,0.0,0.6,0.8,0.0
1367,Gary Garland,garlaga01,Career,,,NBA,,78,,14.2,2.0,4.6,.435,0.1,0.2,.316,1.9,4.3,.442,.444,0.2,0.3,.692,0.6,1.1,1.8,1.9,0.7,0.1,0.9,1.0,4.3
1368,Winston Garland,garlawi01,Career,,,NBA,,511,315,26.2,3.7,8.7,.430,0.1,0.5,.281,3.6,8.2,.440,.438,1.8,2.1,.830,0.8,2.0,2.8,4.7,1.3,0.2,1.9,2.4,9.4
1371,Chris Garner,garnech01,Career,,,NBA,,46,0,9.6,0.7,2.3,.280,0.1,0.5,.190,0.6,1.9,.302,.299,0.2,0.3,.615,0.2,0.6,0.8,1.4,0.6,0.1,0.7,1.5,1.6
1372,Bill Garnett,garnebi02,Career,,,NBA,,300,62,17.5,1.9,3.9,.490,0.0,0.0,.000,1.9,3.9,.494,.490,1.6,2.3,.720,1.6,2.8,4.3,1.3,0.5,0.6,1.1,2.8,5.5
1373,Kevin Garnett,garneke01,Career,,,NBA,,1462,1425,34.5,7.2,14.5,.497,0.1,0.4,.275,7.1,14.0,.504,.501,3.3,4.2,.789,2.2,7.8,10.0,3.7,1.3,1.4,2.2,2.4,17.8
1374,Marlon Garnett,garnema01,Career,,,NBA,,24,0,8.5,0.6,2.1,.294,0.3,1.0,.261,0.4,1.2,.321,.353,0.6,0.8,.750,0.1,0.8,0.9,0.8,0.2,0.0,0.5,0.8,2.1
1375,Calvin Garrett,garreca01,Career,,,NBA,,166,22,18.1,2.3,4.9,.457,0.0,0.1,.300,2.2,4.8,.461,.461,0.6,0.8,.767,0.8,1.8,2.6,1.5,0.6,0.1,1.0,2.0,5.2
1376,Dean Garrett,garrede01,Career,,,NBA,,359,210,19.4,2.0,4.2,.480,0.0,0.0,,2.0,4.2,.480,.480,0.8,1.2,.677,1.7,3.4,5.0,0.6,0.5,1.0,0.6,1.9,4.8
1377,Diante Garrett,garredi02,Career,,,NBA,,90,0,13.3,1.3,3.5,.373,0.4,1.2,.351,0.9,2.3,.384,.435,0.2,0.2,.682,0.2,1.1,1.2,1.7,0.6,0.1,1.0,0.9,3.2
1380,Tom Garrick,garrito01,Career,,,NBA,,251,47,18.8,2.2,4.6,.469,0.0,0.2,.083,2.1,4.4,.490,.471,1.1,1.4,.775,0.5,1.5,2.0,3.4,1.1,0.1,1.4,1.8,5.4
1381,John Garris,garrijo01,Career,,,NBA,,33,1,8.1,1.6,3.1,.510,0.0,0.0,,1.6,3.1,.510,.510,0.8,1.0,.794,1.1,1.3,2.3,0.3,0.2,0.2,0.3,1.2,4.0
1382,Kiwane Garris,garriki01,Career,,,NBA,,31,0,8.0,0.8,2.4,.320,0.2,0.5,.333,0.6,1.9,.317,.353,0.6,0.8,.760,0.1,0.5,0.6,1.0,0.2,0.0,0.5,0.7,2.3
1383,Pat Garrity,garripa01,Career,,,NBA,,552,107,20.0,2.7,6.4,.417,1.1,2.9,.398,1.5,3.5,.434,.506,0.8,1.0,.806,0.6,2.0,2.6,0.8,0.4,0.2,0.8,2.3,7.3
