,Name,link,Year,Age,Position,Games Played,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,ORtg,DRtg,Team,League,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ROY,All-Rookie Team,Draft_Pick
166,Charlie Bell,bellch01,2001-02,22.0,SG,7,6.3,0.4,1.6,0.273,0.0,0.9,0.0,0.4,0.7,0.6,0.273,0.3,0.3,1.0,0.3,0.4,0.7,0.3,0.0,0.0,0.7,0.4,1.1,3.6,13.1,0.273,0.0,7.2,0.0,3.6,6.0,0.6,2.4,2.4,1.0,2.4,3.6,6.0,2.4,0.0,0.0,6.0,3.6,9.5,61.0,111.0,TOT,NBA,-1.8,0.337,0.545,0.182,5.1,7.7,6.4,6.4,0.0,0.0,29.6,17.2,-0.2,0.0,-0.2,-0.172,-8.6,-3.1,-11.7,-0.1,0,0,
167,Raja Bell,bellra01,2000-01,24.0,SG,5,6.0,0.4,1.4,0.28600000000000003,0.2,0.6,0.33299999999999996,0.2,0.8,0.25,0.35700000000000004,0.0,0.0,,0.0,0.2,0.2,0.0,0.2,0.0,0.4,0.2,1.0,3.5,12.4,0.28600000000000003,1.8,5.3,0.33299999999999996,1.8,7.1,0.25,0.0,0.0,,0.0,1.8,1.8,0.0,1.8,0.0,3.5,1.8,8.8,59.0,104.0,PHI,NBA,-0.6,0.35700000000000004,0.429,0.0,0.0,3.7,1.9,0.0,1.8,0.0,22.2,13.6,-0.1,0.0,-0.1,-0.091,-7.7,-1.4,-9.1,-0.1,0,0,
168,Troy Bell,belltr01,2003-04,23.0,PG,6,5.7,0.7,3.0,0.222,0.0,0.7,0.0,0.7,2.3,0.28600000000000003,0.222,0.5,0.5,1.0,0.5,0.2,0.7,0.7,0.2,0.0,1.0,1.0,1.8,6.2,27.8,0.222,0.0,6.2,0.0,6.2,21.6,0.28600000000000003,4.6,4.6,1.0,4.6,1.5,6.2,6.2,1.5,0.0,9.3,9.3,17.0,61.0,108.0,MEM,NBA,-4.5,0.285,0.222,0.16699999999999998,9.9,3.4,6.6,18.7,1.5,0.0,23.7,33.5,-0.2,0.0,-0.2,-0.326,-10.4,-3.9,-14.4,-0.1,0,0,16.0
169,Jonathan Bender,bendejo01,1999-00,19.0,SF,24,5.4,1.0,2.9,0.32899999999999996,0.1,0.5,0.16699999999999998,0.9,2.4,0.36200000000000004,0.34299999999999997,0.7,1.0,0.667,0.2,0.7,0.9,0.1,0.0,0.2,0.3,0.8,2.7,9.1,27.8,0.32899999999999996,0.8,4.8,0.16699999999999998,8.3,23.0,0.36200000000000004,6.3,9.5,0.667,1.6,6.7,8.3,1.2,0.4,2.0,2.8,7.1,25.4,82.0,105.0,IND,NBA,7.6,0.397,0.171,0.34299999999999997,3.6,14.1,9.1,3.9,0.4,2.5,8.0,30.6,-0.3,0.1,-0.2,-0.07400000000000001,-7.7,-4.3,-12.0,-0.3,0,0,5.0
170,Benoit Benjamin,benjabe01,1985-86,21.0,C,79,26.4,4.1,8.4,0.49,0.0,0.0,0.33299999999999996,4.1,8.3,0.491,0.491,2.9,3.9,0.746,2.0,5.6,7.6,1.0,0.8,2.6,1.8,3.6,11.1,7.3,14.8,0.49,0.0,0.1,0.33299999999999996,7.2,14.7,0.491,5.1,6.9,0.746,3.6,9.8,13.4,1.8,1.4,4.6,3.2,6.4,19.7,106.0,107.0,LAC,NBA,16.1,0.551,0.005,0.46399999999999997,8.4,23.6,15.9,5.4,1.4,5.3,15.4,18.1,1.7,2.3,4.0,0.09300000000000001,-2.0,1.7,-0.3,0.9,0,0,3.0
171,Corey Benjamin,benjaco01,1998-99,20.0,PG,31,10.3,1.4,3.8,0.376,0.1,0.5,0.214,1.3,3.3,0.39799999999999996,0.389,0.9,1.3,0.675,0.5,0.8,1.3,0.3,0.4,0.3,0.7,1.5,3.8,7.5,19.9,0.376,0.5,2.4,0.214,7.0,17.5,0.39799999999999996,4.6,6.8,0.675,2.6,4.3,6.8,1.7,1.9,1.4,3.6,7.8,20.1,85.0,104.0,CHI,NBA,8.3,0.43799999999999994,0.12,0.342,5.3,9.7,7.4,6.3,1.9,1.9,13.5,22.9,-0.4,0.3,-0.2,-0.023,-5.6,-1.9,-7.4,-0.4,0,0,28.0
172,Anthony Bennett,bennean01,2013-14,20.0,PF,52,12.8,1.5,4.3,0.35600000000000004,0.3,1.0,0.245,1.3,3.3,0.39,0.384,0.8,1.3,0.638,0.9,2.0,3.0,0.3,0.4,0.2,0.9,1.8,4.2,6.2,17.5,0.35600000000000004,1.0,4.1,0.245,5.2,13.4,0.39,3.4,5.4,0.638,3.8,8.2,12.1,1.3,1.6,0.6,3.7,7.2,16.9,85.0,107.0,CLE,NBA,6.9,0.425,0.23600000000000002,0.307,8.1,18.4,13.1,4.0,1.6,1.0,15.5,20.3,-1.1,0.7,-0.4,-0.027999999999999997,-5.8,-1.5,-7.3,-0.9,0,0,1.0
173,Elmer Bennett,benneel01,1994-95,24.0,PG,4,4.5,1.5,2.8,0.545,0.0,0.5,0.0,1.5,2.3,0.667,0.545,0.8,1.0,0.75,0.0,0.3,0.3,0.8,1.0,0.0,0.8,0.8,3.8,18.9,34.6,0.545,0.0,6.3,0.0,18.9,28.3,0.667,9.4,12.6,0.75,0.0,3.1,3.1,9.4,12.6,0.0,9.4,9.4,47.2,102.0,85.0,CLE,NBA,32.5,0.588,0.182,0.364,0.0,7.2,3.5,46.5,12.6,0.0,19.0,42.0,0.0,0.1,0.1,0.20600000000000002,8.0,5.7,13.8,0.1,0,0,38.0
174,Mario Bennett,bennema01,1995-96,22.0,SF,19,12.1,1.5,3.4,0.45299999999999996,0.0,0.1,0.0,1.5,3.3,0.46,0.45299999999999996,1.4,2.2,0.643,1.1,1.5,2.6,0.3,0.6,0.6,0.6,2.4,4.5,6.5,14.3,0.45299999999999996,0.0,0.2,0.0,6.5,14.1,0.46,6.0,9.4,0.643,4.7,6.3,11.0,1.3,2.5,2.5,2.5,10.3,19.0,107.0,106.0,PHO,NBA,13.3,0.515,0.016,0.6559999999999999,10.7,13.9,12.3,3.9,2.5,3.6,11.8,18.1,0.2,0.3,0.5,0.098,-2.4,0.4,-2.0,0.0,0,0,27.0
175,Mel Bennett,benneme01,1975-76,21.0,PF,75,29.2,4.4,10.9,0.402,0.0,0.0,0.0,4.4,10.9,0.40299999999999997,0.402,3.3,5.4,0.61,3.3,3.7,7.0,1.3,1.0,0.6,2.3,3.5,12.1,6.7,16.8,0.402,0.0,0.0,0.0,6.7,16.7,0.40299999999999997,5.0,8.3,0.61,5.1,5.7,10.8,2.0,1.6,1.0,3.6,5.4,18.5,94.0,108.0,VIR,ABA,11.1,0.45399999999999996,0.002,0.49200000000000005,10.8,13.2,12.0,6.3,1.6,1.1,15.0,20.1,-0.4,1.1,0.7,0.015,-2.1,-0.8,-2.9,-0.5,0,0,
