,Name,link,Year,Age,Position,Games Played,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,ORtg,DRtg,Team,League,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ROY,All-Rookie Team,Draft_Pick
138,Eddie Basden,basdeed01,2005-06,22.0,SF,19,7.4,0.8,1.9,0.405,0.1,0.4,0.14300000000000002,0.7,1.6,0.467,0.419,0.4,0.5,0.8,0.4,1.1,1.5,0.4,0.5,0.1,0.5,0.9,2.1,5.5,13.6,0.405,0.4,2.6,0.14300000000000002,5.1,11.0,0.467,2.9,3.7,0.8,2.6,7.7,10.3,2.9,3.3,0.7,3.3,6.2,14.3,92.0,99.0,CHI,NBA,10.3,0.47100000000000003,0.18899999999999997,0.27,5.7,17.0,11.4,8.8,3.3,1.1,17.9,16.1,-0.1,0.3,0.2,0.065,-4.0,2.7,-1.4,0.0,0,0,
139,Brandon Bass,bassbr01,2005-06,20.0,PF,29,9.2,1.0,2.4,0.4,0.0,0.0,,1.0,2.4,0.4,0.4,0.4,0.7,0.632,0.6,1.7,2.3,0.1,0.1,0.2,0.4,0.6,2.3,5.6,14.1,0.4,0.0,0.0,,5.6,14.1,0.4,2.4,3.8,0.632,3.6,10.1,13.7,0.6,0.6,1.4,2.2,3.6,13.7,90.0,106.0,NOK,NBA,9.1,0.434,0.0,0.271,7.8,22.8,15.1,1.8,0.6,2.2,12.3,15.6,-0.2,0.3,0.1,0.013000000000000001,-6.6,-1.5,-8.2,-0.4,0,0,33.0
140,Tim Bassett,basseti01,1973-74,22.0,PF,82,22.6,2.8,6.1,0.467,0.0,0.0,0.0,2.8,6.0,0.47100000000000003,0.467,1.2,2.0,0.593,3.1,4.2,7.3,1.3,0.7,0.4,1.1,2.3,6.9,5.5,11.8,0.467,0.0,0.1,0.0,5.5,11.7,0.47100000000000003,2.3,4.0,0.593,6.0,8.1,14.1,2.6,1.4,0.8,2.1,4.4,13.4,108.0,104.0,SDA,ABA,13.4,0.493,0.008,0.335,12.0,17.3,14.6,7.0,1.4,0.9,13.2,13.1,2.1,1.6,3.7,0.09699999999999999,-0.3,0.9,0.6,1.2,0,0,106.0
141,Maceo Baston,bastoma01,2002-03,27.0,PF,16,6.6,0.9,1.6,0.6,0.0,0.0,,0.9,1.6,0.6,0.6,0.6,0.8,0.833,0.3,1.2,1.4,0.0,0.3,0.7,0.4,1.0,2.5,7.6,12.6,0.6,0.0,0.0,,7.6,12.6,0.6,5.0,6.0,0.833,2.0,9.6,11.6,0.0,2.0,5.5,3.0,8.1,20.2,113.0,100.0,TOR,NBA,18.0,0.6609999999999999,0.0,0.48,4.1,21.3,12.4,0.0,2.0,7.3,16.5,15.6,0.2,0.2,0.3,0.153,-4.8,-0.4,-5.2,-0.1,0,0,58.0
142,Mengke Bateer,bateeme01,2001-02,26.0,C,27,15.1,2.0,4.9,0.402,0.1,0.4,0.33299999999999996,1.8,4.4,0.408,0.41700000000000004,1.1,1.4,0.784,1.2,2.4,3.6,0.8,0.4,0.2,1.2,3.5,5.1,6.9,17.2,0.402,0.5,1.6,0.33299999999999996,6.4,15.6,0.408,3.8,4.8,0.784,4.2,8.3,12.5,2.9,1.3,0.7,4.2,12.2,18.1,92.0,107.0,DEN,NBA,8.0,0.469,0.091,0.28,8.5,18.8,13.4,8.9,1.3,0.9,17.8,19.8,-0.2,0.3,0.1,0.006999999999999999,-4.1,-1.1,-5.2,-0.3,0,0,
143,Billy Ray Bates,batesbi01,1979-80,23.0,SG,16,14.7,4.5,9.1,0.493,0.5,1.2,0.42100000000000004,4.0,7.9,0.504,0.521,1.8,2.4,0.718,0.8,1.0,1.8,1.9,0.9,0.1,1.3,1.6,11.3,14.9,30.3,0.493,1.7,3.9,0.42100000000000004,13.3,26.3,0.504,5.8,8.1,0.718,2.7,3.3,6.0,6.4,2.9,0.4,4.1,5.4,37.3,112.0,104.0,POR,NBA,24.1,0.552,0.13,0.267,6.0,7.6,6.8,23.8,2.9,0.5,10.9,32.0,0.7,0.3,0.9,0.188,5.4,-2.1,3.3,0.3,0,0,47.0
144,Esteban Batista,batises01,2005-06,22.0,PF,57,8.7,0.6,1.4,0.425,0.0,0.0,0.0,0.6,1.4,0.43,0.425,0.6,0.9,0.623,1.1,1.5,2.5,0.1,0.3,0.2,0.7,1.9,1.8,3.6,8.6,0.425,0.0,0.1,0.0,3.6,8.5,0.43,3.5,5.7,0.623,6.5,8.9,15.4,0.8,1.6,1.2,4.1,11.9,10.8,92.0,109.0,ATL,NBA,7.1,0.489,0.013000000000000001,0.6629999999999999,14.4,20.7,17.5,2.1,1.6,1.7,26.9,13.0,-0.2,0.3,0.1,0.011000000000000001,-4.9,-1.7,-6.6,-0.6,0,0,
145,Mike Batiste,batismi01,2002-03,25.0,PF,75,16.6,2.6,6.2,0.42200000000000004,0.2,1.1,0.222,2.4,5.1,0.46399999999999997,0.441,0.9,1.2,0.784,1.1,2.3,3.4,0.7,0.6,0.2,0.9,1.6,6.4,8.2,19.4,0.42200000000000004,0.7,3.4,0.222,7.4,16.0,0.46399999999999997,2.9,3.7,0.784,3.4,7.3,10.7,2.2,1.7,0.7,2.9,5.0,20.0,96.0,107.0,MEM,NBA,12.2,0.47600000000000003,0.17300000000000001,0.188,7.5,15.6,11.6,6.9,1.7,0.9,12.0,20.7,0.0,0.7,0.8,0.028999999999999998,-2.2,-1.7,-3.9,-0.6,0,0,
146,Tony Battie,battito01,1997-98,21.0,PF,65,23.2,3.6,8.1,0.446,0.0,0.2,0.214,3.6,7.9,0.452,0.449,1.1,1.6,0.7020000000000001,2.1,3.3,5.4,0.9,0.8,1.1,1.5,3.1,8.4,8.3,18.7,0.446,0.1,0.5,0.214,8.2,18.2,0.452,2.6,3.7,0.7020000000000001,4.9,7.6,12.5,2.1,1.9,2.5,3.5,7.1,19.3,95.0,109.0,DEN,NBA,13.3,0.47700000000000004,0.027000000000000003,0.198,10.5,17.2,13.7,7.6,1.9,3.4,14.7,20.2,-0.3,0.8,0.5,0.015,-3.0,-0.4,-3.3,-0.5,0,0,5.0
147,Shane Battier,battish01,2001-02,23.0,SF,78,39.7,5.3,12.3,0.429,1.3,3.5,0.373,4.0,8.8,0.451,0.48200000000000004,2.5,3.6,0.7,2.3,3.1,5.4,2.8,1.6,1.0,2.0,2.8,14.4,7.0,16.3,0.429,1.8,4.7,0.373,5.3,11.7,0.451,3.4,4.8,0.7,3.1,4.0,7.1,3.7,2.1,1.4,2.6,3.7,19.1,104.0,107.0,MEM,NBA,13.9,0.518,0.287,0.294,6.5,8.6,7.5,11.9,2.1,1.8,12.5,18.2,2.7,2.1,4.8,0.07400000000000001,0.9,0.9,1.9,3.0,0,1,6.0
148,John Battle,battljo01,1985-86,23.0,SG,64,10.0,1.6,3.5,0.455,0.0,0.1,0.0,1.6,3.4,0.47,0.455,1.2,1.6,0.728,0.2,0.8,1.0,1.2,0.4,0.0,0.7,1.3,4.3,7.6,16.7,0.455,0.0,0.5,0.0,7.6,16.2,0.47,5.6,7.7,0.728,0.9,3.8,4.7,5.6,1.7,0.2,3.5,6.0,20.8,104.0,108.0,ATL,NBA,11.7,0.518,0.032,0.46399999999999997,2.1,8.6,5.3,16.3,1.7,0.3,15.0,20.1,0.4,0.6,1.0,0.07400000000000001,-1.8,-1.0,-2.8,-0.1,0,0,84.0
149,Kenny Battle,battlke01,1989-90,25.0,SG,59,12.4,1.6,2.9,0.547,0.0,0.1,0.25,1.6,2.8,0.5539999999999999,0.55,0.9,1.4,0.6709999999999999,0.7,1.4,2.1,0.6,0.6,0.2,0.5,1.6,4.1,6.1,11.1,0.547,0.1,0.3,0.25,6.0,10.9,0.5539999999999999,3.6,5.4,0.6709999999999999,2.9,5.2,8.1,2.5,2.3,0.7,2.1,6.1,15.8,116.0,106.0,PHO,NBA,12.2,0.5870000000000001,0.024,0.48200000000000004,7.1,11.3,9.3,6.8,2.3,0.9,13.4,13.5,1.0,1.0,1.9,0.127,-0.3,1.2,0.9,0.5,0,0,27.0
150,Dave Batton,battoda01,1982-83,26.0,C,54,10.3,1.6,3.5,0.445,0.0,0.1,0.0,1.6,3.5,0.452,0.445,0.1,0.3,0.47100000000000003,0.8,1.4,2.2,0.5,0.3,0.2,0.5,1.0,3.3,7.4,16.5,0.445,0.0,0.3,0.0,7.4,16.3,0.452,0.7,1.5,0.47100000000000003,3.9,6.4,10.3,2.5,1.3,1.1,2.4,4.8,15.4,93.0,100.0,WSB,NBA,10.4,0.44799999999999995,0.016,0.08900000000000001,8.8,14.8,11.8,7.6,1.3,1.3,12.4,16.8,-0.2,0.9,0.7,0.062,-3.7,0.8,-2.9,-0.1,0,0,62.0
151,Lloyd Batts,battsll01,1974-75,23.0,SG,58,22.7,4.3,11.7,0.366,0.7,2.5,0.28600000000000003,3.6,9.2,0.38799999999999996,0.397,1.0,1.6,0.617,1.2,2.2,3.4,1.8,1.3,0.1,1.5,1.8,10.3,9.0,24.5,0.366,1.5,5.3,0.28600000000000003,7.5,19.2,0.38799999999999996,2.1,3.4,0.617,2.6,4.5,7.1,3.8,2.6,0.2,3.2,3.8,21.6,89.0,107.0,VIR,ABA,11.3,0.414,0.21600000000000003,0.138,5.5,10.2,7.8,12.7,2.6,0.3,11.0,24.8,-1.4,1.0,-0.5,-0.017,-1.6,-1.2,-2.8,-0.3,0,0,60.0
152,Nicolas Batum,batumni01,2008-09,20.0,SF,79,18.4,2.0,4.6,0.446,0.8,2.1,0.369,1.3,2.4,0.513,0.532,0.5,0.7,0.8079999999999999,1.1,1.7,2.8,0.9,0.6,0.5,0.6,1.8,5.4,6.1,13.8,0.446,2.4,6.4,0.369,3.8,7.4,0.513,1.6,2.0,0.8079999999999999,3.2,5.2,8.4,2.8,1.9,1.5,1.9,5.3,16.2,117.0,107.0,POR,NBA,12.9,0.555,0.465,0.14400000000000002,7.0,11.8,9.4,7.8,1.9,2.2,11.5,14.0,2.1,1.6,3.7,0.12300000000000001,1.2,1.3,2.5,1.7,0,0,25.0
153,Lonny Baxter,baxtelo01,2002-03,24.0,C,55,12.4,1.7,3.7,0.466,0.0,0.0,0.0,1.7,3.7,0.47100000000000003,0.466,1.3,1.9,0.68,1.2,1.8,3.0,0.3,0.2,0.4,0.8,2.5,4.8,7.2,15.5,0.466,0.0,0.2,0.0,7.2,15.3,0.47100000000000003,5.3,7.7,0.68,4.9,7.5,12.4,1.2,0.7,1.7,3.5,10.2,19.7,100.0,106.0,CHI,NBA,11.3,0.521,0.01,0.5,10.7,16.0,13.4,3.8,0.7,2.3,15.5,19.3,0.4,0.5,0.9,0.063,-3.2,-2.0,-5.2,-0.5,0,0,44.0
154,Jerryd Bayless,bayleje01,2008-09,20.0,PG,53,12.4,1.3,3.6,0.365,0.1,0.5,0.259,1.2,3.1,0.38299999999999995,0.384,1.6,1.9,0.8059999999999999,0.2,0.9,1.1,1.5,0.3,0.0,1.1,1.5,4.3,5.8,16.0,0.365,0.6,2.3,0.259,5.2,13.7,0.38299999999999995,7.0,8.7,0.8059999999999999,0.7,4.1,4.8,6.6,1.4,0.2,4.7,6.9,19.3,97.0,111.0,POR,NBA,8.2,0.48700000000000004,0.14300000000000002,0.545,1.5,9.4,5.4,18.2,1.4,0.2,19.3,20.9,-0.2,0.5,0.3,0.019,-3.8,-1.6,-5.4,-0.6,0,0,11.0
155,Aron Baynes,baynear01,2012-13,26.0,C,16,8.8,1.1,2.3,0.5,0.0,0.1,0.0,1.1,2.2,0.514,0.5,0.4,0.8,0.583,0.8,1.3,2.0,0.3,0.1,0.4,0.7,1.4,2.7,6.5,13.0,0.5,0.0,0.4,0.0,6.5,12.7,0.514,2.5,4.3,0.583,4.3,7.2,11.6,1.8,0.4,2.2,4.0,8.3,15.5,94.0,103.0,SAS,NBA,8.8,0.521,0.027999999999999997,0.33299999999999996,10.4,15.5,13.1,5.2,0.4,3.1,21.0,17.1,0.0,0.2,0.1,0.05,-4.7,0.4,-4.3,-0.1,0,0,
156,Sergei Bazarevich,bazarse01,1994-95,29.0,PG,10,7.4,1.1,2.2,0.5,0.1,0.6,0.16699999999999998,1.0,1.6,0.625,0.523,0.7,0.9,0.778,0.1,0.6,0.7,1.4,0.1,0.1,0.7,1.0,3.0,7.9,15.9,0.5,0.7,4.3,0.16699999999999998,7.2,11.6,0.625,5.1,6.5,0.778,0.7,4.3,5.1,10.1,0.7,0.7,5.1,7.2,21.7,109.0,109.0,ATL,NBA,13.6,0.578,0.273,0.409,1.5,9.7,5.5,31.4,0.7,1.0,21.2,20.2,0.1,0.1,0.2,0.10099999999999999,-1.8,-3.1,-4.9,-0.1,0,0,
157,Kent Bazemore,bazemke01,2012-13,23.0,SG,61,4.4,0.7,1.9,0.371,0.2,0.6,0.294,0.5,1.3,0.402,0.414,0.4,0.7,0.614,0.1,0.3,0.4,0.4,0.3,0.1,0.3,0.4,2.0,8.2,22.1,0.371,1.9,6.5,0.294,6.3,15.6,0.402,5.1,8.4,0.614,1.0,3.2,4.2,4.2,3.2,0.8,3.4,5.1,23.4,91.0,104.0,GSW,NBA,11.3,0.45399999999999996,0.293,0.379,2.1,6.8,4.5,13.1,3.2,1.2,11.7,25.7,-0.3,0.3,0.1,0.013999999999999999,-3.4,-1.5,-4.9,-0.2,0,0,
158,Bradley Beal,bealbr01,2012-13,19.0,SG,56,31.2,5.0,12.3,0.41,1.6,4.2,0.386,3.4,8.1,0.424,0.47700000000000004,2.2,2.8,0.7859999999999999,0.8,3.0,3.8,2.4,0.9,0.5,1.6,2.0,13.9,8.4,20.5,0.41,2.7,7.0,0.386,5.7,13.5,0.424,3.7,4.7,0.7859999999999999,1.3,5.0,6.3,4.1,1.5,0.9,2.7,3.4,23.3,102.0,105.0,WAS,NBA,13.6,0.515,0.344,0.231,2.7,10.8,6.7,13.7,1.5,1.3,10.6,22.2,1.0,2.0,3.0,0.08199999999999999,0.0,0.0,-0.1,0.9,0,1,3.0
159,Jerome Beasley,beaslje01,2003-04,23.0,PF,2,2.5,0.5,1.5,0.33299999999999996,0.0,0.0,,0.5,1.5,0.33299999999999996,0.33299999999999996,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,10.9,32.7,0.33299999999999996,0.0,0.0,,10.9,32.7,0.33299999999999996,0.0,0.0,,0.0,10.9,10.9,0.0,0.0,0.0,0.0,0.0,21.8,72.0,104.0,MIA,NBA,5.9,0.33299999999999996,0.0,0.0,0.0,23.6,11.7,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,-0.11699999999999999,-13.2,-9.3,-22.4,0.0,0,0,33.0
160,Michael Beasley,beaslmi01,2008-09,20.0,PF,81,24.8,5.6,11.8,0.47200000000000003,0.4,1.0,0.40700000000000003,5.2,10.8,0.478,0.49,2.3,3.0,0.772,1.4,4.1,5.4,1.0,0.5,0.5,1.5,2.3,13.9,12.0,25.4,0.47200000000000003,0.9,2.2,0.40700000000000003,11.1,23.3,0.478,4.9,6.4,0.772,2.9,8.7,11.7,2.2,1.1,1.0,3.2,4.9,29.8,103.0,108.0,MIA,NBA,17.2,0.528,0.085,0.252,6.5,19.8,13.1,7.7,1.1,1.5,10.2,27.7,1.2,2.2,3.4,0.081,-2.4,-1.9,-4.3,-1.2,0,1,2.0
161,Rodrigue Beaubois,beaubro01,2009-10,21.0,PG,56,12.5,2.8,5.3,0.518,0.8,2.0,0.409,2.0,3.4,0.5820000000000001,0.594,0.8,0.9,0.8079999999999999,0.2,1.2,1.4,1.3,0.5,0.2,1.0,1.5,7.1,11.5,22.2,0.518,3.3,8.2,0.409,8.2,14.0,0.5820000000000001,3.1,3.9,0.8079999999999999,0.9,4.9,5.8,5.5,2.1,0.9,4.0,6.2,29.4,111.0,107.0,DAL,NBA,18.5,0.617,0.368,0.174,2.0,10.7,6.4,18.6,2.1,1.3,14.4,24.7,1.1,0.8,2.0,0.134,2.4,-1.1,1.3,0.6,0,0,25.0
162,Corey Beck,beckco01,1995-96,24.0,PG,5,6.6,0.4,1.6,0.25,0.0,0.0,,0.4,1.6,0.25,0.25,0.2,0.4,0.5,0.6,0.8,1.4,1.0,0.2,0.0,0.8,1.6,1.0,3.2,12.7,0.25,0.0,0.0,,3.2,12.7,0.25,1.6,3.2,0.5,4.8,6.4,11.1,7.9,1.6,0.0,6.4,12.7,7.9,70.0,112.0,CHH,NBA,0.8,0.282,0.0,0.25,10.8,15.0,12.9,21.0,1.6,0.0,31.1,17.7,-0.1,0.0,-0.1,-0.14,-7.8,-0.4,-8.2,-0.1,0,0,
163,William Bedford,bedfowi01,1986-87,23.0,C,50,19.6,2.8,7.2,0.397,0.0,0.0,0.0,2.8,7.1,0.39799999999999996,0.397,1.0,1.7,0.581,1.6,3.3,4.9,1.1,0.4,0.7,1.7,2.5,6.7,6.8,17.2,0.397,0.0,0.0,0.0,6.8,17.2,0.39799999999999996,2.4,4.1,0.581,3.8,8.0,11.8,2.7,0.9,1.8,4.1,6.0,16.1,85.0,109.0,PHO,NBA,7.6,0.42200000000000004,0.003,0.24,9.2,18.8,14.1,7.7,0.9,2.2,17.7,19.9,-1.7,0.9,-0.8,-0.040999999999999995,-5.7,-0.2,-5.9,-1.0,0,0,6.0
164,Ron Behagen,behagro01,1973-74,23.0,PF,80,25.7,4.5,10.3,0.43200000000000005,,,,4.5,10.3,0.43200000000000005,0.43200000000000005,2.0,2.7,0.764,2.4,4.7,7.1,1.7,0.7,0.5,,3.6,11.0,7.8,18.2,0.43200000000000005,,,,7.8,18.2,0.43200000000000005,3.6,4.7,0.764,4.1,8.3,12.5,2.9,1.2,0.8,,6.4,19.2,,99.0,KCO,NBA,13.9,0.47600000000000003,,0.256,9.6,19.3,14.4,9.5,1.2,0.9,,,0.2,1.8,2.0,0.046,-1.2,-0.9,-2.1,0.0,0,1,7.0
165,Marco Belinelli,belinma01,2007-08,21.0,SG,33,7.3,1.1,2.8,0.387,0.5,1.2,0.39,0.6,1.6,0.385,0.473,0.2,0.3,0.778,0.1,0.3,0.4,0.5,0.2,0.0,0.4,0.5,2.9,7.3,18.7,0.387,3.2,8.3,0.39,4.0,10.5,0.385,1.4,1.8,0.778,0.6,2.2,2.8,3.0,1.0,0.0,2.4,3.0,19.1,97.0,115.0,GSW,NBA,8.2,0.49,0.441,0.09699999999999999,1.3,5.1,3.1,8.8,1.0,0.0,11.0,19.1,0.0,0.0,0.0,-0.002,-2.8,-4.3,-7.2,-0.3,0,0,18.0
