,Name,link,Year,blank,blank,League,blank,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
70,Al-Farouq Aminu,aminual01,Career,,,NBA,,584,14438,12.4,.514,.329,.261,6.4,20.6,13.5,7.4,2.0,1.9,14.8,15.6,,4.9,16.7,21.6,.072,,-1.6,1.4,-0.1,6.8
71,Lou Amundson,amundlo01,Career,,,NBA,,428,5507,12.0,.479,.002,.441,13.6,18.4,16.0,5.2,1.4,4.2,15.5,15.7,,0.9,6.1,6.9,.060,,-2.9,1.0,-2.0,0.1
73,Chris Andersen,anderch01,Career,,,NBA,,695,12273,16.7,.581,.027,.650,11.3,22.1,16.7,4.4,1.3,6.3,13.7,13.9,,20.2,19.5,39.7,.155,,-1.5,2.7,1.2,9.8
74,David Andersen,anderda03,Career,,,NBA,,103,1264,11.7,.501,.219,.193,6.6,20.7,13.4,7.3,0.8,1.3,10.6,19.8,,0.3,1.2,1.5,.059,,-2.9,-1.3,-4.2,-0.7
75,Alan Anderson,anderal01,Career,,,NBA,,330,6793,10.3,.526,.462,.238,2.6,9.7,6.1,8.8,1.4,0.4,11.2,17.6,,3.7,3.7,7.4,.052,,-0.6,-1.6,-2.1,-0.2
77,Antonio Anderson,anderan02,Career,,,NBA,,1,15,-1.7,.333,.000,.000,7.9,0.0,3.8,0.0,0.0,0.0,25.0,12.0,,0.0,0.0,0.0,-0.104,,-8.2,-3.1,-11.4,0.0
81,Derek Anderson,anderde01,Career,,,NBA,,615,17975,15.3,.534,.319,.371,2.9,10.0,6.5,19.6,2.1,0.4,13.2,20.4,,28.0,15.9,43.9,.117,,1.5,-0.6,0.9,13.3
82,Dwight Anderson,anderdw01,Career,,,NBA,,5,33,10.6,.571,.000,.714,0.0,6.1,3.1,11.5,1.3,0.0,21.4,26.2,,0.0,0.0,0.0,.001,,-3.9,-5.1,-9.0,-0.1
83,Eric Anderson,anderer01,Career,,,NBA,,27,83,13.1,.448,.057,.771,16.6,25.1,21.0,9.2,1.8,1.7,13.0,28.3,,0.0,0.2,0.2,.107,,-3.6,0.2,-3.4,0.0
84,Greg Anderson,andergr01,Career,,,NBA,,680,14040,13.0,.513,.006,.408,10.9,22.9,16.7,4.0,1.7,2.7,16.1,16.8,,1.8,16.9,18.7,.064,,-3.2,0.4,-2.7,-2.6
