,Name,link,Year,blank,blank,League,blank,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
2318,John Lambert,lambejo01,Career,,,NBA,,446,5564,10.4,.458,.007,.202,10.3,18.3,14.2,5.8,1.3,1.7,14.3,15.3,,0.7,6.3,6.9,.060,,-2.8,0.2,-2.6,-0.8
2319,Jeff Lamp,lampje01,Career,,,NBA,,291,3471,11.5,.522,.042,.248,4.3,9.9,7.1,10.7,1.4,0.2,13.3,19.3,,2.4,2.9,5.2,.072,,-1.7,-1.6,-3.3,-1.2
2320,Maciej Lampe,lampema01,Career,,,NBA,,64,632,8.5,.435,.035,.160,6.7,19.2,12.9,6.1,0.7,1.2,12.4,20.3,,-0.7,0.5,-0.2,-0.014,,-6.2,-2.4,-8.7,-1.1
2321,Jim Lampley,lamplji01,Career,,,NBA,,1,16,8.3,.387,.000,.667,7.4,28.1,18.0,0.0,3.1,0.0,20.5,12.8,,0.0,0.0,0.0,-0.003,,-9.1,-3.0,-12.1,0.0
2322,Sean Lampley,lamplse01,Career,,,NBA,,45,550,13.5,.533,.027,.631,5.7,14.2,9.8,10.7,0.7,0.6,12.8,18.6,,0.7,0.4,1.1,.096,,-2.2,-1.0,-3.2,-0.2
2323,Carl Landry,landrca01,Career,,,NBA,,513,11524,17.5,.595,.008,.444,9.9,15.1,12.5,5.3,1.0,1.3,11.5,20.5,,25.7,10.2,35.9,.149,,0.0,-1.1,-1.1,2.6
2324,Marcus Landry,landrma01,Career,,,NBA,,18,111,7.2,.487,.651,.116,5.0,14.6,9.7,0.0,0.5,1.3,11.7,20.9,,-0.1,0.0,-0.1,-0.034,,-5.0,-6.8,-11.8,-0.3
2325,Mark Landsberger,landsma01,Career,,,NBA,,437,7306,12.8,.497,.001,.378,16.1,24.1,20.2,4.3,0.8,0.5,16.0,16.3,,4.2,8.0,12.2,.080,,-2.0,-1.6,-3.7,-3.1
2326,Jerome Lane,laneje01,Career,,,NBA,,218,3215,12.6,.440,.014,.373,16.5,23.2,19.6,12.6,1.9,0.7,16.6,18.4,,-1.1,3.4,2.3,.034,,-1.9,0.7,-1.2,0.7
2327,Andrew Lang,langan01,Career,,,NBA,,737,15344,11.7,.516,.005,.308,8.9,17.0,13.0,4.1,1.1,4.6,14.0,14.2,,7.6,21.0,28.6,.089,,-3.0,1.9,-1.1,3.5
2328,Antonio Lang,langan02,Career,,,NBA,,143,1395,8.8,.515,.030,.455,7.3,12.2,9.8,6.0,2.3,2.9,21.8,14.5,,-0.5,2.1,1.7,.057,,-4.7,1.9,-2.8,-0.3
2329,James Lang,langja01,Career,,,NBA,,11,55,6.6,.491,.000,.556,10.2,12.9,11.5,5.2,0.0,4.2,15.2,10.6,,0.0,0.0,0.1,.047,,-3.5,-0.5,-4.0,0.0
2330,Trajan Langdon,langdtr01,Career,,,NBA,,119,1738,12.2,.551,.410,.251,1.9,8.7,5.3,14.4,1.7,0.6,14.3,17.9,,2.1,0.7,2.9,.079,,0.2,-2.1,-1.9,0.1
2331,Keith Langford,langfke01,Career,,,NBA,,2,10,-2.4,.250,.000,.000,0.0,23.3,11.8,0.0,0.0,0.0,0.0,19.2,,0.0,0.0,0.0,-0.142,,-14.9,-5.1,-19.9,0.0
2332,Dan Langhi,langhda01,Career,,,NBA,,133,1253,8.8,.421,.086,.141,4.9,13.2,9.1,5.2,1.3,0.7,7.0,18.3,,-0.5,0.8,0.3,.012,,-4.7,-2.2,-6.8,-1.5
2333,Bob Lanier,laniebo01,Career,,,NBA,,959,32103,21.7,.559,.001,.322,8.3,21.5,15.6,14.4,1.5,2.5,14.9,22.6,,75.4,41.7,117.1,.175,,3.3,1.6,5.0,41.9
2335,Nicolas Laprovittola,laproni01,Career,,,NBA,,18,174,8.4,.579,.574,.191,0.7,5.7,3.3,23.0,1.2,0.5,27.2,18.2,,0.0,0.2,0.2,.044,,-2.5,-2.4,-4.9,-0.1
2337,Shane Larkin,larkish01,Career,,,NBA,,252,4791,11.4,.503,.266,.192,1.9,9.5,5.6,22.6,2.6,0.4,17.8,15.7,,1.2,3.1,4.3,.043,,-1.8,-0.8,-2.5,-0.7
2338,Rusty LaRue,larueru01,Career,,,NBA,,98,1565,8.9,.461,.342,.139,1.6,8.1,4.8,17.3,2.1,0.5,15.1,18.2,,-0.6,1.2,0.5,.017,,-2.8,-1.7,-4.6,-1.0
2341,Stephane Lasme,lasmest01,Career,,,NBA,,16,303,11.7,.488,.000,.451,10.1,10.8,10.5,1.6,2.3,5.8,15.0,15.6,,-0.1,0.3,0.3,.041,,-4.8,1.9,-2.8,-0.1
2343,Priest Lauderdale,laudepr01,Career,,,NBA,,74,525,11.3,.497,.005,.426,9.6,22.9,16.1,12.8,0.8,3.8,24.4,29.9,,-1.3,0.5,-0.8,-0.074,,-6.9,-1.1,-8.0,-0.8
2347,Joffrey Lauvergne,lauvejo01,Career,,,NBA,,205,2812,14.3,.532,.174,.217,9.2,21.8,15.4,10.0,1.0,1.0,13.2,19.4,,2.4,2.8,5.2,.089,,-1.8,-0.8,-2.6,-0.4
2349,Zach LaVine,lavinza01,Career,,,NBA,,230,6601,13.5,.540,.339,.232,1.4,10.8,6.0,18.6,1.4,0.5,13.8,23.2,,3.7,1.6,5.2,.038,,0.4,-2.5,-2.1,-0.2
2351,Acie Law,lawac01,Career,,,NBA,,188,2385,9.9,.494,.181,.347,1.6,7.9,4.7,19.6,1.8,0.1,16.5,16.7,,0.2,1.3,1.6,.032,,-3.2,-2.2,-5.4,-2.0
2352,Gani Lawal,lawalga01,Career,,,NBA,,1,2,-9.1,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.009,,-5.4,0.5,-4.9,0.0
2353,Edmund Lawrence,lawreed01,Career,,,NBA,,3,19,19.4,.615,.000,.500,11.6,13.0,12.2,9.5,2.5,0.0,9.3,22.9,,0.1,0.0,0.1,.201,,3.2,-2.2,1.0,0.0
2354,Jason Lawson,lawsoja01,Career,,,NBA,,17,80,21.5,.670,.000,.667,11.5,28.6,19.9,10.7,2.8,3.6,9.3,12.3,,0.3,0.2,0.5,.280,,1.3,3.5,4.8,0.1
2355,Ty Lawson,lawsoty01,Career,,,NBA,,551,16088,17.2,.555,.243,.362,2.5,8.0,5.3,32.2,2.0,0.3,15.6,20.3,,32.6,9.5,42.1,.126,,2.2,-1.5,0.7,10.9
2356,Jake Layman,laymaja01,Career,,,NBA,,68,404,4.5,.381,.526,.150,2.7,7.6,5.2,7.2,1.8,1.4,10.1,17.2,,-0.7,0.3,-0.4,-0.046,,-5.1,-1.5,-6.6,-0.5
2357,Mo Layton,laytomo01,Career,,,TOT,,267,4494,11.8,.485,.000,.231,1.5,5.8,3.9,21.0,1.4,0.4,25.6,17.8,,1.4,3.0,4.4,.047,,-1.3,-3.2,-4.5,-1.0
2358,T.J. Leaf,leaftj01,Career,,,NBA,,50,428,10.5,.554,.322,.099,6.9,13.4,10.2,2.6,0.6,0.8,7.3,14.2,,0.5,0.3,0.7,.084,,-1.9,-2.7,-4.6,-0.3
2359,Manny Leaks,leaksma01,Career,,,TOT,,446,12607,15.0,.482,.001,.296,9.9,17.2,14.3,5.1,0.5,2.3,11.0,18.9,,4.0,10.3,14.4,.055,,-5.2,0.5,-4.7,-0.6
2361,Allen Leavell,leaveal01,Career,,,NBA,,700,16248,14.7,.520,.106,.306,1.9,5.9,3.9,27.9,2.7,0.4,17.1,19.1,,16.0,13.9,29.9,.088,,0.1,-1.2,-1.1,3.6
2362,Jeff Lebo,leboje01,Career,,,NBA,,4,32,5.8,.381,.000,.286,7.2,6.9,7.0,11.8,3.0,0.0,11.3,11.5,,0.0,0.0,0.0,.065,,-3.4,0.8,-2.7,0.0
2363,Eric Leckner,leckner01,Career,,,NBA,,449,5448,9.8,.549,.004,.435,7.6,21.7,14.7,5.7,0.8,1.6,18.8,16.3,,0.4,5.8,6.2,.054,,-4.3,-0.6,-4.9,-4.0
2364,Ricky Ledo,ledori01,Career,,,NBA,,28,277,7.0,.438,.310,.230,6.5,9.4,7.9,12.6,1.3,0.3,18.4,25.2,,-0.6,0.0,-0.6,-0.096,,-4.5,-3.4,-7.8,-0.4
2365,Butch Lee,leebu01,Career,,,NBA,,96,1834,13.5,.507,.000,.362,2.3,6.0,4.1,22.8,2.2,0.0,17.7,20.0,,1.2,1.1,2.4,.062,,-0.7,-1.9,-2.7,-0.3
2367,Courtney Lee,leeco01,Career,,,NBA,,749,21058,12.2,.549,.339,.175,1.9,9.1,5.5,9.6,1.9,0.8,9.8,16.2,,20.3,17.6,37.9,.086,,-0.1,-0.1,-0.2,9.8
2368,Damion Lee,leeda03,Career,,,NBA,,10,260,12.4,.509,.425,.241,1.7,16.0,8.8,11.2,2.4,0.3,7.7,17.5,,0.1,0.2,0.3,.064,,-1.6,-0.2,-1.8,0.0
2370,David Lee,leeda02,Career,,,NBA,,829,24293,19.1,.577,.003,.311,9.9,24.0,17.0,12.6,1.3,1.0,13.0,20.6,,49.6,26.4,76.0,.150,,0.7,0.9,1.6,22.3
2372,Doug Lee,leedo01,Career,,,NBA,,73,415,11.0,.507,.392,.270,4.2,6.7,5.4,10.9,2.1,0.8,10.8,18.4,,0.4,0.3,0.7,.086,,-0.8,-2.1,-2.9,-0.1
2374,Greg Lee,leegr01,Career,,,TOT,,10,98,11.9,.578,.000,.211,1.0,4.0,2.5,30.1,2.8,0.0,27.4,13.4,,0.0,0.1,0.1,.041,,-2.7,-3.1,-5.8,-0.1
2375,Keith Lee,leeke01,Career,,,NBA,,182,2907,12.2,.493,.012,.265,10.6,22.1,16.3,8.8,1.2,2.2,16.0,18.8,,0.0,3.7,3.7,.062,,-2.8,0.8,-2.0,0.0
2376,Kurk Lee,leeku01,Career,,,NBA,,48,265,5.6,.396,.211,.394,2.7,9.5,5.9,16.8,2.0,0.4,19.4,15.7,,-0.3,0.2,-0.1,-0.013,,-5.7,-1.1,-6.7,-0.3
2377,Malcolm Lee,leema01,Career,,,NBA,,36,534,9.5,.460,.250,.272,5.0,8.9,6.9,14.8,1.9,1.4,15.1,15.0,,0.0,0.4,0.4,.040,,-2.4,0.4,-2.0,0.0
2378,Rock Lee,leero02,Career,,,NBA,,2,10,1.0,.266,.000,2.000,0.0,12.2,6.0,25.0,0.0,0.0,0.0,15.3,,0.0,0.0,0.0,-0.129,,-6.2,-4.6,-10.8,0.0
2379,Ron Lee,leero01,Career,,,NBA,,448,9586,12.4,.466,.042,.296,4.4,9.5,6.9,23.2,4.1,0.7,22.8,17.0,,-4.2,14.9,10.7,.054,,-1.6,1.6,0.0,5.0
2383,Tim Legler,legleti01,Career,,,NBA,,310,5253,13.6,.570,.354,.278,2.6,7.8,5.2,11.9,1.4,0.5,9.2,17.2,,10.0,2.0,12.1,.110,,1.1,-2.2,-1.1,1.1
2384,George Lehmann,lehmage01,Career,,,TOT,,376,9712,12.8,.520,.290,.251,1.1,4.0,2.9,23.5,1.1,0.4,19.2,20.3,,11.6,7.0,18.6,.092,,-2.5,-4.1,-6.5,-0.6
2385,"Walt Lemon, Jr.",lemonwa01,Career,,,NBA,,5,35,7.0,.491,.063,.188,0.0,6.0,3.1,21.3,0.0,2.3,18.8,26.4,,-0.1,0.0,-0.1,-0.074,,-7.4,-4.3,-11.7,-0.1
2386,Alex Len,lenal01,Career,,,NBA,,331,6553,14.4,.536,.012,.429,11.1,24.7,17.7,5.8,1.0,4.2,16.0,17.1,,4.7,7.3,12.0,.088,,-3.1,1.3,-1.8,0.3
2387,Voshon Lenard,lenarvo01,Career,,,NBA,,565,15349,13.8,.526,.414,.199,2.6,9.4,6.0,13.4,1.5,0.6,10.5,21.2,,18.6,11.0,29.6,.093,,1.3,-1.5,-0.3,6.7
2389,Gary Leonard,leonaga01,Career,,,NBA,,31,149,8.6,.480,.027,.541,9.7,17.6,13.4,2.2,1.4,4.4,16.4,16.0,,-0.1,0.2,0.1,.029,,-6.0,-0.3,-6.3,-0.2
2390,Kawhi Leonard,leonaka01,Career,,,NBA,,407,12364,22.1,.597,.279,.305,4.8,17.9,11.6,12.3,3.0,1.8,9.1,22.5,,31.6,24.7,56.3,.219,,3.6,2.7,6.3,25.8
2391,Meyers Leonard,leoname01,Career,,,NBA,,328,5187,11.6,.566,.393,.160,5.2,20.9,13.0,7.6,0.5,1.5,12.3,15.6,,5.9,4.4,10.3,.095,,-1.3,-0.6,-2.0,0.1
2393,Jim Les,lesji01,Career,,,NBA,,321,4222,12.4,.559,.528,.352,2.3,8.2,5.2,30.4,2.0,0.3,21.4,13.8,,4.8,3.4,8.1,.092,,-0.5,-2.1,-2.6,-0.6
2394,Travis Leslie,leslitr01,Career,,,NBA,,10,45,14.6,.390,.000,.643,15.7,8.0,11.9,17.0,2.4,3.7,10.0,20.5,,0.0,0.0,0.1,.060,,-1.5,1.3,-0.2,0.0
2395,Ronnie Lester,lestero01,Career,,,NBA,,250,4959,13.0,.533,.015,.397,3.4,7.1,5.3,27.4,1.8,0.4,21.8,17.9,,3.4,3.0,6.3,.061,,-1.0,-1.7,-2.7,-0.8
2396,Clifford Lett,lettcl01,Career,,,NBA,,11,127,3.4,.464,.027,.243,0.9,5.0,3.0,8.6,0.8,0.5,19.6,16.8,,-0.2,0.1,-0.1,-0.034,,-6.5,-2.3,-8.8,-0.2
2397,Jon Leuer,leuerjo01,Career,,,NBA,,336,5543,14.5,.539,.194,.197,6.5,20.5,13.3,8.2,1.1,1.4,10.2,18.5,,6.0,6.3,12.3,.107,,-1.3,0.0,-1.3,1.0
2399,Fat Lever,leverfa01,Career,,,NBA,,752,23814,17.8,.496,.055,.243,6.1,14.5,10.1,26.4,3.2,0.5,12.3,19.7,,29.4,31.7,61.2,.123,,1.8,1.8,3.6,33.7
2400,Caris LeVert,leverca01,Career,,,NBA,,124,2993,13.5,.537,.387,.253,2.7,12.9,7.8,20.9,2.0,0.7,14.6,20.2,,1.6,2.4,4.0,.064,,-0.4,-0.3,-0.6,1.0
2401,Cliff Levingston,levincl01,Career,,,NBA,,830,16962,13.8,.554,.007,.398,11.5,16.6,14.0,5.9,1.5,2.1,13.5,14.9,,23.2,21.0,44.2,.125,,0.1,1.2,1.4,14.4
2403,Cedric Lewis,lewisce01,Career,,,NBA,,3,4,62.7,.667,.000,.000,60.0,0.0,29.4,0.0,12.8,0.0,0.0,33.5,,0.0,0.0,0.1,.613,,20.3,-3.8,16.5,0.0
2405,Freddie Lewis,lewisfr02,Career,,,TOT,,750,24924,15.0,.516,.099,.387,3.8,5.7,5.1,16.4,2.2,0.2,13.5,20.4,,32.7,21.2,53.8,.104,,0.4,-1.2,-0.8,2.3
2407,Martin Lewis,lewisma01,Career,,,NBA,,25,239,11.2,.518,.135,.365,9.3,8.0,8.7,4.8,1.9,1.6,14.9,18.6,,0.0,0.1,0.1,.026,,-3.0,-2.8,-5.8,-0.2
2408,Mike Lewis,lewismi01,Career,,,ABA,,337,10118,17.6,.544,.001,.360,12.3,21.7,17.4,12.7,0.0,0.0,19.1,16.4,,14.6,9.8,24.4,.116,,-6.3,-9.9,-16.2,-0.1
2409,Quincy Lewis,lewisqu01,Career,,,NBA,,159,1853,6.7,.454,.190,.159,4.8,9.0,6.9,8.4,1.7,1.5,13.6,17.9,,-0.9,1.7,0.8,.020,,-3.2,-0.7,-4.0,-0.9
2410,Ralph Lewis,lewisra01,Career,,,NBA,,99,672,8.5,.451,.019,.414,9.0,10.4,9.8,5.9,1.8,0.6,15.0,18.4,,-0.6,0.6,0.0,-0.003,,-4.1,-0.8,-5.0,-0.5
2411,Rashard Lewis,lewisra02,Career,,,NBA,,1049,33541,16.8,.563,.371,.249,5.0,13.9,9.5,8.9,1.8,1.2,10.2,21.1,,61.0,29.9,90.9,.130,,2.3,-0.2,2.0,34.1
2412,Reggie Lewis,lewisre01,Career,,,NBA,,450,14676,17.1,.538,.021,.274,4.6,10.0,7.4,11.6,1.9,1.7,8.8,23.3,,24.1,14.8,38.9,.127,,1.3,0.3,1.5,13.1
2413,Marcus Liberty,liberma01,Career,,,NBA,,267,4568,12.2,.466,.103,.249,9.1,12.1,10.5,7.7,1.9,0.9,11.3,20.3,,0.3,3.7,4.0,.042,,-2.0,-1.0,-2.9,-1.1
2414,Todd Lichti,lichtto01,Career,,,NBA,,237,4240,12.2,.517,.049,.306,4.1,8.5,6.2,10.5,1.9,0.6,12.3,19.0,,2.5,3.1,5.6,.063,,-1.8,-0.9,-2.7,-0.8
2416,DeAndre Liggins,liggide01,Career,,,NBA,,173,1890,7.5,.491,.383,.259,2.9,11.9,7.5,8.4,2.9,1.3,19.6,10.4,,-0.6,2.2,1.7,.042,,-3.3,1.4,-1.9,0.1
2418,Goose Ligon,ligongo01,Career,,,ABA,,434,14560,15.9,.533,.006,.526,9.6,17.4,14.3,8.3,1.1,1.3,15.1,15.5,,19.8,16.3,36.1,.119,,-2.0,-0.4,-2.4,0.0
2419,Damian Lillard,lillada01,Career,,,NBA,,465,16921,21.0,.570,.413,.322,1.8,10.5,6.2,29.2,1.3,0.6,12.1,28.0,,46.0,11.4,57.4,.163,,5.2,-1.5,3.7,24.2
2420,Jeremy Lin,linje01,Career,,,NBA,,406,10782,15.5,.546,.296,.382,1.8,10.1,6.0,27.1,2.2,1.2,17.8,22.2,,11.6,9.9,21.4,.095,,0.5,-0.4,0.0,5.5
2421,Steve Lingenfelter,lingest01,Career,,,NBA,,10,67,3.1,.519,.000,.857,6.5,19.9,13.1,9.5,0.7,2.6,38.4,9.6,,-0.1,0.1,0.0,.009,,-6.1,2.7,-3.4,0.0
2422,Alton Lister,listeal01,Career,,,NBA,,953,18965,12.9,.539,.002,.433,10.9,24.5,17.7,6.4,0.9,4.6,19.9,15.7,,5.4,31.2,36.6,.093,,-2.7,2.4,-0.3,7.9
2424,Gene Littles,littlge01,Career,,,ABA,,450,11310,13.5,.526,.031,.333,4.8,7.4,6.3,15.3,2.5,0.4,14.4,15.1,,12.2,11.2,23.4,.099,,-0.7,0.3,-0.4,1.2
2425,Randy Livingston,livinra01,Career,,,NBA,,203,2684,10.0,.469,.130,.227,3.3,8.6,6.0,23.8,2.4,0.9,21.3,17.5,,-0.9,3.2,2.3,.041,,-3.5,-0.2,-3.7,-1.2
2426,Shaun Livingston,livinsh01,Career,,,NBA,,766,16173,12.5,.530,.017,.263,3.2,9.9,6.6,22.2,1.8,1.4,17.5,15.8,,12.7,15.3,27.9,.083,,-1.8,0.1,-1.6,1.5
2428,Horacio Llamas Grey,llamaho01,Career,,,NBA,,28,143,10.0,.509,.061,.367,6.6,22.5,14.7,5.5,4.0,4.1,26.0,24.3,,-0.3,0.3,0.0,-0.011,,-7.3,2.2,-5.0,-0.1
2432,Lewis Lloyd,lloydle01,Career,,,NBA,,388,9406,16.4,.559,.011,.243,5.6,8.2,6.9,17.2,1.8,0.8,15.2,22.7,,12.2,7.6,19.8,.101,,1.1,-0.8,0.3,5.5
2433,Scott Lloyd,lloydsc01,Career,,,NBA,,372,5638,8.5,.480,.005,.364,8.1,13.9,10.9,8.6,0.8,0.7,18.0,15.0,,0.2,2.3,2.5,.021,,-2.8,-0.8,-3.6,-2.2
2436,Rob Lock,lockro01,Career,,,NBA,,20,110,5.3,.389,.000,.469,13.6,17.4,15.5,4.5,1.3,2.0,25.2,18.5,,-0.3,0.1,-0.2,-0.083,,-8.0,-1.4,-9.4,-0.2
2437,Darrell Lockhart,lockhda01,Career,,,NBA,,2,14,1.6,1.000,.000,.000,0.0,22.4,11.4,0.0,0.0,0.0,50.0,11.1,,0.0,0.0,0.0,-0.048,,-6.6,-4.1,-10.7,0.0
2438,Ian Lockhart,lockhia01,Career,,,NBA,,1,2,76.3,1.064,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3,,0.0,0.0,0.0,1.084,,27.3,-11.0,16.4,0.0
2439,Kevin Loder,loderke01,Career,,,NBA,,148,2094,11.9,.498,.029,.253,5.9,12.1,8.9,11.2,1.5,1.2,14.0,19.5,,0.5,1.9,2.4,.055,,-2.0,-0.5,-2.5,-0.3
2443,Brad Lohaus,lohaubr01,Career,,,NBA,,656,10378,12.3,.516,.310,.147,5.3,15.7,10.4,10.1,1.5,3.1,12.9,17.7,,4.4,10.8,15.2,.070,,-1.5,0.4,-1.0,2.5
2444,Art Long,longar01,Career,,,NBA,,98,1220,9.7,.472,.009,.300,12.7,18.0,15.4,5.9,1.2,2.6,18.9,17.0,,-0.3,1.3,0.9,.037,,-3.7,-0.1,-3.8,-0.6
2445,Grant Long,longgr01,Career,,,NBA,,1003,28514,13.3,.536,.039,.440,8.6,16.3,12.4,9.2,2.2,0.9,15.5,16.1,,27.2,32.9,60.1,.101,,-0.8,1.4,0.6,18.5
2446,John Long,longjo01,Career,,,NBA,,893,22680,14.2,.512,.029,.193,4.6,7.3,5.9,11.4,1.9,0.4,11.6,23.5,,15.7,16.4,32.0,.068,,-0.3,-1.4,-1.8,1.2
2448,Shawn Long,longsh01,Career,,,NBA,,18,234,24.1,.595,.174,.321,19.3,20.8,20.0,10.7,1.9,3.1,9.5,25.4,,0.6,0.3,0.9,.195,,3.4,0.0,3.4,0.3
2449,Willie Long,longwi01,Career,,,ABA,,213,5033,12.9,.485,.002,.370,8.7,16.5,12.5,6.0,1.2,0.3,13.5,22.1,,2.0,4.8,6.9,.065,,-0.7,-1.3,-2.0,0.0
2450,Luc Longley,longllu01,Career,,,NBA,,567,12006,11.8,.503,.001,.260,8.4,18.4,13.4,10.7,1.2,3.2,18.8,18.5,,-0.4,17.9,17.5,.070,,-3.2,1.7,-1.5,1.5
2451,Kevon Looney,looneke01,Career,,,NBA,,120,1287,14.1,.572,.053,.391,11.3,16.7,14.2,6.8,1.7,4.1,12.5,12.8,,2.0,2.0,4.0,.148,,-1.2,1.9,0.7,0.9
2452,Brook Lopez,lopezbr01,Career,,,NBA,,630,19726,20.6,.565,.082,.337,8.9,16.0,12.4,9.3,0.9,4.2,11.1,25.8,,35.6,17.6,53.2,.130,,0.7,0.1,0.9,14.3
2453,Felipe Lopez,lopezfe01,Career,,,NBA,,249,4145,11.5,.491,.115,.357,5.9,11.2,8.5,10.2,2.1,1.1,14.7,18.9,,1.1,2.0,3.1,.036,,-1.8,-0.9,-2.7,-0.7
2454,Raul Lopez,lopezra01,Career,,,NBA,,113,2135,12.2,.510,.199,.230,1.8,9.6,5.6,35.9,2.2,0.2,23.5,20.4,,0.6,1.5,2.1,.047,,-1.0,-2.6,-3.5,-0.8
2455,Robin Lopez,lopezro01,Career,,,NBA,,692,16043,16.3,.563,.004,.276,11.9,14.0,13.0,5.6,0.6,4.0,12.0,17.5,,26.4,13.9,40.3,.121,,-0.5,0.7,0.2,9.0
2456,Ryan Lorthridge,lorthry01,Career,,,NBA,,37,672,12.9,.520,.063,.395,3.9,7.8,5.8,23.1,2.0,0.1,17.9,20.0,,0.2,0.2,0.4,.032,,-2.0,-1.7,-3.7,-0.3
2461,Kevin Love,loveke01,Career,,,NBA,,631,20300,21.9,.568,.317,.409,10.3,29.2,19.7,12.1,1.1,1.1,10.7,24.7,,52.6,23.6,76.2,.180,,2.9,-0.1,2.8,24.6
2462,Stan Love,lovest01,Career,,,TOT,,239,3515,13.2,.482,.000,.254,7.3,15.3,12.4,7.2,1.6,1.5,15.9,23.1,,1.4,4.2,5.6,.076,,-2.6,-1.0,-3.6,-0.5
2464,Sidney Lowe,lowesi01,Career,,,NBA,,193,3422,10.4,.444,.056,.393,2.6,8.9,5.6,28.5,2.8,0.2,23.2,10.2,,0.6,3.4,3.9,.055,,-3.5,-0.1,-3.7,-1.4
2466,Kyle Lowry,lowryky01,Career,,,NBA,,785,24384,18.6,.564,.428,.391,3.1,12.5,7.8,30.2,2.2,0.7,14.8,21.8,,55.4,24.3,79.6,.157,,3.9,0.0,3.9,36.2
2469,John Lucas,lucasjo01,Career,,,NBA,,928,25556,15.9,.509,.093,.281,2.1,7.1,4.6,33.6,2.4,0.2,16.9,18.7,,33.8,19.9,53.7,.101,,0.9,-1.3,-0.4,10.3
2470,Kalin Lucas,lucaska01,Career,,,NBA,,1,6,-0.7,.000,.000,.000,0.0,0.0,0.0,0.0,8.7,0.0,0.0,7.6,,0.0,0.0,0.0,-0.057,,-7.9,6.6,-1.3,0.0
2471,Maurice Lucas,lucasma01,Career,,,TOT,,1021,30112,16.2,.519,.005,.311,9.7,23.6,16.7,11.7,1.2,1.2,15.4,22.0,,28.4,40.6,69.0,.110,,-0.3,0.5,0.2,16.7
2472,John Lucas III,lucasjo02,Career,,,NBA,,242,2927,11.8,.467,.400,.084,2.2,7.1,4.6,20.9,1.6,0.1,9.4,21.3,,1.3,2.1,3.4,.055,,-0.6,-2.8,-3.4,-1.0
2474,Tyronn Lue,luety01,Career,,,NBA,,554,12564,13.2,.533,.291,.215,1.2,7.6,4.4,23.2,1.2,0.1,13.0,18.5,,17.2,2.5,19.7,.075,,0.4,-3.2,-2.8,-2.5
2479,Timothe Luwawu-Cabarrot,luwawti01,Career,,,NBA,,121,1997,7.9,.526,.508,.288,2.2,9.9,6.1,9.5,1.1,0.6,13.6,17.7,,0.1,1.5,1.6,.039,,-2.6,-1.7,-4.3,-1.1
2480,Tyler Lydon,lydonty01,Career,,,NBA,,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.016,,-5.6,-0.9,-6.5,0.0
2481,Trey Lyles,lylestr01,Career,,,NBA,,220,3891,13.4,.530,.387,.217,4.8,20.8,12.9,8.8,1.1,1.5,10.8,20.2,,2.4,4.5,6.8,.084,,-1.5,-0.7,-2.1,-0.1
2483,George Lynch,lynchge01,Career,,,NBA,,774,17683,12.8,.490,.102,.259,9.6,15.5,12.5,10.2,2.4,1.1,14.6,15.4,,10.0,22.4,32.3,.088,,-1.0,1.6,0.6,11.5
2484,Kevin Lynch,lynchke01,Career,,,NBA,,95,1143,7.7,.486,.032,.298,4.0,7.3,5.6,11.8,2.0,0.8,17.6,13.8,,-0.2,0.6,0.4,.016,,-3.5,-0.5,-4.0,-0.6
2487,Sheldon Mac,mcclesh01,Career,,,NBA,,30,287,10.1,.518,.400,.360,1.6,11.7,6.7,7.0,1.4,0.6,5.4,14.0,,0.3,0.2,0.5,.076,,-2.1,-1.4,-3.6,-0.1
2490,Todd MacCulloch,maccuto01,Career,,,NBA,,223,3439,16.9,.566,.000,.346,11.1,18.2,14.6,5.9,0.9,3.8,11.3,17.7,,6.5,5.4,11.9,.166,,-0.6,0.8,0.2,1.9
2492,Scott Machado,machasc01,Career,,,NBA,,6,21,6.0,.581,.167,.333,0.0,5.3,2.7,44.2,4.8,0.0,53.8,31.0,,-0.1,0.0,-0.1,-0.230,,-12.2,-2.9,-15.1,-0.1
2493,Arvydas Macijauskas,macijar01,Career,,,NBA,,19,135,8.3,.462,.293,.366,2.6,6.3,4.4,6.1,2.8,0.0,14.4,19.2,,-0.1,0.1,0.0,-0.001,,-3.8,-1.5,-5.3,-0.1
2494,Ollie Mack,mackol01,Career,,,NBA,,128,2513,12.0,.485,.019,.213,5.8,8.6,7.2,13.7,1.6,0.2,10.3,17.4,,1.6,0.9,2.5,.048,,-0.7,-1.1,-1.9,0.1
2495,Sam Mack,macksa01,Career,,,NBA,,259,5028,12.2,.525,.494,.173,2.5,9.5,6.1,10.9,1.7,0.5,10.3,19.1,,4.9,2.5,7.4,.070,,0.4,-2.2,-1.8,0.3
2496,Shelvin Mack,macksh01,Career,,,NBA,,393,7009,12.6,.507,.334,.176,1.6,10.9,6.3,27.1,1.8,0.2,16.3,19.3,,2.9,6.3,9.2,.063,,-1.2,-1.3,-2.4,-0.8
